trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
SYNTH-4h-short-43:1,SYNTH,4h,synth_4h,short,2023-01-09 16:00:00,2023-01-09 20:00:00,2023-01-10 00:00:00,98.60175855592269,100.87997595461574,94.22925121732291,98.31371645946018,trendline_invalidation,1.0,0.288042,0.0,0.288042,0.1264,0.002921,1,1,78,moderately_stretched,1.160839499699486,1.275753897184515,0.2679,1.49,normal,asia,bearish_ll_lh_continuation,bearish,SYNTH-4h-short-43
SYNTH-4h-short-52:2,SYNTH,4h,synth_4h,short,2023-01-10 08:00:00,2023-01-10 12:00:00,2023-01-12 04:00:00,98.1120389533037,99.80936955841682,95.32838864089733,97.96802588630717,trendline_invalidation,1.0,0.144013,0.0,0.144013,0.0848,0.001468,10,2,80,moderately_stretched,1.1828885762393058,1.5088395021631555,0.2637,1.88,normal,off_hours,bearish_ll_lh_continuation,bearish,SYNTH-4h-short-52
SYNTH-4h-short-60:3,SYNTH,4h,synth_4h,short,2023-01-11 12:00:00,2023-01-11 16:00:00,2023-01-11 20:00:00,97.63921311327388,99.62262454433429,94.38168702914075,97.55996819276027,trendline_invalidation,1.0,0.079245,0.0,0.079245,0.04,0.000812,1,3,76,normal,1.1762867853803556,0.9200626962141172,0.383,1.44,normal,asia,bearish_ll_lh_continuation,bearish,SYNTH-4h-short-60
SYNTH-4h-short-65:4,SYNTH,4h,synth_4h,short,2023-01-12 08:00:00,2023-01-12 12:00:00,2023-01-12 16:00:00,97.86484414560817,98.9380818949505,94.88414254707912,98.07867919549241,trendline_invalidation,1.0,-0.213835,0.0,-0.213835,-0.1992,-0.002185,1,4,76,normal,1.1134776415389058,0.8143650738753649,0.3827,1.95,normal,off_hours,bearish_ll_lh_continuation,bearish,SYNTH-4h-short-65
SYNTH-4h-short-139:5,SYNTH,4h,synth_4h,short,2023-01-24 20:00:00,2023-01-25 00:00:00,2023-01-26 04:00:00,101.79030589673746,103.53949985606127,98.67230280763906,101.04731272019451,trendline_invalidation,1.0,0.742993,0.0,0.742993,0.4248,0.007299,7,1,78,moderately_stretched,1.218002237735946,1.0325507396438667,0.2737,1.58,normal,london,bearish_ll_lh_continuation,bearish,SYNTH-4h-short-139
SYNTH-4h-short-151:6,SYNTH,4h,synth_4h,short,2023-01-27 08:00:00,2023-01-27 12:00:00,2023-01-27 20:00:00,101.26770995283488,102.63840555930446,97.31132590012967,102.63840555930446,stop,1.0,-1.370696,0.0,-1.370696,-1.0,-0.013535,2,2,83,normal,1.2960510235386284,2.4471941453083446,0.3556,1.66,normal,off_hours,bearish_ll_lh_continuation,bearish,SYNTH-4h-short-151
SYNTH-4h-short-241:7,SYNTH,4h,synth_4h,short,2023-02-10 16:00:00,2023-02-10 20:00:00,2023-02-11 00:00:00,104.64901214696428,105.9103422000471,101.52535484229654,105.05010660599112,trendline_invalidation,1.0,-0.401094,0.0,-0.401094,-0.318,-0.003833,1,1,81,normal,1.1167461259561329,1.3148631564616124,0.2979,1.29,normal,asia,bearish_ll_lh_continuation,bearish,SYNTH-4h-short-241
SYNTH-4h-long-286:8,SYNTH,4h,synth_4h,long,2023-02-18 20:00:00,2023-02-19 00:00:00,2023-02-20 04:00:00,114.2143794026994,112.55527489193393,117.34065623054128,113.44019670054627,trendline_invalidation,1.0,-0.774183,0.0,-0.774183,-0.4666,-0.006778,7,1,83,normal,1.2373623864195091,1.3276208842218722,0.2502,1.69,normal,london,bullish_hh_hl_continuation,bullish,SYNTH-4h-long-286
SYNTH-4h-short-322:9,SYNTH,4h,synth_4h,short,2023-02-24 08:00:00,2023-02-24 12:00:00,2023-02-24 16:00:00,108.87300104602194,110.38282000200441,104.76899497924094,108.79281894413862,trendline_invalidation,1.0,0.080182,0.0,0.080182,0.0531,0.000736,1,1,82,normal,1.3206884471943952,1.4055819814022072,0.2963,2.45,normal,off_hours,bearish_ll_lh_continuation,bearish,SYNTH-4h-short-322
SYNTH-4h-short-329:10,SYNTH,4h,synth_4h,short,2023-02-25 16:00:00,2023-02-25 20:00:00,2023-02-26 00:00:00,109.2080047684747,110.34887757775859,105.50184232076471,109.55018442150362,trendline_invalidation,1.0,-0.34218,0.0,-0.34218,-0.2999,-0.003133,1,2,88,normal,1.1437492818967208,0.8421580780666034,0.3879,2.85,normal,asia,bearish_ll_lh_continuation,bearish,SYNTH-4h-short-329
