trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
EUR_USD-1h-short-35:1,EUR_USD,1h,baseline,short,2025-07-02 14:00:00+00:00,2025-07-02 15:00:00+00:00,2025-07-02 15:00:00+00:00,1.17673,1.1792461003305634,1.1696649999999997,1.17894,trendline_invalidation,1.0,-0.00221,0.0,-0.00221,-0.8783,-0.001878,0,1,78,moderately_stretched,0.0016644013222533766,0.0020299999999999763,0.5418,1.54,expanded,london_new_york,bearish_ll_lh_continuation,bearish,EUR_USD-1h-short-35
EUR_USD-1h-long-43:2,EUR_USD,1h,baseline,long,2025-07-02 23:00:00+00:00,2025-07-03 00:00:00+00:00,2025-07-03 02:00:00+00:00,1.17985,1.1785392199290217,1.1826800000000002,1.17979,trendline_invalidation,1.0,-6e-05,0.0,-6e-05,-0.0458,-5.1e-05,2,1,79,moderately_stretched,0.0012831202839134743,0.0004999999999999449,0.2602,1.76,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-43
EUR_USD-1h-short-108:3,EUR_USD,1h,baseline,short,2025-07-07 16:00:00+00:00,2025-07-07 17:00:00+00:00,2025-07-07 22:00:00+00:00,1.16944,1.1749196227663905,1.1685,1.17354,trendline_invalidation,1.0,-0.0041,0.0,-0.0041,-0.7482,-0.003506,5,1,82,moderately_stretched,0.0015184910655622382,0.005220000000000002,0.3795,2.42,expanded,new_york,bearish_ll_lh_continuation,bearish,EUR_USD-1h-short-108
EUR_USD-1h-short-121:4,EUR_USD,1h,baseline,short,2025-07-08 06:00:00+00:00,2025-07-08 07:00:00+00:00,2025-07-08 07:00:00+00:00,1.17418,1.1753431162494714,1.17041,1.1753431162494714,stop,1.0,-0.001163,0.0,-0.001163,-1.0,-0.000991,0,2,82,normal,0.0013724649978851837,0.0013300000000000534,0.3232,1.51,normal,asia,bearish_ll_lh_continuation,bearish,EUR_USD-1h-short-121
EUR_USD-1h-short-182:5,EUR_USD,1h,baseline,short,2025-07-11 00:00:00+00:00,2025-07-11 01:00:00+00:00,2025-07-11 13:00:00+00:00,1.16747,1.1710823266970483,1.16064,1.1710823266970483,stop,1.0,-0.003612,0.0,-0.003612,-1.0,-0.003094,12,1,84,moderately_stretched,0.0012893067881931785,0.004010000000000069,0.5178,8.14,normal,asia,bearish_ll_lh_continuation,bearish,EUR_USD-1h-short-182
EUR_USD-1h-short-300:6,EUR_USD,1h,baseline,short,2025-07-17 17:00:00+00:00,2025-07-17 18:00:00+00:00,2025-07-17 19:00:00+00:00,1.15852,1.1607217014804563,1.1492950000000004,1.15975,trendline_invalidation,1.0,-0.00123,0.0,-0.00123,-0.5587,-0.001062,1,1,84,normal,0.0018068059218254114,0.0008200000000000429,0.2779,3.82,normal,new_york,bearish_ll_lh_continuation,bearish,EUR_USD-1h-short-300
EUR_USD-1h-long-326:7,EUR_USD,1h,baseline,long,2025-07-20 21:00:00+00:00,2025-07-20 22:00:00+00:00,2025-07-20 22:00:00+00:00,1.16352,1.1613923082895528,1.1751949999999993,1.16265,trendline_invalidation,1.0,-0.00087,0.0,-0.00087,-0.4089,-0.000748,0,1,88,normal,0.0013107668417890969,0.0008300000000001084,0.5826,8.09,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-326
EUR_USD-1h-long-351:8,EUR_USD,1h,baseline,long,2025-07-21 19:00:00+00:00,2025-07-21 20:00:00+00:00,2025-07-22 00:00:00+00:00,1.16896,1.1682670665744612,1.1751,1.16885,trendline_invalidation,1.0,-0.00011,0.0,-0.00011,-0.1587,-9.4e-05,4,1,84,moderately_stretched,0.0013317337021555042,0.0006800000000000139,0.3017,4.37,normal,new_york,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-351
EUR_USD-1h-short-487:9,EUR_USD,1h,baseline,short,2025-07-29 12:00:00+00:00,2025-07-29 13:00:00+00:00,2025-07-29 13:00:00+00:00,1.1525,1.1593283180204232,1.1396050000000004,1.15458,trendline_invalidation,1.0,-0.00208,0.0,-0.00208,-0.3046,-0.001805,0,1,82,moderately_stretched,0.0019132720816928772,0.0017100000000001003,0.2825,2.53,normal,london_new_york,bearish_ll_lh_continuation,bearish,EUR_USD-1h-short-487
EUR_USD-1h-short-553:10,EUR_USD,1h,baseline,short,2025-08-01 08:00:00+00:00,2025-08-01 09:00:00+00:00,2025-08-01 10:00:00+00:00,1.14066,1.1441974498867375,1.1328300000000004,1.14122,trendline_invalidation,1.0,-0.00056,0.0,-0.00056,-0.1583,-0.000491,1,1,88,normal,0.0015897995469503563,0.0015100000000001224,0.5921,2.9,normal,london,bearish_ll_lh_continuation,bearish,EUR_USD-1h-short-553
EUR_USD-1h-long-735:11,EUR_USD,1h,baseline,long,2025-08-12 21:00:00+00:00,2025-08-12 22:00:00+00:00,2025-08-13 05:00:00+00:00,1.16737,1.166044685349925,1.1739399999999998,1.1679,trendline_invalidation,1.0,0.00053,0.0,0.00053,0.3999,0.000454,7,1,84,moderately_stretched,0.0016612586003009278,0.0011200000000000099,0.306,3.71,expanded,off_hours,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-735
EUR_USD-1h-long-758:12,EUR_USD,1h,baseline,long,2025-08-13 20:00:00+00:00,2025-08-13 21:00:00+00:00,2025-08-14 02:00:00+00:00,1.17058,1.1692813471722259,1.1758000000000002,1.1705,trendline_invalidation,1.0,-8e-05,0.0,-8e-05,-0.0616,-6.8e-05,5,2,88,normal,0.001274611311096237,0.0007699999999999374,0.2599,4.68,normal,new_york,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-758
EUR_USD-1h-long-814:13,EUR_USD,1h,baseline,long,2025-08-18 04:00:00+00:00,2025-08-18 05:00:00+00:00,2025-08-18 06:00:00+00:00,1.17084,1.1691127882146657,1.1748000000000003,1.16965,trendline_invalidation,1.0,-0.00119,0.0,-0.00119,-0.689,-0.001016,1,1,84,normal,0.0009888471413366728,0.0007600000000000939,0.3229,3.16,normal,asia,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-814
EUR_USD-1h-short-946:14,EUR_USD,1h,baseline,short,2025-08-25 15:00:00+00:00,2025-08-25 16:00:00+00:00,2025-08-25 18:00:00+00:00,1.16694,1.171295024438126,1.1635300000000004,1.1635300000000004,target,1.0,0.00341,0.0,0.00341,0.783,0.002922,2,1,81,moderately_stretched,0.0015000977525036984,0.0026300000000001322,0.4157,2.27,normal,london_new_york,bearish_ll_lh_continuation,bearish,EUR_USD-1h-short-946
EUR_USD-1h-short-960:15,EUR_USD,1h,baseline,short,2025-08-26 07:00:00+00:00,2025-08-26 08:00:00+00:00,2025-08-26 09:00:00+00:00,1.1622,1.1654510584858273,1.1536500000000003,1.16426,trendline_invalidation,1.0,-0.00206,0.0,-0.00206,-0.6336,-0.001773,1,2,80,moderately_stretched,0.0017242339433092902,0.0026399999999999757,0.3626,1.88,normal,london,bearish_ll_lh_continuation,bearish,EUR_USD-1h-short-960
EUR_USD-1h-long-1020:16,EUR_USD,1h,baseline,long,2025-08-28 16:00:00+00:00,2025-08-28 17:00:00+00:00,2025-08-28 20:00:00+00:00,1.16894,1.165491899269607,1.1720400000000002,1.16825,trendline_invalidation,1.0,-0.00069,0.0,-0.00069,-0.2001,-0.00059,3,1,81,moderately_stretched,0.0014724029215710103,0.0018399999999998418,0.2533,2.18,expanded,new_york,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-1020
EUR_USD-1h-long-1032:17,EUR_USD,1h,baseline,long,2025-08-29 06:00:00+00:00,2025-08-29 07:00:00+00:00,2025-08-29 12:00:00+00:00,1.16668,1.1653439896184452,1.1709133333333333,1.1653439896184452,stop,1.0,-0.001336,0.0,-0.001336,-1.0,-0.001145,5,1,85,normal,0.0010640415262190856,0.0009399999999999409,0.4906,2.3,normal,asia,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-1032
EUR_USD-1h-long-1064:18,EUR_USD,1h,baseline,long,2025-09-01 18:00:00+00:00,2025-09-01 19:00:00+00:00,2025-09-01 21:00:00+00:00,1.17076,1.1693895988643053,1.180600000000001,1.17088,trendline_invalidation,1.0,0.00012,0.0,0.00012,0.0876,0.000102,2,1,88,normal,0.0010816045427783493,0.00036999999999998145,0.4656,8.83,normal,new_york,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-1064
EUR_USD-1h-short-1092:19,EUR_USD,1h,baseline,short,2025-09-02 16:00:00+00:00,2025-09-02 17:00:00+00:00,2025-09-02 19:00:00+00:00,1.1644,1.1687292327287966,1.15156,1.16414,trendline_invalidation,1.0,0.00026,0.0,0.00026,0.0601,0.000223,2,1,84,moderately_stretched,0.0018769309151858331,0.001180000000000181,0.5979,3.53,expanded,new_york,bearish_ll_lh_continuation,bearish,EUR_USD-1h-short-1092
EUR_USD-1h-long-1189:20,EUR_USD,1h,baseline,long,2025-09-08 19:00:00+00:00,2025-09-08 20:00:00+00:00,2025-09-08 20:00:00+00:00,1.17624,1.173161033874189,1.18266,1.17633,trendline_invalidation,1.0,9e-05,0.0,9e-05,0.0292,7.7e-05,0,1,80,moderately_stretched,0.0013558645032442532,0.0006399999999999739,0.3048,2.05,normal,new_york,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-1189
EUR_USD-1h-short-1231:21,EUR_USD,1h,baseline,short,2025-09-10 11:00:00+00:00,2025-09-10 12:00:00+00:00,2025-09-10 12:00:00+00:00,1.17047,1.1720648745994253,1.16376,1.1720648745994253,stop,1.0,-0.001595,0.0,-0.001595,-1.0,-0.001363,0,1,86,normal,0.0013794983977010716,0.0011600000000000499,0.3563,2.41,normal,london,bearish_ll_lh_continuation,bearish,EUR_USD-1h-short-1231
EUR_USD-1h-long-1312:22,EUR_USD,1h,baseline,long,2025-09-15 23:00:00+00:00,2025-09-16 00:00:00+00:00,2025-09-16 07:00:00+00:00,1.1763,1.1755592582318115,1.179273333333333,1.179273333333333,target,1.0,0.002973,0.0,0.002973,4.014,0.002528,7,1,82,normal,0.0010029670727536855,0.000320000000000098,0.2554,2.57,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-1312
EUR_USD-1h-short-1381:23,EUR_USD,1h,baseline,short,2025-09-18 20:00:00+00:00,2025-09-18 21:00:00+00:00,2025-09-18 22:00:00+00:00,1.17889,1.179817760529867,1.1695800000000003,1.17872,trendline_invalidation,1.0,0.00017,0.0,0.00017,0.1832,0.000144,1,1,84,normal,0.0016710421194680628,0.00046999999999997044,0.2602,5.57,normal,new_york,bearish_ll_lh_continuation,bearish,EUR_USD-1h-short-1381
EUR_USD-1h-long-1441:24,EUR_USD,1h,baseline,long,2025-09-23 09:00:00+00:00,2025-09-23 10:00:00+00:00,2025-09-23 10:00:00+00:00,1.18023,1.1775861643923666,1.19255,1.1796,trendline_invalidation,1.0,-0.00063,0.0,-0.00063,-0.2383,-0.000534,0,1,84,normal,0.0012553424305332007,0.0011999999999998678,0.4371,4.07,normal,london,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-1441
EUR_USD-1h-long-1449:25,EUR_USD,1h,baseline,long,2025-09-23 16:00:00+00:00,2025-09-23 17:00:00+00:00,2025-09-24 00:00:00+00:00,1.18049,1.1780765173273409,1.1851166666666664,1.18039,trendline_invalidation,1.0,-0.0001,0.0,-0.0001,-0.0414,-8.5e-05,7,2,87,normal,0.0013339306906365379,0.0017400000000000748,0.4336,2.82,normal,new_york,bullish_hh_hl_continuation,bullish,EUR_USD-1h-long-1449
