segment,start,end,symbol,timeframe,profile_name,trades,win_rate,avg_r,expectancy_r,profit_factor,max_drawdown_r,max_drawdown_currency,total_net_pnl,total_commission,skipped_trades,partial_size_trades,signals,trade_csv,diagnostics
segment_2023_h1,2023-01-01,2023-06-30,WTICO_USD,4h,wtico_usd_4h,20,0.5,0.837095,0.837095,3.473027268161542,-3.808,4.507781,12.563205,0.0,0,0,20,output\research\little_rzy_4h\segment_2023_h1\WTICO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 20}"
segment_2023_h1,2023-01-01,2023-06-30,BCO_USD,4h,bco_usd_4h,19,0.42105263157894735,0.5291368421052632,0.5291368421052632,2.444939492368278,-3.9405,4.431978,6.897689,0.0,0,0,19,output\research\little_rzy_4h\segment_2023_h1\BCO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 19}"
segment_2023_h1,2023-01-01,2023-06-30,XAG_USD,4h,xag_usd_4h,13,0.23076923076923078,-0.30630769230769234,-0.30630769230769234,0.34099033496623854,-4.8699,1.849023,-1.668573,0.0,0,0,13,output\research\little_rzy_4h\segment_2023_h1\XAG_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 13}"
segment_2023_h1,2023-01-01,2023-06-30,UK100_GBP,4h,uk100_gbp_4h,4,0.5,1.8992499999999999,1.8992499999999999,9.16442772702848,-0.9305000000000003,34.44,377.92,0.0,0,0,4,output\research\little_rzy_4h\segment_2023_h1\UK100_GBP_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 4}"
segment_2023_h1,2023-01-01,2023-06-30,NAS100_USD,4h,nas100_usd_4h,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,output\research\little_rzy_4h\segment_2023_h1\NAS100_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 0}"
segment_2023_h1,2023-01-01,2023-06-30,XAU_USD,4h,xau_usd_4h,14,0.2857142857142857,0.13278571428571434,0.13278571428571434,1.3339560952825786,-2.8600000000000003,32.47712,9.287882999999997,0.0,0,0,14,output\research\little_rzy_4h\segment_2023_h1\XAU_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 14}"
segment_2023_h2,2023-07-01,2023-12-31,WTICO_USD,4h,wtico_usd_4h,19,0.2631578947368421,0.23894210526315804,0.23894210526315804,1.7788872304287409,-2.7042,3.2165019999999998,-0.2986270000000004,0.0,0,0,19,output\research\little_rzy_4h\segment_2023_h2\WTICO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 19}"
segment_2023_h2,2023-07-01,2023-12-31,BCO_USD,4h,bco_usd_4h,19,0.21052631578947367,-0.026189473684210516,-0.026189473684210516,0.9201309749285739,-2.3169,2.8086280000000006,-1.3836850000000005,0.0,0,0,19,output\research\little_rzy_4h\segment_2023_h2\BCO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 19}"
segment_2023_h2,2023-07-01,2023-12-31,XAG_USD,4h,xag_usd_4h,21,0.47619047619047616,0.571947619047619,0.571947619047619,3.0868923098307675,-2.0651,0.7872049999999999,2.548771,0.0,0,0,21,output\research\little_rzy_4h\segment_2023_h2\XAG_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 21}"
segment_2023_h2,2023-07-01,2023-12-31,UK100_GBP,4h,uk100_gbp_4h,3,0.6666666666666666,3.7988,3.7988,12.386152462783496,0.0,0.0,232.76289099999997,0.0,0,0,3,output\research\little_rzy_4h\segment_2023_h2\UK100_GBP_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 3}"
