trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
XAU_USD-4h-long-55:1,XAU_USD,4h,xau_usd_4h,long,2023-07-17 01:00:00+00:00,2023-07-17 05:00:00+00:00,2023-07-17 09:00:00+00:00,1953.69,1949.2883290282455,1976.6450000000002,1949.2533290282454,stop,1.0,-4.436671,0.0,-4.436671,-1.008,-0.002271,1,1,88,normal,6.80668388701838,4.9849999999999,0.2509,3.51,normal,asia,bullish_hh_hl_continuation,bullish,XAU_USD-4h-long-55
XAU_USD-4h-short-147:2,XAU_USD,4h,xau_usd_4h,short,2023-08-07 01:00:00+00:00,2023-08-07 05:00:00+00:00,2023-08-14 13:00:00+00:00,1938.855,1948.7853185824329,1901.6866666666665,1911.97,expired,1.0,26.885,0.0,26.885,2.7074,0.013866,32,1,88,normal,7.181274329731301,6.834999999999809,0.4659,6.25,normal,asia,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-147
XAU_USD-4h-short-160:3,XAU_USD,4h,xau_usd_4h,short,2023-08-09 13:00:00+00:00,2023-08-09 17:00:00+00:00,2023-08-10 09:00:00+00:00,1916.355,1934.0534532476413,1903.6950000000002,1926.335,trendline_invalidation,1.0,-9.98,0.0,-9.98,-0.5639,-0.005208,4,2,78,moderately_stretched,6.633812990565451,12.019999999999982,0.2992,1.56,normal,london_new_york,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-160
XAU_USD-4h-short-174:4,XAU_USD,4h,xau_usd_4h,short,2023-08-11 17:00:00+00:00,2023-08-13 21:00:00+00:00,2023-08-14 05:00:00+00:00,1913.7099999999998,1922.6002949028202,1892.7525000000003,1914.38,trendline_invalidation,1.0,-0.67,0.0,-0.67,-0.0754,-0.00035,2,3,79,normal,6.52117961128065,3.3450000000000273,0.2804,2.11,normal,new_york,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-174
XAU_USD-4h-short-189:5,XAU_USD,4h,xau_usd_4h,short,2023-08-16 17:00:00+00:00,2023-08-16 21:00:00+00:00,2023-08-21 09:00:00+00:00,1894.125,1913.2792442870907,1880.3129999999999,1897.275,trendline_invalidation,1.0,-3.15,0.0,-3.15,-0.1645,-0.001663,15,1,77,moderately_stretched,6.276977148362692,7.8900000000001,0.4245,1.29,normal,new_york,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-189
XAU_USD-4h-short-203:6,XAU_USD,4h,xau_usd_4h,short,2023-08-21 01:00:00+00:00,2023-08-21 05:00:00+00:00,2023-08-21 09:00:00+00:00,1892.52,1898.4261677637762,1868.1150000000005,1897.275,trendline_invalidation,1.0,-4.755,0.0,-4.755,-0.8051,-0.002513,1,2,81,normal,6.084671055105018,8.930000000000064,0.3312,2.17,normal,asia,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-203
XAU_USD-4h-long-261:7,XAU_USD,4h,xau_usd_4h,long,2023-09-01 09:00:00+00:00,2023-09-01 13:00:00+00:00,2023-09-01 13:00:00+00:00,1950.0500000000002,1936.9066292508865,1967.1,1936.8716292508864,stop,1.0,-13.178371,0.0,-13.178371,-1.0027,-0.006758,0,1,84,moderately_stretched,5.453482996453892,10.055000000000064,0.2194,3.37,normal,london,bullish_hh_hl_continuation,bullish,XAU_USD-4h-long-261
XAU_USD-4h-long-267:8,XAU_USD,4h,xau_usd_4h,long,2023-09-03 21:00:00+00:00,2023-09-04 01:00:00+00:00,2023-09-04 09:00:00+00:00,1940.99,1933.0047173703344,1974.1425,1939.99,trendline_invalidation,1.0,-1.0,0.0,-1.0,-0.1252,-0.000515,2,2,88,normal,5.861130518662256,2.285000000000082,0.4621,3.77,normal,off_hours,bullish_hh_hl_continuation,bullish,XAU_USD-4h-long-267
XAU_USD-4h-short-315:9,XAU_USD,4h,xau_usd_4h,short,2023-09-13 21:00:00+00:00,2023-09-14 01:00:00+00:00,2023-09-14 13:00:00+00:00,1912.59,1917.1239988837742,1894.1,1910.3600000000001,trendline_invalidation,1.0,2.23,0.0,2.23,0.4918,0.001166,3,1,78,normal,5.235995535096387,5.285000000000082,0.4034,1.58,normal,off_hours,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-315
XAU_USD-4h-long-339:10,XAU_USD,4h,xau_usd_4h,long,2023-09-20 13:00:00+00:00,2023-09-20 17:00:00+00:00,2023-09-20 17:00:00+00:00,1946.815,1926.6686660048501,1956.7900000000004,1930.5849999999998,trendline_invalidation,1.0,-16.23,0.0,-16.23,-0.8056,-0.008337,0,1,84,moderately_stretched,5.305335980598965,14.800000000000182,0.2593,3.06,normal,london_new_york,bullish_hh_hl_continuation,bullish,XAU_USD-4h-long-339
