trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
XAG_USD-4h-short-76:1,XAG_USD,4h,xag_usd_4h,short,2024-01-19 14:00:00+00:00,2024-01-19 18:00:00+00:00,2024-01-23 02:00:00+00:00,22.557,22.869858666639168,21.775000000000006,22.403,trendline_invalidation,1.0,0.154,0.0,0.154,0.4922,0.006827,8,1,88,normal,0.1657244442611249,0.2635000000000005,0.3776,5.05,normal,london_new_york,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-76
XAG_USD-4h-long-111:2,XAG_USD,4h,xag_usd_4h,long,2024-01-28 22:00:00+00:00,2024-01-29 02:00:00+00:00,2024-01-30 06:00:00+00:00,22.9252,22.675782700499628,23.3125,23.086,trendline_invalidation,1.0,0.1608,0.0,0.1608,0.6447,0.007014,7,1,84,normal,0.1747819966691639,0.18950000000000244,0.2659,3.38,normal,off_hours,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-111
XAG_USD-4h-long-124:3,XAG_USD,4h,xag_usd_4h,long,2024-01-31 14:00:00+00:00,2024-01-31 18:00:00+00:00,2024-01-31 18:00:00+00:00,23.110500000000002,22.98598512360652,23.640499999999992,22.950985123606518,stop,1.0,-0.159515,0.0,-0.159515,-1.2811,-0.006902,0,2,86,normal,0.1700991759565614,0.29450000000000287,0.4254,2.38,normal,london_new_york,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-124
XAG_USD-4h-short-147:4,XAG_USD,4h,xag_usd_4h,short,2024-02-06 10:00:00+00:00,2024-02-06 14:00:00+00:00,2024-02-06 14:00:00+00:00,22.299,22.49803549587358,21.819499999999998,22.481,trendline_invalidation,1.0,-0.182,0.0,-0.182,-0.9144,-0.008162,0,1,82,moderately_stretched,0.18356997249053786,0.1075000000000017,0.208,2.45,normal,london,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-147
XAG_USD-4h-short-153:5,XAG_USD,4h,xag_usd_4h,short,2024-02-07 02:00:00+00:00,2024-02-07 06:00:00+00:00,2024-02-08 06:00:00+00:00,22.225,22.51399495828939,22.0185,22.414,trendline_invalidation,1.0,-0.189,0.0,-0.189,-0.654,-0.008504,6,2,84,moderately_stretched,0.1699663885959559,0.17449999999999832,0.2123,3.06,normal,asia,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-153
XAG_USD-4h-short-158:6,XAG_USD,4h,xag_usd_4h,short,2024-02-07 22:00:00+00:00,2024-02-08 02:00:00+00:00,2024-02-08 02:00:00+00:00,22.1935,22.47053658849018,21.782,22.367,trendline_invalidation,1.0,-0.1735,0.0,-0.1735,-0.6263,-0.007818,0,3,76,normal,0.15691058993454796,0.0710000000000015,0.2233,1.52,normal,off_hours,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-158
XAG_USD-4h-long-263:7,XAG_USD,4h,xag_usd_4h,long,2024-03-04 10:00:00+00:00,2024-03-04 14:00:00+00:00,2024-03-04 14:00:00+00:00,23.38,22.9943188733491,23.598,23.563,target,1.0,0.183,0.0,0.183,0.4745,0.007827,0,1,82,moderately_stretched,0.18120751100597934,0.2469999999999999,0.2495,2.39,normal,london,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-263
XAG_USD-4h-long-273:8,XAG_USD,4h,xag_usd_4h,long,2024-03-06 06:00:00+00:00,2024-03-06 10:00:00+00:00,2024-03-11 21:00:00+00:00,23.797,23.542239702646764,25.00575,24.3965,trendline_invalidation,1.0,0.5995,0.0,0.5995,2.3532,0.025192,21,2,84,moderately_stretched,0.20506864902157346,0.12299999999999756,0.3361,7.35,normal,asia,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-273
XAG_USD-4h-long-322:9,XAG_USD,4h,xag_usd_4h,long,2024-03-18 09:00:00+00:00,2024-03-18 13:00:00+00:00,2024-03-18 13:00:00+00:00,25.273,24.91653585929604,26.116249999999997,25.001,trendline_invalidation,1.0,-0.272,0.0,-0.272,-0.7631,-0.010762,0,1,84,moderately_stretched,0.1997609380264114,0.27335000000000065,0.3486,4.48,normal,london,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-322
XAG_USD-4h-short-350:10,XAG_USD,4h,xag_usd_4h,short,2024-03-24 21:00:00+00:00,2024-03-25 01:00:00+00:00,2024-03-25 05:00:00+00:00,24.599,24.98250706640882,23.647800000000004,24.727,trendline_invalidation,1.0,-0.128,0.0,-0.128,-0.3338,-0.005203,1,1,83,moderately_stretched,0.22671377605880635,0.11080000000000112,0.3953,2.78,normal,off_hours,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-350
