trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
BCO_USD-4h-long-35:1,BCO_USD,4h,bco_usd_4h,long,2023-01-11 10:00:00+00:00,2023-01-11 14:00:00+00:00,2023-01-12 06:00:00+00:00,81.926,79.24324355197096,83.576,83.576,target,1.0,1.65,0.0,1.65,0.615,0.02014,4,1,79,moderately_stretched,1.111709653526887,1.6210000000000093,0.4841,1.63,normal,london,bullish_hh_hl_continuation,bullish,BCO_USD-4h-long-35
BCO_USD-4h-long-54:2,BCO_USD,4h,bco_usd_4h,long,2023-01-16 22:00:00+00:00,2023-01-17 02:00:00+00:00,2023-01-18 14:00:00+00:00,84.407,83.81806594872367,87.70199999999998,87.70199999999998,target,1.0,3.295,0.0,3.295,5.5949,0.039037,9,2,88,normal,0.8395603418421761,0.5040000000000049,0.2548,4.17,normal,off_hours,bullish_hh_hl_continuation,bullish,BCO_USD-4h-long-54
BCO_USD-4h-long-76:3,BCO_USD,4h,bco_usd_4h,long,2023-01-22 22:00:00+00:00,2023-01-23 02:00:00+00:00,2023-01-23 06:00:00+00:00,87.171,85.49488039619608,92.14999999999999,87.771,trendline_invalidation,1.0,0.6,0.0,0.6,0.358,0.006883,1,3,78,moderately_stretched,0.9341306920261456,0.742999999999995,0.4204,2.01,normal,off_hours,bullish_hh_hl_continuation,bullish,BCO_USD-4h-long-76
BCO_USD-4h-long-165:4,BCO_USD,4h,bco_usd_4h,long,2023-02-10 02:00:00+00:00,2023-02-10 06:00:00+00:00,2023-02-13 06:00:00+00:00,84.004,82.86936949254608,88.16100000000002,85.388,trendline_invalidation,1.0,1.384,0.0,1.384,1.2198,0.016475,6,1,87,normal,0.8908700496927764,0.5589999999999975,0.3808,2.62,normal,asia,bullish_hh_hl_continuation,bullish,BCO_USD-4h-long-165
BCO_USD-4h-short-214:5,BCO_USD,4h,bco_usd_4h,short,2023-02-22 22:00:00+00:00,2023-02-23 02:00:00+00:00,2023-02-23 02:00:00+00:00,80.896,83.65302693207654,76.215,80.84,trendline_invalidation,1.0,0.056,0.0,0.056,0.0203,0.000692,0,1,78,moderately_stretched,0.8935128805102486,0.4210000000000065,0.2925,1.36,normal,off_hours,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-214
BCO_USD-4h-short-290:6,BCO_USD,4h,bco_usd_4h,short,2023-03-13 09:00:00+00:00,2023-03-13 13:00:00+00:00,2023-03-15 09:00:00+00:00,79.04,83.75219396760718,76.815,76.815,target,1.0,2.225,0.0,2.225,0.4722,0.02815,11,1,88,moderately_stretched,1.154626450714581,4.180999999999997,0.453,4.95,expanded,london,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-290
BCO_USD-4h-short-305:7,BCO_USD,4h,bco_usd_4h,short,2023-03-15 13:00:00+00:00,2023-03-15 17:00:00+00:00,2023-03-15 21:00:00+00:00,71.922,79.03156534425759,70.3905,75.023,trendline_invalidation,1.0,-3.101,0.0,-3.101,-0.4362,-0.043116,1,2,78,moderately_stretched,1.5037689617172785,3.844999999999999,0.2566,1.42,expanded,london_new_york,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-305
BCO_USD-4h-short-332:8,BCO_USD,4h,bco_usd_4h,short,2023-03-22 01:00:00+00:00,2023-03-22 05:00:00+00:00,2023-03-22 09:00:00+00:00,75.043,75.64607598043904,69.90799999999999,75.64607598043904,stop,1.0,-0.603076,0.0,-0.603076,-1.0,-0.008036,1,3,86,normal,1.3071732029268477,0.5210000000000008,0.4345,7.54,normal,asia,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-332
BCO_USD-4h-long-384:9,BCO_USD,4h,bco_usd_4h,long,2023-04-03 13:00:00+00:00,2023-04-03 17:00:00+00:00,2023-04-04 13:00:00+00:00,85.217,83.67529502383918,89.952,84.701,trendline_invalidation,1.0,-0.516,0.0,-0.516,-0.3347,-0.006055,5,1,82,moderately_stretched,1.2180331744054707,1.331000000000003,0.2986,2.48,expanded,london_new_york,bullish_hh_hl_continuation,bullish,BCO_USD-4h-long-384
BCO_USD-4h-short-449:10,BCO_USD,4h,bco_usd_4h,short,2023-04-19 01:00:00+00:00,2023-04-19 05:00:00+00:00,2023-04-20 05:00:00+00:00,84.695,85.66407631571266,82.22099999999996,82.22099999999996,target,1.0,2.474,0.0,2.474,2.5529,0.029211,6,1,84,moderately_stretched,0.7071754380843305,0.6129999999999995,0.4257,3.69,normal,asia,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-449
BCO_USD-4h-short-465:11,BCO_USD,4h,bco_usd_4h,short,2023-04-23 21:00:00+00:00,2023-04-24 01:00:00+00:00,2023-04-24 13:00:00+00:00,81.333,82.26149276991396,78.63499999999999,82.26149276991396,stop,1.0,-0.928493,0.0,-0.928493,-1.0,-0.011416,3,2,84,moderately_stretched,0.7499517994263805,0.5630000000000024,0.2608,3.01,normal,off_hours,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-465
BCO_USD-4h-short-471:12,BCO_USD,4h,bco_usd_4h,short,2023-04-25 13:00:00+00:00,2023-04-25 17:00:00+00:00,2023-04-26 01:00:00+00:00,81.159,83.29949855773002,74.91699999999997,81.331,trendline_invalidation,1.0,-0.172,0.0,-0.172,-0.0804,-0.002119,2,3,86,normal,0.8366570515333783,1.6310000000000002,0.5194,5.4,normal,london_new_york,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-471
BCO_USD-4h-short-479:13,BCO_USD,4h,bco_usd_4h,short,2023-04-26 13:00:00+00:00,2023-04-26 17:00:00+00:00,2023-04-26 17:00:00+00:00,79.962,81.77397513475442,77.78299999999996,77.78299999999996,target,1.0,2.179,0.0,2.179,1.2026,0.02725,0,4,73,moderately_stretched,0.8865008983627652,1.5649999999999977,0.3279,1.2,normal,london_new_york,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-479
BCO_USD-4h-short-491:14,BCO_USD,4h,bco_usd_4h,short,2023-04-28 09:00:00+00:00,2023-04-28 13:00:00+00:00,2023-04-28 13:00:00+00:00,79.105,79.45959714322737,75.89050000000002,79.45959714322737,stop,1.0,-0.354597,0.0,-0.354597,-1.0,-0.004483,0,5,71,normal,0.9106476215158648,1.5290000000000106,0.3058,1.15,normal,london,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-491
BCO_USD-4h-short-684:15,BCO_USD,4h,bco_usd_4h,short,2023-06-14 01:00:00+00:00,2023-06-14 05:00:00+00:00,2023-06-14 05:00:00+00:00,74.483,74.85184843624485,67.99100000000001,74.85184843624485,stop,1.0,-0.368848,0.0,-0.368848,-1.0,-0.004952,0,1,88,normal,0.8456562416323614,0.5099999999999909,0.5016,7.23,normal,asia,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-684
BCO_USD-4h-long-708:16,BCO_USD,4h,bco_usd_4h,long,2023-06-19 09:00:00+00:00,2023-06-19 13:00:00+00:00,2023-06-19 13:00:00+00:00,76.868,75.32438783132686,78.93199999999996,76.162,trendline_invalidation,1.0,-0.706,0.0,-0.706,-0.4574,-0.009185,0,1,82,moderately_stretched,0.7840811244875453,0.7849999999999966,0.2648,2.38,normal,london,bullish_hh_hl_continuation,bullish,BCO_USD-4h-long-708
BCO_USD-4h-long-718:17,BCO_USD,4h,bco_usd_4h,long,2023-06-21 01:00:00+00:00,2023-06-21 05:00:00+00:00,2023-06-21 09:00:00+00:00,76.399,74.49919852339386,80.07066666666668,76.012,trendline_invalidation,1.0,-0.387,0.0,-0.387,-0.2037,-0.005066,1,1,88,normal,0.7920098440409233,0.715999999999994,0.6087,3.18,normal,asia,bullish_hh_hl_continuation,bullish,BCO_USD-4h-long-718
BCO_USD-4h-short-737:18,BCO_USD,4h,bco_usd_4h,short,2023-06-26 05:00:00+00:00,2023-06-26 09:00:00+00:00,2023-06-27 05:00:00+00:00,74.009,75.11696367147061,69.70099999999998,75.11696367147061,stop,1.0,-1.107964,0.0,-1.107964,-1.0,-0.014971,5,1,84,moderately_stretched,0.8730911431374339,1.2009999999999934,0.5246,3.64,normal,asia,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-737
BCO_USD-4h-short-741:19,BCO_USD,4h,bco_usd_4h,short,2023-06-27 01:00:00+00:00,2023-06-27 05:00:00+00:00,2023-06-28 05:00:00+00:00,74.798,75.19802671342548,72.18833333333333,72.18833333333333,target,1.0,2.609667,0.0,2.609667,6.5237,0.03489,6,2,86,normal,0.820178089503124,0.5550000000000068,0.3789,2.5,normal,asia,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-741
