trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
AUD_USD-4h-long-34:1,AUD_USD,4h,aud_usd_4h,long,2023-01-10 22:00:00+00:00,2023-01-11 02:00:00+00:00,2023-01-11 14:00:00+00:00,0.68904,0.6850469790297039,0.7076366666666666,0.6894,trendline_invalidation,1.0,0.00036,0.0,0.00036,0.0902,0.000522,3,1,84,normal,0.0037320838811844485,0.003290000000000015,0.3443,3.98,normal,off_hours,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-34
AUD_USD-4h-long-56:2,AUD_USD,4h,aud_usd_4h,long,2023-01-15 22:00:00+00:00,2023-01-16 02:00:00+00:00,2023-01-16 06:00:00+00:00,0.70152,0.6905156825676266,0.7125999999999998,0.69642,trendline_invalidation,1.0,-0.0051,0.0,-0.0051,-0.4635,-0.00727,1,1,80,moderately_stretched,0.004097269729493438,0.0049400000000000555,0.5869,1.89,normal,off_hours,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-56
AUD_USD-4h-long-112:3,AUD_USD,4h,aud_usd_4h,long,2023-01-29 22:00:00+00:00,2023-01-30 02:00:00+00:00,2023-01-30 02:00:00+00:00,0.71136,0.707487939706055,0.7247800000000002,0.70871,trendline_invalidation,1.0,-0.00265,0.0,-0.00265,-0.6844,-0.003725,0,1,88,normal,0.0030082411757801912,0.0022900000000000142,0.2593,3.61,normal,off_hours,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-112
AUD_USD-4h-short-196:4,AUD_USD,4h,aud_usd_4h,short,2023-02-16 14:00:00+00:00,2023-02-16 18:00:00+00:00,2023-02-17 10:00:00+00:00,0.68986,0.6945667152510031,0.67248,0.68352,trendline_invalidation,1.0,0.00634,0.0,0.00634,1.347,0.00919,4,1,80,normal,0.00386686100401241,0.006120000000000014,0.43,1.99,normal,london_new_york,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-196
AUD_USD-4h-short-227:5,AUD_USD,4h,aud_usd_4h,short,2023-02-23 10:00:00+00:00,2023-02-23 14:00:00+00:00,2023-02-24 10:00:00+00:00,0.68155,0.6848837153875674,0.6739299999999999,0.6739299999999999,target,1.0,0.00762,0.0,0.00762,2.2857,0.01118,5,1,81,moderately_stretched,0.00281486155026951,0.0027599999999999847,0.374,2.21,normal,london,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-227
AUD_USD-4h-short-232:6,AUD_USD,4h,aud_usd_4h,short,2023-02-24 10:00:00+00:00,2023-02-24 14:00:00+00:00,2023-02-27 06:00:00+00:00,0.6742,0.6832019869535984,0.66869,0.67173,trendline_invalidation,1.0,0.00247,0.0,0.00247,0.2744,0.003664,4,2,79,moderately_stretched,0.003127947814393199,0.006179999999999963,0.3065,1.69,normal,london,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-232
AUD_USD-4h-short-248:7,AUD_USD,4h,aud_usd_4h,short,2023-02-28 22:00:00+00:00,2023-03-01 02:00:00+00:00,2023-03-01 02:00:00+00:00,0.6734,0.6764999130850278,0.66271,0.67486,trendline_invalidation,1.0,-0.00146,0.0,-0.00146,-0.471,-0.002168,0,3,80,normal,0.0028796523401109883,0.0039799999999999836,0.374,2.39,normal,off_hours,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-248
AUD_USD-4h-short-273:8,AUD_USD,4h,aud_usd_4h,short,2023-03-07 10:00:00+00:00,2023-03-07 14:00:00+00:00,2023-03-07 22:00:00+00:00,0.66593,0.6755059648611442,0.6544800000000002,0.65885,trendline_invalidation,1.0,0.00708,0.0,0.00708,0.7394,0.010632,2,1,79,moderately_stretched,0.0027438594445769056,0.0020400000000000418,0.4734,1.62,normal,london,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-273
AUD_USD-4h-short-283:9,AUD_USD,4h,aud_usd_4h,short,2023-03-08 22:00:00+00:00,2023-03-09 02:00:00+00:00,2023-03-09 02:00:00+00:00,0.65816,0.6635788437240114,0.6456000000000004,0.6608,trendline_invalidation,1.0,-0.00264,0.0,-0.00264,-0.4872,-0.004011,0,2,81,moderately_stretched,0.0026353748960460124,0.0019400000000000528,0.2963,2.34,normal,off_hours,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-283
AUD_USD-4h-short-288:10,AUD_USD,4h,aud_usd_4h,short,2023-03-09 22:00:00+00:00,2023-03-10 02:00:00+00:00,2023-03-10 02:00:00+00:00,0.65826,0.6642877331739502,0.6429400000000001,0.65884,trendline_invalidation,1.0,-0.00058,0.0,-0.00058,-0.0962,-0.000881,0,3,79,moderately_stretched,0.0026709326958007725,0.0019099999999999673,0.3018,2.24,normal,off_hours,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-288
AUD_USD-4h-long-304:11,AUD_USD,4h,aud_usd_4h,long,2023-03-14 09:00:00+00:00,2023-03-14 13:00:00+00:00,2023-03-15 13:00:00+00:00,0.66874,0.6622573018261649,0.6806900000000001,0.6622573018261649,stop,1.0,-0.006483,0.0,-0.006483,-1.0,-0.009694,6,1,83,moderately_stretched,0.003690792695340105,0.005709999999999993,0.5577,2.71,normal,london,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-304
