trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
USD_JPY-4h-long-33:1,USD_JPY,4h,usd_jpy_4h,long,2023-01-10 06:00:00+00:00,2023-01-10 10:00:00+00:00,2023-01-11 14:00:00+00:00,131.824,131.1985507042081,134.39499999999998,132.487,trendline_invalidation,1.0,0.663,0.0,0.663,1.06,0.005029,7,1,87,moderately_stretched,0.7497971831676734,0.5960000000000036,0.4184,2.81,normal,asia,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-33
USD_JPY-4h-long-88:2,USD_JPY,4h,usd_jpy_4h,long,2023-01-23 10:00:00+00:00,2023-01-23 14:00:00+00:00,2023-01-23 22:00:00+00:00,130.5,128.84477656686704,133.18899999999996,130.262,trendline_invalidation,1.0,-0.238,0.0,-0.238,-0.1438,-0.001824,2,1,80,moderately_stretched,0.7968937325319312,0.9269999999999925,0.5151,1.95,normal,london,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-88
USD_JPY-4h-long-94:3,USD_JPY,4h,usd_jpy_4h,long,2023-01-24 14:00:00+00:00,2023-01-24 18:00:00+00:00,2023-01-25 06:00:00+00:00,130.022,129.55042427650454,132.33799999999997,129.85,trendline_invalidation,1.0,-0.172,0.0,-0.172,-0.3647,-0.001323,3,2,80,normal,0.7103028939819074,1.2510000000000048,0.35,1.97,normal,london_new_york,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-94
USD_JPY-4h-long-103:4,USD_JPY,4h,usd_jpy_4h,long,2023-01-26 14:00:00+00:00,2023-01-26 18:00:00+00:00,2023-01-26 22:00:00+00:00,130.336,128.86108803452564,133.50800000000004,129.692,trendline_invalidation,1.0,-0.644,0.0,-0.644,-0.4366,-0.004941,1,1,84,normal,0.651647861897425,0.9170000000000016,0.5531,2.09,normal,london_new_york,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-103
USD_JPY-4h-long-154:5,USD_JPY,4h,usd_jpy_4h,long,2023-02-08 02:00:00+00:00,2023-02-08 06:00:00+00:00,2023-02-08 06:00:00+00:00,131.1,130.31305539763142,136.45299999999995,130.67,trendline_invalidation,1.0,-0.43,0.0,-0.43,-0.5464,-0.00328,0,1,88,normal,0.6557784094743256,0.3480000000000132,0.5039,5.64,normal,asia,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-154
USD_JPY-4h-long-168:6,USD_JPY,4h,usd_jpy_4h,long,2023-02-09 18:00:00+00:00,2023-02-09 22:00:00+00:00,2023-02-10 02:00:00+00:00,131.585,130.17487852804325,134.50849999999997,131.554,trendline_invalidation,1.0,-0.031,0.0,-0.031,-0.022,-0.000236,1,1,87,normal,0.6684858878270246,0.51400000000001,0.4249,2.78,normal,new_york,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-168
USD_JPY-4h-long-207:7,USD_JPY,4h,usd_jpy_4h,long,2023-02-20 18:00:00+00:00,2023-02-20 22:00:00+00:00,2023-02-21 22:00:00+00:00,134.254,133.80781845387958,137.13199999999998,134.706,trendline_invalidation,1.0,0.452,0.0,0.452,1.013,0.003367,6,1,88,normal,0.46072618448164665,0.10099999999999909,0.3307,6.66,normal,new_york,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-207
USD_JPY-4h-long-220:8,USD_JPY,4h,usd_jpy_4h,long,2023-02-22 06:00:00+00:00,2023-02-22 10:00:00+00:00,2023-02-22 10:00:00+00:00,134.884,134.44435101408612,135.94600000000003,134.44435101408612,stop,1.0,-0.439649,0.0,-0.439649,-1.0,-0.003259,0,2,80,normal,0.43059594365547127,0.4000000000000057,0.3348,1.86,normal,asia,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-220
USD_JPY-4h-short-303:9,USD_JPY,4h,usd_jpy_4h,short,2023-03-15 01:00:00+00:00,2023-03-15 05:00:00+00:00,2023-03-15 05:00:00+00:00,134.522,135.09738513504976,128.82199999999995,135.09738513504976,stop,1.0,-0.575385,0.0,-0.575385,-1.0,-0.004277,0,1,88,normal,0.7655405401990144,0.5149999999999864,0.4656,5.84,normal,asia,bearish_ll_lh_continuation,bearish,USD_JPY-4h-short-303
USD_JPY-4h-short-322:10,USD_JPY,4h,usd_jpy_4h,short,2023-03-17 01:00:00+00:00,2023-03-17 05:00:00+00:00,2023-03-21 05:00:00+00:00,133.058,134.04247528587243,129.43099999999998,132.186,trendline_invalidation,1.0,0.872,0.0,0.872,0.8858,0.006554,12,2,84,normal,0.8499011434896538,0.4450000000000216,0.3998,5.49,normal,asia,bearish_ll_lh_continuation,bearish,USD_JPY-4h-short-322
