trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
XAU_USD-4h-long-28:1,XAU_USD,4h,xau_usd_4h,long,2023-01-10 06:00:00+00:00,2023-01-10 10:00:00+00:00,2023-01-11 14:00:00+00:00,1876.87,1865.604644884115,1897.9099999999999,1873.85,trendline_invalidation,1.0,-3.02,0.0,-3.02,-0.2681,-0.001609,7,1,81,moderately_stretched,9.30142046353998,6.6599999999998545,0.2414,2.21,normal,asia,bullish_hh_hl_continuation,bullish,XAU_USD-4h-long-28
XAU_USD-4h-long-80:2,XAU_USD,4h,xau_usd_4h,long,2023-01-22 22:00:00+00:00,2023-01-23 02:00:00+00:00,2023-01-23 10:00:00+00:00,1932.51,1918.3032296770716,1957.6299999999999,1922.01,trendline_invalidation,1.0,-10.5,0.0,-10.5,-0.7391,-0.005433,2,1,80,moderately_stretched,9.66708129171362,9.919999999999845,0.4122,2.09,normal,off_hours,bullish_hh_hl_continuation,bullish,XAU_USD-4h-long-80
XAU_USD-4h-long-92:3,XAU_USD,4h,xau_usd_4h,long,2023-01-25 02:00:00+00:00,2023-01-25 06:00:00+00:00,2023-01-25 10:00:00+00:00,1927.75,1914.8479938040618,1973.6633333333336,1922.355,trendline_invalidation,1.0,-5.395,0.0,-5.395,-0.4182,-0.002799,1,2,82,normal,9.488024783753183,13.8599999999999,0.5522,1.45,normal,asia,bullish_hh_hl_continuation,bullish,XAU_USD-4h-long-92
XAU_USD-4h-short-143:4,XAU_USD,4h,xau_usd_4h,short,2023-02-06 14:00:00+00:00,2023-02-06 18:00:00+00:00,2023-02-07 02:00:00+00:00,1865.98,1884.3283793952262,1833.0925000000002,1875.015,trendline_invalidation,1.0,-9.035,0.0,-9.035,-0.4924,-0.004842,2,1,81,moderately_stretched,11.693517580904581,12.689999999999827,0.2031,2.19,normal,london_new_york,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-143
XAU_USD-4h-short-235:5,XAU_USD,4h,xau_usd_4h,short,2023-02-27 22:00:00+00:00,2023-02-28 02:00:00+00:00,2023-02-28 14:00:00+00:00,1817.405,1821.8824969199993,1790.2549999999997,1821.8824969199993,stop,1.0,-4.477497,0.0,-4.477497,-1.0,-0.002464,3,1,84,normal,6.7299876799973735,2.7999999999999545,0.3428,4.43,normal,off_hours,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-235
XAU_USD-4h-short-277:6,XAU_USD,4h,xau_usd_4h,short,2023-03-09 02:00:00+00:00,2023-03-09 06:00:00+00:00,2023-03-09 06:00:00+00:00,1815.07,1825.8758241083065,1786.3549999999996,1817.085,trendline_invalidation,1.0,-2.015,0.0,-2.015,-0.1865,-0.00111,0,1,80,moderately_stretched,6.283296433225574,4.130000000000109,0.3044,1.91,normal,asia,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-277
XAU_USD-4h-long-310:7,XAU_USD,4h,xau_usd_4h,long,2023-03-16 13:00:00+00:00,2023-03-16 17:00:00+00:00,2023-03-17 17:00:00+00:00,1915.065,1903.992896640159,1973.0900000000004,1973.0900000000004,target,1.0,58.025,0.0,58.025,5.2406,0.030299,6,1,78,normal,14.2684134393635,20.1099999999999,0.2448,1.47,expanded,london_new_york,bullish_hh_hl_continuation,bullish,XAU_USD-4h-long-310
XAU_USD-4h-long-331:8,XAU_USD,4h,xau_usd_4h,long,2023-03-22 01:00:00+00:00,2023-03-22 05:00:00+00:00,2023-03-27 09:00:00+00:00,1939.425,1931.971939629885,2040.0349999999999,1945.775,trendline_invalidation,1.0,6.35,0.0,6.35,0.852,0.003274,19,2,88,moderately_stretched,13.972241480460456,8.310000000000173,0.5004,7.45,normal,asia,bullish_hh_hl_continuation,bullish,XAU_USD-4h-long-331
XAU_USD-4h-long-400:9,XAU_USD,4h,xau_usd_4h,long,2023-04-06 09:00:00+00:00,2023-04-06 13:00:00+00:00,2023-04-06 13:00:00+00:00,2012.91,2005.597327470634,2060.9625,2005.597327470634,stop,1.0,-7.312673,0.0,-7.312673,-1.0,-0.003633,0,1,84,normal,9.930690117464287,9.740000000000009,0.292,2.94,normal,london,bullish_hh_hl_continuation,bullish,XAU_USD-4h-long-400
XAU_USD-4h-long-516:10,XAU_USD,4h,xau_usd_4h,long,2023-05-04 13:00:00+00:00,2023-05-04 17:00:00+00:00,2023-05-05 09:00:00+00:00,2050.755,2026.9405526415896,2105.325,2026.9405526415896,stop,1.0,-23.814447,0.0,-23.814447,-1.0,-0.011613,4,1,84,moderately_stretched,13.797789433641384,27.539999999999964,0.4035,3.35,expanded,london_new_york,bullish_hh_hl_continuation,bullish,XAU_USD-4h-long-516
XAU_USD-4h-short-612:11,XAU_USD,4h,xau_usd_4h,short,2023-05-26 13:00:00+00:00,2023-05-26 17:00:00+00:00,2023-05-29 05:00:00+00:00,1944.235,1959.8594189058117,1910.8000000000002,1945.375,trendline_invalidation,1.0,-1.14,0.0,-1.14,-0.073,-0.000586,3,1,81,moderately_stretched,9.99767562324681,13.040000000000191,0.423,2.16,normal,london_new_york,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-612
XAU_USD-4h-short-718:12,XAU_USD,4h,xau_usd_4h,short,2023-06-21 09:00:00+00:00,2023-06-21 13:00:00+00:00,2023-06-22 13:00:00+00:00,1929.69,1941.380187669733,1914.5674999999997,1914.5674999999997,target,1.0,15.1225,0.0,15.1225,1.2936,0.007837,6,1,79,moderately_stretched,7.2207506789321885,9.855000000000018,0.256,1.66,normal,london,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-718
XAU_USD-4h-short-724:13,XAU_USD,4h,xau_usd_4h,short,2023-06-22 01:00:00+00:00,2023-06-22 05:00:00+00:00,2023-06-23 09:00:00+00:00,1929.86,1939.3784940203366,1899.2374999999997,1928.975,trendline_invalidation,1.0,0.885,0.0,0.885,0.093,0.000459,7,2,84,moderately_stretched,7.093976081345862,4.494999999999891,0.3772,4.69,normal,asia,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-724
XAU_USD-4h-short-754:14,XAU_USD,4h,xau_usd_4h,short,2023-06-29 01:00:00+00:00,2023-06-29 05:00:00+00:00,2023-06-29 21:00:00+00:00,1905.38,1915.284844199712,1892.0224999999996,1908.785,expired,1.0,-3.405,0.0,-3.405,-0.3438,-0.001787,4,3,78,moderately_stretched,7.399376798848326,10.014999999999873,0.3068,2.08,normal,asia,bearish_ll_lh_continuation,bearish,XAU_USD-4h-short-754
