trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
GBP_JPY-4h-short-27:1,GBP_JPY,4h,gbp_jpy_4h,short,2023-07-10 09:00:00+00:00,2023-07-10 13:00:00+00:00,2023-07-11 09:00:00+00:00,181.639,183.38773965805444,179.66600000000005,181.174,trendline_invalidation,1.0,0.465,0.0,0.465,0.2659,0.00256,5,1,80,moderately_stretched,0.6549586322178068,1.1410000000000196,0.6024,2.0,expanded,london,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-27
GBP_JPY-4h-short-38:2,GBP_JPY,4h,gbp_jpy_4h,short,2023-07-11 21:00:00+00:00,2023-07-12 01:00:00+00:00,2023-07-13 09:00:00+00:00,180.921,182.0154907276903,179.42900000000003,181.386,trendline_invalidation,1.0,-0.465,0.0,-0.465,-0.4249,-0.00257,8,2,83,moderately_stretched,0.637962910761136,0.7770000000000152,0.3294,2.67,normal,off_hours,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-38
GBP_JPY-4h-short-46:3,GBP_JPY,4h,gbp_jpy_4h,short,2023-07-13 21:00:00+00:00,2023-07-14 01:00:00+00:00,2023-07-14 09:00:00+00:00,180.653,181.63490405867577,177.21599999999998,181.63490405867577,stop,1.0,-0.981904,0.0,-0.981904,-1.0,-0.005435,2,3,86,normal,0.663616234703162,0.7739999999999725,0.4402,6.28,normal,off_hours,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-46
GBP_JPY-4h-short-81:4,GBP_JPY,4h,gbp_jpy_4h,short,2023-07-20 21:00:00+00:00,2023-07-21 01:00:00+00:00,2023-07-21 01:00:00+00:00,180.248,180.72520234892818,178.76899999999995,180.48,trendline_invalidation,1.0,-0.232,0.0,-0.232,-0.4862,-0.001287,0,1,81,normal,0.6048093957126924,0.3739999999999952,0.325,2.35,normal,off_hours,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-81
GBP_JPY-4h-short-141:5,GBP_JPY,4h,gbp_jpy_4h,short,2023-08-04 13:00:00+00:00,2023-08-04 17:00:00+00:00,2023-08-07 09:00:00+00:00,181.294,181.91271521815634,178.72733333333332,181.379,trendline_invalidation,1.0,-0.085,0.0,-0.085,-0.1374,-0.000469,4,1,83,normal,0.6668608726252668,0.6690000000000111,0.4603,2.7,normal,london_new_york,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-141
GBP_JPY-4h-long-172:6,GBP_JPY,4h,gbp_jpy_4h,long,2023-08-11 01:00:00+00:00,2023-08-11 05:00:00+00:00,2023-08-14 01:00:00+00:00,183.495,183.18076847672896,185.2685,183.626,trendline_invalidation,1.0,0.131,0.0,0.131,0.4169,0.000714,5,1,84,moderately_stretched,0.5009260930841833,0.23699999999999477,0.2578,3.37,normal,asia,bullish_hh_hl_continuation,bullish,GBP_JPY-4h-long-172
GBP_JPY-4h-short-226:7,GBP_JPY,4h,gbp_jpy_4h,short,2023-08-24 13:00:00+00:00,2023-08-24 17:00:00+00:00,2023-08-25 05:00:00+00:00,184.156,184.91368681238006,181.17399999999998,183.766,trendline_invalidation,1.0,0.39,0.0,0.39,0.5147,0.002118,3,1,84,moderately_stretched,0.5507472495201888,0.41499999999999204,0.4124,4.15,normal,london_new_york,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-226
GBP_JPY-4h-short-235:8,GBP_JPY,4h,gbp_jpy_4h,short,2023-08-28 09:00:00+00:00,2023-08-28 13:00:00+00:00,2023-08-28 17:00:00+00:00,184.42,184.76678177788455,181.70800000000008,184.674,trendline_invalidation,1.0,-0.254,0.0,-0.254,-0.7324,-0.001377,1,2,88,normal,0.4831271115382243,0.34200000000001296,0.3776,4.41,normal,london,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-235
GBP_JPY-4h-short-302:9,GBP_JPY,4h,gbp_jpy_4h,short,2023-09-11 17:00:00+00:00,2023-09-11 21:00:00+00:00,2023-09-11 21:00:00+00:00,183.427,184.049969806905,181.22050000000002,183.454,trendline_invalidation,1.0,-0.027,0.0,-0.027,-0.0433,-0.000147,0,1,83,normal,0.5438792276201068,0.20400000000000773,0.3973,2.76,normal,new_york,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-302
GBP_JPY-4h-short-355:10,GBP_JPY,4h,gbp_jpy_4h,short,2023-09-22 17:00:00+00:00,2023-09-24 21:00:00+00:00,2023-09-25 01:00:00+00:00,181.61,182.43867242883076,179.92433333333335,181.612,trendline_invalidation,1.0,-0.002,0.0,-0.002,-0.0024,-1.1e-05,1,1,80,moderately_stretched,0.514689715322992,0.2709999999999866,0.4818,1.9,normal,new_york,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-355
GBP_JPY-4h-long-387:11,GBP_JPY,4h,gbp_jpy_4h,long,2023-10-01 21:00:00+00:00,2023-10-02 01:00:00+00:00,2023-10-02 09:00:00+00:00,182.437,181.7711756744494,184.261,182.032,trendline_invalidation,1.0,-0.405,0.0,-0.405,-0.6083,-0.00222,2,1,84,moderately_stretched,0.48329730220237144,0.45999999999997954,0.5295,2.89,normal,off_hours,bullish_hh_hl_continuation,bullish,GBP_JPY-4h-long-387
GBP_JPY-4h-long-439:12,GBP_JPY,4h,gbp_jpy_4h,long,2023-10-13 01:00:00+00:00,2023-10-13 05:00:00+00:00,2023-10-13 09:00:00+00:00,182.624,182.21449671597907,185.59599999999995,182.21449671597907,stop,1.0,-0.409503,0.0,-0.409503,-1.0,-0.002242,1,1,88,normal,0.4860131360837976,0.3499999999999943,0.4988,7.77,normal,asia,bullish_hh_hl_continuation,bullish,GBP_JPY-4h-long-439
GBP_JPY-4h-long-560:13,GBP_JPY,4h,gbp_jpy_4h,long,2023-11-10 06:00:00+00:00,2023-11-10 10:00:00+00:00,2023-11-10 14:00:00+00:00,185.028,184.7196141958401,187.04999999999995,184.7196141958401,stop,1.0,-0.308386,0.0,-0.308386,-1.0,-0.001667,1,1,88,normal,0.4095432166395849,0.35900000000000887,0.4082,4.91,normal,asia,bullish_hh_hl_continuation,bullish,GBP_JPY-4h-long-560
GBP_JPY-4h-short-596:14,GBP_JPY,4h,gbp_jpy_4h,short,2023-11-20 06:00:00+00:00,2023-11-20 10:00:00+00:00,2023-11-20 18:00:00+00:00,185.407,186.93323292584347,182.59999999999997,185.551,trendline_invalidation,1.0,-0.144,0.0,-0.144,-0.0943,-0.000777,2,1,83,moderately_stretched,0.5649317033739,1.0790000000000077,0.4953,2.7,expanded,asia,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-596
GBP_JPY-4h-short-603:15,GBP_JPY,4h,gbp_jpy_4h,short,2023-11-21 06:00:00+00:00,2023-11-21 10:00:00+00:00,2023-11-21 14:00:00+00:00,185.18,185.79369339011166,183.005,185.648,trendline_invalidation,1.0,-0.468,0.0,-0.468,-0.7626,-0.002527,1,2,77,moderately_stretched,0.5747735604465518,0.7750000000000057,0.2777,1.31,normal,asia,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-603
GBP_JPY-4h-long-628:16,GBP_JPY,4h,gbp_jpy_4h,long,2023-11-27 10:00:00+00:00,2023-11-27 14:00:00+00:00,2023-11-27 18:00:00+00:00,187.885,187.48235805912083,189.964,187.75,trendline_invalidation,1.0,-0.135,0.0,-0.135,-0.3353,-0.000719,1,1,81,normal,0.5025677635167048,0.5860000000000127,0.2518,2.15,normal,london,bullish_hh_hl_continuation,bullish,GBP_JPY-4h-long-628
GBP_JPY-4h-long-633:17,GBP_JPY,4h,gbp_jpy_4h,long,2023-11-28 10:00:00+00:00,2023-11-28 14:00:00+00:00,2023-11-28 18:00:00+00:00,187.574,186.93101626401508,190.10799999999998,187.24,trendline_invalidation,1.0,-0.334,0.0,-0.334,-0.5195,-0.001781,1,2,86,normal,0.49993494393974686,0.5939999999999941,0.3338,2.37,normal,london,bullish_hh_hl_continuation,bullish,GBP_JPY-4h-long-633
