trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
LTC_USD-4h-short-16:1,LTC_USD,4h,ltc_usd_4h,short,2023-07-06 21:00:00+00:00,2023-07-07 01:00:00+00:00,2023-07-07 05:00:00+00:00,96.43,106.90746105615129,78.50666666666666,96.04,trendline_invalidation,1.0,0.39,0.0,0.39,0.0372,0.004044,1,1,80,moderately_stretched,3.8698442246051483,3.8800000000000097,0.4458,2.0,normal,off_hours,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-16
LTC_USD-4h-short-30:2,LTC_USD,4h,ltc_usd_4h,short,2023-07-11 13:00:00+00:00,2023-07-11 17:00:00+00:00,2023-07-13 05:00:00+00:00,96.64,98.94216535896638,83.66000000000001,98.94216535896638,stop,1.0,-2.302165,0.0,-2.302165,-1.0,-0.023822,9,2,88,normal,2.5686614358655118,2.0,0.3673,7.67,compressed,london_new_york,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-30
LTC_USD-4h-short-70:3,LTC_USD,4h,ltc_usd_4h,short,2023-07-19 09:00:00+00:00,2023-07-19 13:00:00+00:00,2023-07-20 05:00:00+00:00,92.9,94.7946209215561,82.92999999999996,94.7946209215561,stop,1.0,-1.894621,0.0,-1.894621,-1.0,-0.020394,4,1,84,normal,2.1384836862243843,1.2099999999999937,0.3265,3.76,normal,london,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-70
LTC_USD-4h-short-154:4,LTC_USD,4h,ltc_usd_4h,short,2023-08-09 01:00:00+00:00,2023-08-09 05:00:00+00:00,2023-08-09 09:00:00+00:00,84.02,85.80026215375926,68.89999999999999,84.44,trendline_invalidation,1.0,-0.42,0.0,-0.42,-0.2359,-0.004999,1,1,88,normal,1.5210486150370692,0.8399999999999892,0.4128,7.2,normal,asia,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-154
LTC_USD-4h-short-166:5,LTC_USD,4h,ltc_usd_4h,short,2023-08-10 09:00:00+00:00,2023-08-10 13:00:00+00:00,2023-08-11 17:00:00+00:00,83.72,84.63727275933435,81.345,82.96,trendline_invalidation,1.0,0.76,0.0,0.76,0.8285,0.009078,7,2,85,normal,1.1890910373374126,0.6500000000000057,0.3194,2.3,compressed,london,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-166
LTC_USD-4h-short-173:6,LTC_USD,4h,ltc_usd_4h,short,2023-08-13 21:00:00+00:00,2023-08-14 01:00:00+00:00,2023-08-14 13:00:00+00:00,82.0,83.80452602393304,80.445,82.82,trendline_invalidation,1.0,-0.82,0.0,-0.82,-0.4544,-0.01,3,3,78,moderately_stretched,1.0181040957321748,2.039999999999992,0.3462,2.1,normal,off_hours,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-173
LTC_USD-4h-short-180:7,LTC_USD,4h,ltc_usd_4h,short,2023-08-15 01:00:00+00:00,2023-08-15 05:00:00+00:00,2023-08-15 17:00:00+00:00,81.56,83.25164605876496,78.00666666666669,78.00666666666669,target,1.0,3.553333,0.0,3.553333,2.1005,0.043567,3,4,80,moderately_stretched,0.9265842350598651,0.7800000000000011,0.4495,3.0,normal,asia,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-180
LTC_USD-4h-short-198:8,LTC_USD,4h,ltc_usd_4h,short,2023-08-17 13:00:00+00:00,2023-08-17 17:00:00+00:00,2023-08-17 21:00:00+00:00,73.63,76.11752819804363,69.74999999999999,69.74999999999999,target,1.0,3.88,0.0,3.88,1.5598,0.052696,1,5,78,moderately_stretched,1.4301127921744996,2.989999999999995,0.2753,3.62,expanded,london_new_york,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-198
LTC_USD-4h-short-234:9,LTC_USD,4h,ltc_usd_4h,short,2023-08-28 01:00:00+00:00,2023-08-28 05:00:00+00:00,2023-08-28 13:00:00+00:00,64.76,65.74763581469924,60.29999999999998,65.26,trendline_invalidation,1.0,-0.5,0.0,-0.5,-0.5063,-0.007721,2,1,88,normal,1.23054325879694,0.6400000000000006,0.5396,3.44,normal,asia,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-234
LTC_USD-4h-short-269:10,LTC_USD,4h,ltc_usd_4h,short,2023-09-04 09:00:00+00:00,2023-09-04 13:00:00+00:00,2023-09-05 01:00:00+00:00,63.8,65.262665577661,57.93999999999998,63.3,trendline_invalidation,1.0,0.5,0.0,0.5,0.3418,0.007837,3,1,84,moderately_stretched,1.0506623106439996,0.5499999999999972,0.3565,5.09,normal,london,bearish_ll_lh_continuation,bearish,LTC_USD-4h-short-269
