trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
NZD_USD-4h-long-28:1,NZD_USD,4h,nzd_usd_4h,long,2023-07-10 17:00:00+00:00,2023-07-10 21:00:00+00:00,2023-07-10 21:00:00+00:00,0.62106,0.6160401506811755,0.6380999999999999,0.62172,trendline_invalidation,1.0,0.00066,0.0,0.00066,0.1315,0.001063,0,1,84,moderately_stretched,0.002479397275298298,0.0008400000000000629,0.6101,3.29,normal,new_york,bullish_hh_hl_continuation,bullish,NZD_USD-4h-long-28
NZD_USD-4h-long-37:2,NZD_USD,4h,nzd_usd_4h,long,2023-07-11 21:00:00+00:00,2023-07-12 01:00:00+00:00,2023-07-12 05:00:00+00:00,0.62169,0.6161089259674719,0.63211,0.61987,trendline_invalidation,1.0,-0.00182,0.0,-0.00182,-0.3261,-0.002928,1,2,84,moderately_stretched,0.0023642961301125953,0.002889999999999948,0.6265,3.24,normal,off_hours,bullish_hh_hl_continuation,bullish,NZD_USD-4h-long-37
NZD_USD-4h-short-74:3,NZD_USD,4h,nzd_usd_4h,short,2023-07-20 09:00:00+00:00,2023-07-20 13:00:00+00:00,2023-07-26 17:00:00+00:00,0.62552,0.6315846346722626,0.61226,0.62106,trendline_invalidation,1.0,0.00446,0.0,0.00446,0.7354,0.00713,25,1,88,moderately_stretched,0.0030985386890504925,0.005329999999999946,0.4443,3.39,normal,london,bearish_ll_lh_continuation,bearish,NZD_USD-4h-short-74
NZD_USD-4h-short-91:4,NZD_USD,4h,nzd_usd_4h,short,2023-07-24 21:00:00+00:00,2023-07-25 01:00:00+00:00,2023-07-25 01:00:00+00:00,0.61938,0.6222017858976233,0.6096266666666665,0.6222017858976233,stop,1.0,-0.002822,0.0,-0.002822,-1.0,-0.004556,0,2,84,normal,0.0025671435904934745,0.0024199999999999777,0.3152,3.27,normal,off_hours,bearish_ll_lh_continuation,bearish,NZD_USD-4h-short-91
NZD_USD-4h-short-193:5,NZD_USD,4h,nzd_usd_4h,short,2023-08-16 13:00:00+00:00,2023-08-16 17:00:00+00:00,2023-08-17 09:00:00+00:00,0.59436,0.6000616150531295,0.58592,0.59542,trendline_invalidation,1.0,-0.00106,0.0,-0.00106,-0.1859,-0.001783,4,1,83,normal,0.0028864602125181498,0.003029999999999977,0.3308,1.64,normal,london_new_york,bearish_ll_lh_continuation,bearish,NZD_USD-4h-short-193
NZD_USD-4h-short-199:6,NZD_USD,4h,nzd_usd_4h,short,2023-08-17 17:00:00+00:00,2023-08-17 21:00:00+00:00,2023-08-18 01:00:00+00:00,0.5922,0.5971211813438652,0.5816199999999998,0.59233,trendline_invalidation,1.0,-0.00013,0.0,-0.00013,-0.0264,-0.00022,1,2,82,normal,0.0028847253754606134,0.0018000000000000238,0.457,2.59,normal,new_york,bearish_ll_lh_continuation,bearish,NZD_USD-4h-short-199
NZD_USD-4h-short-471:7,NZD_USD,4h,nzd_usd_4h,short,2023-10-19 21:00:00+00:00,2023-10-20 01:00:00+00:00,2023-10-20 13:00:00+00:00,0.58316,0.5872904015641262,0.575655,0.58306,trendline_invalidation,1.0,0.0001,0.0,0.0001,0.0242,0.000171,3,1,83,moderately_stretched,0.002401606256504437,0.0022899999999999032,0.4495,2.66,normal,off_hours,bearish_ll_lh_continuation,bearish,NZD_USD-4h-short-471
NZD_USD-4h-short-483:8,NZD_USD,4h,nzd_usd_4h,short,2023-10-24 13:00:00+00:00,2023-10-24 17:00:00+00:00,2023-10-24 17:00:00+00:00,0.58334,0.587788134554451,0.5683400000000001,0.58446,trendline_invalidation,1.0,-0.00112,0.0,-0.00112,-0.2518,-0.00192,0,2,88,normal,0.0020325382178039836,0.0020200000000000218,0.5806,4.47,normal,london_new_york,bearish_ll_lh_continuation,bearish,NZD_USD-4h-short-483
NZD_USD-4h-long-637:9,NZD_USD,4h,nzd_usd_4h,long,2023-11-28 14:00:00+00:00,2023-11-28 18:00:00+00:00,2023-11-28 22:00:00+00:00,0.61276,0.6074675928675545,0.6158399999999999,0.6158399999999999,target,1.0,0.00308,0.0,0.00308,0.582,0.005026,1,1,79,moderately_stretched,0.0022096285297819496,0.0046599999999999975,0.2886,1.84,normal,london_new_york,bullish_hh_hl_continuation,bullish,NZD_USD-4h-long-637
NZD_USD-4h-long-642:10,NZD_USD,4h,nzd_usd_4h,long,2023-11-29 22:00:00+00:00,2023-11-30 02:00:00+00:00,2023-11-30 06:00:00+00:00,0.61672,0.6131390125799454,0.63082,0.61538,trendline_invalidation,1.0,-0.00134,0.0,-0.00134,-0.3742,-0.002173,1,2,84,moderately_stretched,0.0026439496802185096,0.0021399999999999197,0.3699,3.69,expanded,off_hours,bullish_hh_hl_continuation,bullish,NZD_USD-4h-long-642
