trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
USD_CAD-4h-short-38:1,USD_CAD,4h,usd_cad_4h,short,2023-07-11 21:00:00+00:00,2023-07-12 01:00:00+00:00,2023-07-12 05:00:00+00:00,1.3219,1.3296462424626252,1.3144600000000002,1.32118,trendline_invalidation,1.0,0.00072,0.0,0.00072,0.0929,0.000545,1,1,77,moderately_stretched,0.0027049698505011376,0.0018199999999999328,0.3143,1.3,normal,off_hours,bearish_ll_lh_continuation,bearish,USD_CAD-4h-short-38
USD_CAD-4h-short-64:2,USD_CAD,4h,usd_cad_4h,short,2023-07-18 21:00:00+00:00,2023-07-19 01:00:00+00:00,2023-07-19 01:00:00+00:00,1.31694,1.3251259017565729,1.2882599999999995,1.3177,trendline_invalidation,1.0,-0.00076,0.0,-0.00076,-0.0928,-0.000577,0,1,84,normal,0.0031436070262913524,0.0016000000000000458,0.6408,3.41,normal,off_hours,bearish_ll_lh_continuation,bearish,USD_CAD-4h-short-64
USD_CAD-4h-long-147:3,USD_CAD,4h,usd_cad_4h,long,2023-08-07 01:00:00+00:00,2023-08-07 05:00:00+00:00,2023-08-07 09:00:00+00:00,1.33772,1.3311876955221458,1.3484766666666665,1.33598,trendline_invalidation,1.0,-0.00174,0.0,-0.00174,-0.2664,-0.001301,1,1,78,moderately_stretched,0.003089217911417025,0.0017199999999999438,0.3068,1.42,normal,asia,bullish_hh_hl_continuation,bullish,USD_CAD-4h-long-147
USD_CAD-4h-long-159:4,USD_CAD,4h,usd_cad_4h,long,2023-08-09 01:00:00+00:00,2023-08-09 05:00:00+00:00,2023-08-10 05:00:00+00:00,1.34163,1.3402128954912618,1.35948,1.3402128954912618,stop,1.0,-0.001417,0.0,-0.001417,-1.0,-0.001056,6,2,84,normal,0.0032684180349523994,0.002020000000000133,0.4302,5.96,normal,asia,bullish_hh_hl_continuation,bullish,USD_CAD-4h-long-159
USD_CAD-4h-long-184:5,USD_CAD,4h,usd_cad_4h,long,2023-08-15 17:00:00+00:00,2023-08-15 21:00:00+00:00,2023-08-16 01:00:00+00:00,1.34982,1.3431631480934358,1.35792,1.3498,trendline_invalidation,1.0,-2e-05,0.0,-2e-05,-0.003,-1.5e-05,1,1,78,moderately_stretched,0.0031074076262566754,0.0018599999999999728,0.3779,1.37,normal,new_york,bullish_hh_hl_continuation,bullish,USD_CAD-4h-long-184
USD_CAD-4h-long-238:6,USD_CAD,4h,usd_cad_4h,long,2023-08-28 09:00:00+00:00,2023-08-28 13:00:00+00:00,2023-08-28 13:00:00+00:00,1.35994,1.3576485932779179,1.3705800000000001,1.3576485932779179,stop,1.0,-0.002291,0.0,-0.002291,-1.0,-0.001685,0,1,84,moderately_stretched,0.0027256268883289543,0.0017699999999998273,0.3949,3.54,normal,london,bullish_hh_hl_continuation,bullish,USD_CAD-4h-long-238
USD_CAD-4h-long-244:7,USD_CAD,4h,usd_cad_4h,long,2023-08-29 09:00:00+00:00,2023-08-29 13:00:00+00:00,2023-08-29 13:00:00+00:00,1.36334,1.3579868641376032,1.3656550000000003,1.3579868641376032,stop,1.0,-0.005353,0.0,-0.005353,-1.0,-0.003926,0,2,77,moderately_stretched,0.0026925434495868442,0.003850000000000131,0.2505,1.29,normal,london,bullish_hh_hl_continuation,bullish,USD_CAD-4h-long-244
USD_CAD-4h-long-278:8,USD_CAD,4h,usd_cad_4h,long,2023-09-05 21:00:00+00:00,2023-09-06 01:00:00+00:00,2023-09-06 09:00:00+00:00,1.36468,1.3592370792514774,1.37705,1.36516,trendline_invalidation,1.0,0.00048,0.0,0.00048,0.0882,0.000352,2,1,82,moderately_stretched,0.00281168299409029,0.0019499999999998963,0.3891,2.38,normal,off_hours,bullish_hh_hl_continuation,bullish,USD_CAD-4h-long-278
USD_CAD-4h-long-292:9,USD_CAD,4h,usd_cad_4h,long,2023-09-08 17:00:00+00:00,2023-09-10 21:00:00+00:00,2023-09-11 01:00:00+00:00,1.36364,1.3600930404363978,1.3824000000000003,1.3602,trendline_invalidation,1.0,-0.00344,0.0,-0.00344,-0.9698,-0.002523,1,2,88,normal,0.0029078382544084564,0.0021700000000000053,0.4331,4.17,normal,new_york,bullish_hh_hl_continuation,bullish,USD_CAD-4h-long-292
USD_CAD-4h-short-325:10,USD_CAD,4h,usd_cad_4h,short,2023-09-18 01:00:00+00:00,2023-09-18 05:00:00+00:00,2023-09-19 09:00:00+00:00,1.35114,1.3556103258195606,1.34174,1.34174,target,1.0,0.0094,0.0,0.0094,2.1028,0.006957,7,1,87,normal,0.002521303278242427,0.0017700000000000493,0.3879,2.63,normal,asia,bearish_ll_lh_continuation,bearish,USD_CAD-4h-short-325
