trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
XAG_USD-4h-long-38:1,XAG_USD,4h,xag_usd_4h,long,2023-07-11 21:00:00+00:00,2023-07-12 01:00:00+00:00,2023-07-12 13:00:00+00:00,23.182,22.994143022742804,23.855500000000003,23.855500000000003,target,1.0,0.6735,0.0,0.6735,3.5852,0.029053,3,1,84,moderately_stretched,0.16571318171461857,0.08149999999999835,0.4282,5.41,normal,off_hours,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-38
XAG_USD-4h-short-141:2,XAG_USD,4h,xag_usd_4h,short,2023-08-04 01:00:00+00:00,2023-08-04 05:00:00+00:00,2023-08-04 13:00:00+00:00,23.5305,23.741181785247747,23.074166666666663,23.741181785247747,stop,1.0,-0.210682,0.0,-0.210682,-1.0,-0.008954,2,1,84,moderately_stretched,0.18454523498497405,0.14649999999999963,0.2144,3.09,normal,asia,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-141
XAG_USD-4h-short-147:3,XAG_USD,4h,xag_usd_4h,short,2023-08-07 01:00:00+00:00,2023-08-07 05:00:00+00:00,2023-08-09 21:00:00+00:00,23.524,23.82608951969549,22.595,22.716,trendline_invalidation,1.0,0.808,0.0,0.808,2.6747,0.034348,16,2,84,moderately_stretched,0.1839301313032552,0.10549999999999926,0.3541,4.28,normal,asia,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-147
XAG_USD-4h-short-177:4,XAG_USD,4h,xag_usd_4h,short,2023-08-13 21:00:00+00:00,2023-08-14 01:00:00+00:00,2023-08-14 05:00:00+00:00,22.6155,22.86998505216187,22.2425,22.7145,trendline_invalidation,1.0,-0.099,0.0,-0.099,-0.389,-0.004378,1,3,77,normal,0.16656701441245939,0.09849999999999781,0.2669,1.75,normal,off_hours,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-177
XAG_USD-4h-long-205:5,XAG_USD,4h,xag_usd_4h,long,2023-08-21 01:00:00+00:00,2023-08-21 05:00:00+00:00,2023-08-21 09:00:00+00:00,22.8485,22.60850989469314,23.173000000000002,23.173000000000002,target,1.0,0.3245,0.0,0.3245,1.3521,0.014202,1,1,78,moderately_stretched,0.17326736871239795,0.20149999999999935,0.3802,1.48,normal,asia,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-205
XAG_USD-4h-long-219:6,XAG_USD,4h,xag_usd_4h,long,2023-08-22 21:00:00+00:00,2023-08-23 01:00:00+00:00,2023-08-23 09:00:00+00:00,23.436,23.185462597051252,23.8034,23.8034,target,1.0,0.3674,0.0,0.3674,1.4664,0.015677,2,1,78,moderately_stretched,0.16691601965831387,0.0589999999999975,0.2225,1.53,normal,off_hours,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-219
XAG_USD-4h-short-315:7,XAG_USD,4h,xag_usd_4h,short,2023-09-14 01:00:00+00:00,2023-09-14 05:00:00+00:00,2023-09-14 09:00:00+00:00,22.736,23.05438443373955,22.442716666666673,22.442716666666673,target,1.0,0.293283,0.0,0.293283,0.9212,0.0129,1,1,78,moderately_stretched,0.1658962249303444,0.2424500000000016,0.593,1.58,normal,asia,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-315
XAG_USD-4h-long-421:8,XAG_USD,4h,xag_usd_4h,long,2023-10-09 17:00:00+00:00,2023-10-09 21:00:00+00:00,2023-10-10 01:00:00+00:00,21.877,21.535420521184836,22.6337,21.7485,trendline_invalidation,1.0,-0.1285,0.0,-0.1285,-0.3762,-0.005874,1,1,81,moderately_stretched,0.2571965254344284,0.15700000000000003,0.3329,2.27,normal,new_york,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-421
XAG_USD-4h-long-440:9,XAG_USD,4h,xag_usd_4h,long,2023-10-12 21:00:00+00:00,2023-10-13 01:00:00+00:00,2023-10-13 13:00:00+00:00,21.904,21.725684337248524,22.787,22.787,target,1.0,0.883,0.0,0.883,4.9519,0.040312,3,1,88,normal,0.18877108500984732,0.09600000000000009,0.3399,7.61,normal,off_hours,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-440
XAG_USD-4h-long-448:10,XAG_USD,4h,xag_usd_4h,long,2023-10-16 13:00:00+00:00,2023-10-16 17:00:00+00:00,2023-10-17 01:00:00+00:00,22.6375,22.445145192915504,23.3035,22.445145192915504,stop,1.0,-0.192355,0.0,-0.192355,-1.0,-0.008497,2,2,82,moderately_stretched,0.20903204722998717,0.17749999999999844,0.2754,2.44,normal,london_new_york,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-448
