trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
EUR_USD-4h-short-26:1,EUR_USD,4h,eur_usd_4h,short,2024-01-09 10:00:00+00:00,2024-01-09 14:00:00+00:00,2024-01-10 06:00:00+00:00,1.09464,1.0985102501430462,1.0857866666666665,1.09472,trendline_invalidation,1.0,-8e-05,0.0,-8e-05,-0.0207,-7.3e-05,4,1,83,normal,0.002441000572183831,0.0019399999999998307,0.4845,1.7,normal,london,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-26
EUR_USD-4h-short-70:2,EUR_USD,4h,eur_usd_4h,short,2024-01-18 14:00:00+00:00,2024-01-18 18:00:00+00:00,2024-01-18 18:00:00+00:00,1.08594,1.09131039840183,1.0709199999999999,1.08763,trendline_invalidation,1.0,-0.00169,0.0,-0.00169,-0.3147,-0.001556,0,1,81,moderately_stretched,0.002521593607319156,0.0023400000000000087,0.4013,2.26,normal,london_new_york,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-70
EUR_USD-4h-short-118:3,EUR_USD,4h,eur_usd_4h,short,2024-01-30 06:00:00+00:00,2024-01-30 10:00:00+00:00,2024-01-30 10:00:00+00:00,1.08269,1.0847951774045055,1.07398,1.0847951774045055,stop,1.0,-0.002105,0.0,-0.002105,-1.0,-0.001944,0,1,84,normal,0.0023007096180217373,0.002020000000000133,0.3387,3.15,normal,asia,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-118
EUR_USD-4h-long-224:4,EUR_USD,4h,eur_usd_4h,long,2024-02-22 22:00:00+00:00,2024-02-23 02:00:00+00:00,2024-02-23 06:00:00+00:00,1.08272,1.0797472426597716,1.0986300000000004,1.08174,trendline_invalidation,1.0,-0.00098,0.0,-0.00098,-0.3297,-0.000905,1,1,84,normal,0.0021310293609133556,0.0017300000000000093,0.548,5.55,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-224
EUR_USD-4h-long-280:5,EUR_USD,4h,eur_usd_4h,long,2024-03-07 18:00:00+00:00,2024-03-07 22:00:00+00:00,2024-03-07 22:00:00+00:00,1.09462,1.0862229620184494,1.1135350000000002,1.0948,trendline_invalidation,1.0,0.00018,0.0,0.00018,0.0214,0.000164,0,1,82,moderately_stretched,0.002188151926202171,0.0012599999999998168,0.3995,2.41,expanded,new_york,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-280
EUR_USD-4h-long-296:6,EUR_USD,4h,eur_usd_4h,long,2024-03-11 21:00:00+00:00,2024-03-12 01:00:00+00:00,2024-03-12 09:00:00+00:00,1.09288,1.0909906370980424,1.0988499999999997,1.0909906370980424,stop,1.0,-0.001889,0.0,-0.001889,-1.0,-0.001729,2,2,87,normal,0.0018774516078304076,0.0011099999999999444,0.3114,2.84,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-296
EUR_USD-4h-short-319:7,EUR_USD,4h,eur_usd_4h,short,2024-03-17 21:00:00+00:00,2024-03-18 01:00:00+00:00,2024-03-18 05:00:00+00:00,1.08853,1.0903790873570167,1.0841266666666667,1.0894,trendline_invalidation,1.0,-0.00087,0.0,-0.00087,-0.4705,-0.000799,1,1,80,moderately_stretched,0.0015963494280672164,0.0011699999999998933,0.2945,2.07,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-319
EUR_USD-4h-short-380:8,EUR_USD,4h,eur_usd_4h,short,2024-03-31 21:00:00+00:00,2024-04-01 01:00:00+00:00,2024-04-02 05:00:00+00:00,1.07914,1.0810282153423285,1.0728300000000002,1.0728300000000002,target,1.0,0.00631,0.0,0.00631,3.3418,0.005847,7,1,83,normal,0.0017928613693138716,0.0013400000000001189,0.3909,2.71,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-380
EUR_USD-4h-short-458:9,EUR_USD,4h,eur_usd_4h,short,2024-04-18 13:00:00+00:00,2024-04-18 17:00:00+00:00,2024-04-19 05:00:00+00:00,1.06532,1.069577585738218,1.0457300000000003,1.06456,trendline_invalidation,1.0,0.00076,0.0,0.00076,0.1785,0.000713,3,1,88,normal,0.002270342952871885,0.0022100000000000453,0.5581,5.61,normal,london_new_york,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-458
EUR_USD-4h-long-487:10,EUR_USD,4h,eur_usd_4h,long,2024-04-24 17:00:00+00:00,2024-04-24 21:00:00+00:00,2024-04-25 09:00:00+00:00,1.06968,1.0672593616163768,1.0759799999999997,1.06922,trendline_invalidation,1.0,-0.00046,0.0,-0.00046,-0.19,-0.00043,3,1,80,moderately_stretched,0.002162553534492789,0.0019700000000000273,0.35,1.91,normal,new_york,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-487
