trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
BCH_USD-4h-long-51:1,BCH_USD,4h,bch_usd_4h,long,2024-07-12 13:00:00+00:00,2024-07-12 17:00:00+00:00,2024-07-17 05:00:00+00:00,357.62,338.556048003053,405.9066666666667,382.86,trendline_invalidation,1.0,25.24,0.0,25.24,1.324,0.070578,15,1,84,moderately_stretched,9.535807987788067,8.949999999999989,0.3409,4.74,normal,london_new_york,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-51
BCH_USD-4h-long-73:2,BCH_USD,4h,bch_usd_4h,long,2024-07-17 21:00:00+00:00,2024-07-18 01:00:00+00:00,2024-07-18 21:00:00+00:00,378.81,368.75652691748144,430.69,376.94,trendline_invalidation,1.0,-1.87,0.0,-1.87,-0.186,-0.004937,5,2,88,normal,10.573892330074143,5.960000000000036,0.4375,4.62,normal,off_hours,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-73
BCH_USD-4h-short-152:3,BCH_USD,4h,bch_usd_4h,short,2024-08-06 13:00:00+00:00,2024-08-06 17:00:00+00:00,2024-08-07 09:00:00+00:00,323.33,335.0550744257706,205.98000000000002,326.21,trendline_invalidation,1.0,-2.88,0.0,-2.88,-0.2456,-0.008907,4,1,84,moderately_stretched,19.180297703082402,17.52000000000004,0.3324,4.09,normal,london_new_york,bearish_ll_lh_continuation,bearish,BCH_USD-4h-short-152
BCH_USD-4h-long-178:4,BCH_USD,4h,bch_usd_4h,long,2024-08-12 21:00:00+00:00,2024-08-13 01:00:00+00:00,2024-08-14 05:00:00+00:00,359.54,324.041212778589,382.9549999999999,344.25,trendline_invalidation,1.0,-15.29,0.0,-15.29,-0.4307,-0.042527,7,1,78,moderately_stretched,13.595148885644074,19.819999999999993,0.343,1.53,normal,off_hours,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-178
BCH_USD-4h-long-187:5,BCH_USD,4h,bch_usd_4h,long,2024-08-13 17:00:00+00:00,2024-08-13 21:00:00+00:00,2024-08-14 05:00:00+00:00,350.63,340.5051875124588,390.2999999999999,344.25,trendline_invalidation,1.0,-6.38,0.0,-6.38,-0.6301,-0.018196,2,1,81,normal,12.659249950164826,9.569999999999993,0.3769,2.13,normal,new_york,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-187
BCH_USD-4h-short-270:6,BCH_USD,4h,bch_usd_4h,short,2024-09-03 13:00:00+00:00,2024-09-03 17:00:00+00:00,2024-09-04 13:00:00+00:00,311.92,327.6707137945664,285.7266666666666,318.52,trendline_invalidation,1.0,-6.6,0.0,-6.6,-0.419,-0.021159,5,1,88,moderately_stretched,6.3628551782655,10.990000000000009,0.3727,3.86,normal,london_new_york,bearish_ll_lh_continuation,bearish,BCH_USD-4h-short-270
BCH_USD-4h-long-311:7,BCH_USD,4h,bch_usd_4h,long,2024-09-11 13:00:00+00:00,2024-09-11 17:00:00+00:00,2024-09-13 01:00:00+00:00,336.13,317.81373612113396,347.64,329.44,trendline_invalidation,1.0,-6.69,0.0,-6.69,-0.3652,-0.019903,8,1,78,moderately_stretched,6.9850555154641985,15.919999999999959,0.2929,1.45,normal,london_new_york,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-311
BCH_USD-4h-short-401:8,BCH_USD,4h,bch_usd_4h,short,2024-10-02 13:00:00+00:00,2024-10-02 17:00:00+00:00,2024-10-03 21:00:00+00:00,319.39,326.22084943623383,294.86499999999995,320.3,trendline_invalidation,1.0,-0.91,0.0,-0.91,-0.1332,-0.002849,7,1,78,moderately_stretched,7.923397744935357,9.28000000000003,0.2529,1.52,normal,london_new_york,bearish_ll_lh_continuation,bearish,BCH_USD-4h-short-401
BCH_USD-4h-long-424:9,BCH_USD,4h,bch_usd_4h,long,2024-10-08 13:00:00+00:00,2024-10-08 17:00:00+00:00,2024-10-08 21:00:00+00:00,332.22,319.97320407392647,353.93999999999994,328.25,trendline_invalidation,1.0,-3.97,0.0,-3.97,-0.3242,-0.01195,1,1,83,moderately_stretched,6.587183704294173,7.1299999999999955,0.4533,2.7,normal,london_new_york,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-424
BCH_USD-4h-long-521:10,BCH_USD,4h,bch_usd_4h,long,2024-10-31 09:00:00+00:00,2024-10-31 13:00:00+00:00,2024-10-31 13:00:00+00:00,373.28,364.00947501888203,424.5766666666668,364.00947501888203,stop,1.0,-9.270525,0.0,-9.270525,-1.0,-0.024835,0,1,88,normal,8.282099924471854,6.389999999999986,0.4543,4.41,normal,london,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-521
BCH_USD-4h-long-558:11,BCH_USD,4h,bch_usd_4h,long,2024-11-07 14:00:00+00:00,2024-11-07 18:00:00+00:00,2024-11-08 06:00:00+00:00,382.72,367.79209221253075,406.31999999999994,372.62,trendline_invalidation,1.0,-10.1,0.0,-10.1,-0.6766,-0.02639,3,1,82,moderately_stretched,10.271631149877036,12.5,0.253,2.47,normal,london_new_york,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-558
BCH_USD-4h-long-576:12,BCH_USD,4h,bch_usd_4h,long,2024-11-12 22:00:00+00:00,2024-11-13 02:00:00+00:00,2024-11-13 02:00:00+00:00,429.45,413.99731598989007,549.1199999999999,413.99731598989007,stop,1.0,-15.452684,0.0,-15.452684,-1.0,-0.035982,0,2,84,normal,17.930736040439733,20.279999999999973,0.4293,4.05,normal,off_hours,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-576
BCH_USD-4h-long-602:13,BCH_USD,4h,bch_usd_4h,long,2024-11-18 18:00:00+00:00,2024-11-18 22:00:00+00:00,2024-11-21 02:00:00+00:00,457.36,426.85068123034796,482.7249999999999,482.7249999999999,target,1.0,25.365,0.0,25.365,0.8314,0.05546,13,1,82,moderately_stretched,18.077275078608075,38.89000000000004,0.4801,1.5,normal,new_york,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-602
