trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
USD_CHF-4h-short-30:1,USD_CHF,4h,usd_chf_4h,short,2024-07-09 09:00:00+00:00,2024-07-09 13:00:00+00:00,2024-07-10 09:00:00+00:00,0.89806,0.8994350256545769,0.8879100000000003,0.89814,trendline_invalidation,1.0,-8e-05,0.0,-8e-05,-0.0582,-8.9e-05,5,1,88,normal,0.0015001026183076834,0.0011600000000000499,0.4401,6.51,normal,london,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-30
USD_CHF-4h-short-52:2,USD_CHF,4h,usd_chf_4h,short,2024-07-12 05:00:00+00:00,2024-07-12 09:00:00+00:00,2024-07-14 21:00:00+00:00,0.89583,0.8974826727645704,0.8852,0.89626,trendline_invalidation,1.0,-0.00043,0.0,-0.00043,-0.2602,-0.00048,3,1,84,normal,0.001690691058281668,0.0008199999999999319,0.6035,7.34,normal,asia,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-52
USD_CHF-4h-short-58:3,USD_CHF,4h,usd_chf_4h,short,2024-07-15 05:00:00+00:00,2024-07-15 09:00:00+00:00,2024-07-15 17:00:00+00:00,0.89399,0.89768083710757,0.88808,0.89577,trendline_invalidation,1.0,-0.00178,0.0,-0.00178,-0.4823,-0.001991,2,2,84,moderately_stretched,0.0017633484302795658,0.0021399999999999197,0.581,3.53,normal,asia,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-58
USD_CHF-4h-short-153:4,USD_CHF,4h,usd_chf_4h,short,2024-08-06 13:00:00+00:00,2024-08-06 17:00:00+00:00,2024-08-06 21:00:00+00:00,0.85359,0.8582873307801109,0.8218950000000002,0.85354,trendline_invalidation,1.0,5e-05,0.0,5e-05,0.0106,5.9e-05,1,1,84,moderately_stretched,0.004389323120443593,0.0041200000000000125,0.3149,5.03,expanded,london_new_york,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-153
USD_CHF-4h-short-160:5,USD_CHF,4h,usd_chf_4h,short,2024-08-07 21:00:00+00:00,2024-08-08 01:00:00+00:00,2024-08-08 09:00:00+00:00,0.85858,0.8673699262673353,0.8261699999999998,0.86206,trendline_invalidation,1.0,-0.00348,0.0,-0.00348,-0.3959,-0.004053,2,2,88,normal,0.004519705069341176,0.006349999999999967,0.5064,5.29,normal,off_hours,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-160
USD_CHF-4h-long-184:6,USD_CHF,4h,usd_chf_4h,long,2024-08-13 01:00:00+00:00,2024-08-13 05:00:00+00:00,2024-08-13 13:00:00+00:00,0.86734,0.863710566253483,0.8785000000000001,0.86486,trendline_invalidation,1.0,-0.00248,0.0,-0.00248,-0.6833,-0.002859,2,1,84,normal,0.0030377349860679294,0.0023100000000000342,0.3193,4.15,normal,asia,bullish_hh_hl_continuation,bullish,USD_CHF-4h-long-184
USD_CHF-4h-short-212:7,USD_CHF,4h,usd_chf_4h,short,2024-08-19 21:00:00+00:00,2024-08-20 01:00:00+00:00,2024-08-20 21:00:00+00:00,0.86212,0.8670024146936622,0.85368,0.85368,target,1.0,0.00844,0.0,0.00844,1.7287,0.00979,5,1,79,moderately_stretched,0.0025696587746487243,0.0014699999999999713,0.3599,1.83,normal,off_hours,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-212
USD_CHF-4h-short-251:8,USD_CHF,4h,usd_chf_4h,short,2024-08-28 21:00:00+00:00,2024-08-29 01:00:00+00:00,2024-08-29 05:00:00+00:00,0.84164,0.8458057734636234,0.8307349999999999,0.8458057734636234,stop,1.0,-0.004166,0.0,-0.004166,-1.0,-0.00495,1,1,82,moderately_stretched,0.0023030938544936403,0.0017999999999999128,0.2912,2.58,normal,off_hours,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-251
USD_CHF-4h-short-291:9,USD_CHF,4h,usd_chf_4h,short,2024-09-05 21:00:00+00:00,2024-09-06 01:00:00+00:00,2024-09-06 05:00:00+00:00,0.84331,0.84967755570457,0.835405,0.84098,trendline_invalidation,1.0,0.00233,0.0,0.00233,0.3659,0.002763,1,1,78,moderately_stretched,0.00227022281828023,0.0014399999999999968,0.552,1.36,normal,off_hours,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-291
USD_CHF-4h-short-338:10,USD_CHF,4h,usd_chf_4h,short,2024-09-17 21:00:00+00:00,2024-09-18 01:00:00+00:00,2024-09-18 21:00:00+00:00,0.84568,0.8482801832081072,0.83781,0.8482801832081072,stop,1.0,-0.0026,0.0,-0.0026,-1.0,-0.003075,5,1,88,normal,0.002280732832428698,0.0017099999999999893,0.3937,3.29,normal,off_hours,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-338
USD_CHF-4h-long-352:11,USD_CHF,4h,usd_chf_4h,long,2024-09-20 13:00:00+00:00,2024-09-20 17:00:00+00:00,2024-09-23 09:00:00+00:00,0.84925,0.8444265563897881,0.8606799999999998,0.84987,trendline_invalidation,1.0,0.00062,0.0,0.00062,0.1285,0.00073,4,1,80,normal,0.0029337744408473978,0.004269999999999996,0.4749,1.92,normal,london_new_york,bullish_hh_hl_continuation,bullish,USD_CHF-4h-long-352
USD_CHF-4h-long-412:12,USD_CHF,4h,usd_chf_4h,long,2024-10-04 13:00:00+00:00,2024-10-04 17:00:00+00:00,2024-10-04 17:00:00+00:00,0.8594,0.8492939991407046,0.8746899999999999,0.85813,trendline_invalidation,1.0,-0.00127,0.0,-0.00127,-0.1257,-0.001478,0,1,78,moderately_stretched,0.0028640034371817816,0.00273000000000001,0.3038,1.37,normal,london_new_york,bullish_hh_hl_continuation,bullish,USD_CHF-4h-long-412
USD_CHF-4h-long-454:13,USD_CHF,4h,usd_chf_4h,long,2024-10-15 17:00:00+00:00,2024-10-15 21:00:00+00:00,2024-10-16 01:00:00+00:00,0.8621,0.8601546209656639,0.87105,0.86245,trendline_invalidation,1.0,0.00035,0.0,0.00035,0.1799,0.000406,1,2,83,moderately_stretched,0.002021516137344655,0.0017099999999999893,0.3633,2.6,normal,new_york,bullish_hh_hl_continuation,bullish,USD_CHF-4h-long-454
USD_CHF-4h-long-470:14,USD_CHF,4h,usd_chf_4h,long,2024-10-17 17:00:00+00:00,2024-10-17 21:00:00+00:00,2024-10-18 01:00:00+00:00,0.86603,0.862533368194616,0.8722600000000001,0.86572,trendline_invalidation,1.0,-0.00031,0.0,-0.00031,-0.0887,-0.000358,1,1,78,moderately_stretched,0.001866527221535956,0.0012999999999999678,0.3598,1.53,normal,new_york,bullish_hh_hl_continuation,bullish,USD_CHF-4h-long-470
USD_CHF-4h-long-476:15,USD_CHF,4h,usd_chf_4h,long,2024-10-21 05:00:00+00:00,2024-10-21 09:00:00+00:00,2024-10-21 09:00:00+00:00,0.86492,0.864102419877115,0.8698799999999999,0.864102419877115,stop,1.0,-0.000818,0.0,-0.000818,-1.0,-0.000945,0,1,88,normal,0.0015103204915401774,0.0011700000000000044,0.2793,3.52,normal,asia,bullish_hh_hl_continuation,bullish,USD_CHF-4h-long-476
USD_CHF-4h-short-687:16,USD_CHF,4h,usd_chf_4h,short,2024-12-09 10:00:00+00:00,2024-12-09 14:00:00+00:00,2024-12-10 06:00:00+00:00,0.87855,0.8809713283446149,0.8656000000000001,0.88046,trendline_invalidation,1.0,-0.00191,0.0,-0.00191,-0.7888,-0.002174,4,1,84,moderately_stretched,0.0022053133784597223,0.0017000000000000348,0.4452,6.53,normal,london,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-687
USD_CHF-4h-long-704:17,USD_CHF,4h,usd_chf_4h,long,2024-12-11 18:00:00+00:00,2024-12-11 22:00:00+00:00,2024-12-11 22:00:00+00:00,0.88437,0.8805549192805601,0.89115,0.88353,trendline_invalidation,1.0,-0.00084,0.0,-0.00084,-0.2202,-0.00095,0,1,78,moderately_stretched,0.0021803228777599252,0.0015200000000000768,0.365,1.44,normal,new_york,bullish_hh_hl_continuation,bullish,USD_CHF-4h-long-704
USD_CHF-4h-long-717:18,USD_CHF,4h,usd_chf_4h,long,2024-12-16 14:00:00+00:00,2024-12-16 18:00:00+00:00,2024-12-16 22:00:00+00:00,0.89394,0.8892700800628972,0.9051549999999997,0.89322,trendline_invalidation,1.0,-0.00072,0.0,-0.00072,-0.1542,-0.000805,1,2,83,moderately_stretched,0.0023996797484115285,0.0026800000000000157,0.2527,2.67,normal,london_new_york,bullish_hh_hl_continuation,bullish,USD_CHF-4h-long-717
USD_CHF-4h-long-729:19,USD_CHF,4h,usd_chf_4h,long,2024-12-18 18:00:00+00:00,2024-12-18 22:00:00+00:00,2024-12-30 06:00:00+00:00,0.90115,0.8908066442576144,0.9036933333333331,0.9036933333333331,target,1.0,0.002543,0.0,0.002543,0.2459,0.002822,38,1,88,moderately_stretched,0.002693422969542645,0.010299999999999976,0.3671,2.96,normal,new_york,bullish_hh_hl_continuation,bullish,USD_CHF-4h-long-729
