segment,start,end,symbol,timeframe,profile_name,trades,win_rate,avg_r,expectancy_r,profit_factor,max_drawdown_r,max_drawdown_currency,total_net_pnl,total_commission,skipped_trades,partial_size_trades,signals,trade_csv,diagnostics
segment_2024_h2,2024-07-01,2024-12-31,WTICO_USD,4h,wtico_usd_4h,21,0.42857142857142855,0.2915904761904761,0.2915904761904761,1.7671414790593956,-5.0634999999999994,4.695468,5.072908000000001,0.0,0,0,21,output\research\little_rzy_4h_expanded\base\segment_2024_h2\WTICO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 21}"
segment_2024_h2,2024-07-01,2024-12-31,BCO_USD,4h,bco_usd_4h,17,0.35294117647058826,0.15561176470588234,0.15561176470588234,1.4381905219393414,-3.0682,3.115225,-0.08393200000000062,0.0,0,0,17,output\research\little_rzy_4h_expanded\base\segment_2024_h2\BCO_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 17}"
segment_2024_h2,2024-07-01,2024-12-31,XAG_USD,4h,xag_usd_4h,11,0.2727272727272727,-0.06120000000000001,-0.06120000000000001,0.8733562842146849,-2.9191000000000003,1.599942,-0.01958700000000002,0.0,0,0,11,output\research\little_rzy_4h_expanded\base\segment_2024_h2\XAG_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 11}"
segment_2024_h2,2024-07-01,2024-12-31,XAU_USD,4h,xau_usd_4h,8,0.5,0.3737,0.3737,1.7762775238886581,-2.0,35.299169,26.154217,0.0,0,0,8,output\research\little_rzy_4h_expanded\base\segment_2024_h2\XAU_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 8}"
segment_2024_h2,2024-07-01,2024-12-31,UK100_GBP,4h,uk100_gbp_4h,2,0.0,-1.0,-1.0,0.0,-1.0,11.349869999999996,-70.803395,0.0,0,0,2,output\research\little_rzy_4h_expanded\base\segment_2024_h2\UK100_GBP_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 2}"
segment_2024_h2,2024-07-01,2024-12-31,NAS100_USD,4h,nas100_usd_4h,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,output\research\little_rzy_4h_expanded\base\segment_2024_h2\NAS100_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 0}"
segment_2024_h2,2024-07-01,2024-12-31,US30_USD,4h,us30_usd_4h,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,output\research\little_rzy_4h_expanded\base\segment_2024_h2\US30_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 0}"
segment_2024_h2,2024-07-01,2024-12-31,SPX500_USD,4h,spx500_usd_4h,7,0.0,-0.9006,-0.9006,0.0,-5.3042,93.573699,-108.997382,0.0,0,0,7,output\research\little_rzy_4h_expanded\base\segment_2024_h2\SPX500_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 7}"
segment_2024_h2,2024-07-01,2024-12-31,FR40_EUR,4h,fr40_eur_4h,1,1.0,4.4569,4.4569,999.0,0.0,0.0,44.8,0.0,0,0,1,output\research\little_rzy_4h_expanded\base\segment_2024_h2\FR40_EUR_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 1}"
segment_2024_h2,2024-07-01,2024-12-31,JP225_USD,4h,jp225_usd_4h,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,output\research\little_rzy_4h_expanded\base\segment_2024_h2\JP225_USD_4h_trades.csv,"{""skipped_max_open_risk"": 0, ""skipped_max_trades_per_day"": 0, ""skipped_max_trades_per_symbol_per_day"": 0, ""skipped_max_daily_drawdown"": 0, ""skipped_filters"": 0, ""partial_size_trades"": 0, ""accepted_trades"": 0}"
