trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
EUR_JPY-4h-short-33:1,EUR_JPY,4h,eur_jpy_4h,short,2025-01-10 14:00:00+00:00,2025-01-10 18:00:00+00:00,2025-01-13 06:00:00+00:00,161.534,163.33515096622384,160.52499999999998,160.52499999999998,target,1.0,1.009,0.0,1.009,0.5602,0.006246,3,1,79,moderately_stretched,0.5726038648953438,1.5660000000000025,0.3753,1.62,normal,london_new_york,bearish_ll_lh_continuation,bearish,EUR_JPY-4h-short-33
EUR_JPY-4h-short-66:2,EUR_JPY,4h,eur_jpy_4h,short,2025-01-19 22:00:00+00:00,2025-01-20 02:00:00+00:00,2025-01-20 06:00:00+00:00,160.464,161.16137071329007,158.03799999999995,161.16137071329007,stop,1.0,-0.697371,0.0,-0.697371,-1.0,-0.004346,1,1,88,normal,0.589482853160205,0.49799999999999045,0.4069,3.22,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_JPY-4h-short-66
EUR_JPY-4h-long-88:3,EUR_JPY,4h,eur_jpy_4h,long,2025-01-23 22:00:00+00:00,2025-01-24 02:00:00+00:00,2025-01-24 02:00:00+00:00,162.818,162.0733815699774,165.02400000000006,162.0733815699774,stop,1.0,-0.744618,0.0,-0.744618,-1.0,-0.004573,0,1,84,normal,0.4824737200903475,0.3760000000000048,0.2939,3.62,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_JPY-4h-long-88
EUR_JPY-4h-short-126:4,EUR_JPY,4h,eur_jpy_4h,short,2025-02-02 22:00:00+00:00,2025-02-03 02:00:00+00:00,2025-02-03 02:00:00+00:00,159.412,161.70643095382366,154.755,159.322,trendline_invalidation,1.0,0.09,0.0,0.09,0.0392,0.000565,0,1,84,moderately_stretched,0.8137238152947144,1.2749999999999773,0.4126,4.69,expanded,off_hours,bearish_ll_lh_continuation,bearish,EUR_JPY-4h-short-126
EUR_JPY-4h-short-136:5,EUR_JPY,4h,eur_jpy_4h,short,2025-02-04 22:00:00+00:00,2025-02-05 02:00:00+00:00,2025-02-10 06:00:00+00:00,159.334,160.90509117636853,154.06800000000004,157.182,trendline_invalidation,1.0,2.152,0.0,2.152,1.3697,0.013506,19,2,88,normal,0.8123647054741102,1.038000000000011,0.6044,7.0,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_JPY-4h-short-136
EUR_JPY-4h-short-162:6,EUR_JPY,4h,eur_jpy_4h,short,2025-02-10 14:00:00+00:00,2025-02-10 18:00:00+00:00,2025-02-10 22:00:00+00:00,156.616,157.60202723993436,153.27599999999998,156.61,trendline_invalidation,1.0,0.006,0.0,0.006,0.0061,3.8e-05,1,3,82,moderately_stretched,0.7121089597374175,0.4730000000000132,0.3475,3.96,normal,london_new_york,bearish_ll_lh_continuation,bearish,EUR_JPY-4h-short-162
EUR_JPY-4h-short-214:7,EUR_JPY,4h,eur_jpy_4h,short,2025-02-21 10:00:00+00:00,2025-02-21 14:00:00+00:00,2025-02-24 02:00:00+00:00,157.592,158.37431880047308,153.59099999999998,157.122,trendline_invalidation,1.0,0.47,0.0,0.47,0.6008,0.002982,3,1,84,normal,0.5852752018922693,0.4159999999999968,0.4839,3.95,normal,london,bearish_ll_lh_continuation,bearish,EUR_JPY-4h-short-214
EUR_JPY-4h-short-221:8,EUR_JPY,4h,eur_jpy_4h,short,2025-02-24 14:00:00+00:00,2025-02-24 18:00:00+00:00,2025-02-24 22:00:00+00:00,156.648,157.41915285945151,154.1133333333334,157.034,trendline_invalidation,1.0,-0.386,0.0,-0.386,-0.5005,-0.002464,1,2,84,normal,0.6366114378060673,0.7760000000000105,0.4266,2.89,normal,london_new_york,bearish_ll_lh_continuation,bearish,EUR_JPY-4h-short-221
EUR_JPY-4h-short-226:9,EUR_JPY,4h,eur_jpy_4h,short,2025-02-25 06:00:00+00:00,2025-02-25 10:00:00+00:00,2025-02-25 22:00:00+00:00,156.677,157.4044915027279,154.66899999999998,156.915,trendline_invalidation,1.0,-0.238,0.0,-0.238,-0.3272,-0.001519,3,3,83,normal,0.6339660109115755,0.8969999999999914,0.3795,2.19,normal,asia,bearish_ll_lh_continuation,bearish,EUR_JPY-4h-short-226
EUR_JPY-4h-short-230:10,EUR_JPY,4h,eur_jpy_4h,short,2025-02-25 22:00:00+00:00,2025-02-26 02:00:00+00:00,2025-02-26 10:00:00+00:00,156.915,157.46487975867896,154.72933333333333,156.78,trendline_invalidation,1.0,0.135,0.0,0.135,0.2455,0.00086,2,4,76,normal,0.6195190347158882,0.5080000000000098,0.4017,2.02,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_JPY-4h-short-230
