trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
AUD_CHF-4h-short-26:1,AUD_CHF,4h,aud_chf_4h,short,2025-07-07 21:00:00+00:00,2025-07-08 01:00:00+00:00,2025-07-08 01:00:00+00:00,0.51905,0.5198769056099971,0.51373,0.5198769056099971,stop,1.0,-0.000827,0.0,-0.000827,-1.0,-0.001593,0,1,82,normal,0.0015076224399884182,0.0013299999999999423,0.4268,2.46,normal,off_hours,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-26
AUD_CHF-4h-long-178:2,AUD_CHF,4h,aud_chf_4h,long,2025-08-12 13:00:00+00:00,2025-08-12 17:00:00+00:00,2025-08-12 21:00:00+00:00,0.5273,0.5249954301337145,0.53542,0.52626,trendline_invalidation,1.0,-0.00104,0.0,-0.00104,-0.4513,-0.001972,1,1,88,normal,0.0014582794651419857,0.0017899999999999583,0.5153,4.1,normal,london_new_york,bullish_hh_hl_continuation,bullish,AUD_CHF-4h-long-178
AUD_CHF-4h-long-243:3,AUD_CHF,4h,aud_chf_4h,long,2025-08-26 21:00:00+00:00,2025-08-27 01:00:00+00:00,2025-08-27 09:00:00+00:00,0.52212,0.5210381907816813,0.5248550000000001,0.5210381907816813,stop,1.0,-0.001082,0.0,-0.001082,-1.0,-0.002072,2,1,82,normal,0.0012472368732743344,0.0009099999999999664,0.2598,2.53,normal,off_hours,bullish_hh_hl_continuation,bullish,AUD_CHF-4h-long-243
AUD_CHF-4h-long-259:4,AUD_CHF,4h,aud_chf_4h,long,2025-08-31 21:00:00+00:00,2025-09-01 01:00:00+00:00,2025-09-02 01:00:00+00:00,0.52424,0.5221076762082489,0.52904,0.52387,trendline_invalidation,1.0,-0.00037,0.0,-0.00037,-0.1735,-0.000706,6,1,84,moderately_stretched,0.001249295167004321,0.0013800000000000479,0.525,3.0,normal,off_hours,bullish_hh_hl_continuation,bullish,AUD_CHF-4h-long-259
AUD_CHF-4h-long-368:5,AUD_CHF,4h,aud_chf_4h,long,2025-09-25 05:00:00+00:00,2025-09-25 09:00:00+00:00,2025-09-25 13:00:00+00:00,0.52514,0.5226870724657374,0.5297199999999999,0.52398,trendline_invalidation,1.0,-0.00116,0.0,-0.00116,-0.4729,-0.002209,1,1,82,moderately_stretched,0.0012517101370502163,0.0015800000000000258,0.5831,2.56,normal,asia,bullish_hh_hl_continuation,bullish,AUD_CHF-4h-long-368
AUD_CHF-4h-short-463:6,AUD_CHF,4h,aud_chf_4h,short,2025-10-16 17:00:00+00:00,2025-10-16 21:00:00+00:00,2025-10-17 09:00:00+00:00,0.51437,0.5200034295886711,0.50726,0.51293,trendline_invalidation,1.0,0.00144,0.0,0.00144,0.2556,0.0028,3,1,77,moderately_stretched,0.002253718354684303,0.0025399999999999867,0.2917,1.23,normal,new_york,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-463
AUD_CHF-4h-short-470:7,AUD_CHF,4h,aud_chf_4h,short,2025-10-20 09:00:00+00:00,2025-10-20 13:00:00+00:00,2025-10-20 13:00:00+00:00,0.51454,0.5174204960546857,0.4954700000000002,0.51596,trendline_invalidation,1.0,-0.00142,0.0,-0.00142,-0.493,-0.00276,0,2,84,normal,0.002321984218742947,0.0014300000000000423,0.5267,7.07,normal,london,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-470
AUD_CHF-4h-long-506:8,AUD_CHF,4h,aud_chf_4h,long,2025-10-28 13:00:00+00:00,2025-10-28 17:00:00+00:00,2025-10-29 17:00:00+00:00,0.52238,0.519086557573184,0.53108,0.52604,trendline_invalidation,1.0,0.00366,0.0,0.00366,1.1113,0.007006,6,1,84,moderately_stretched,0.0014137697072638838,0.0014999999999999458,0.3401,3.47,normal,london_new_york,bullish_hh_hl_continuation,bullish,AUD_CHF-4h-long-506
AUD_CHF-4h-short-556:9,AUD_CHF,4h,aud_chf_4h,short,2025-11-07 14:00:00+00:00,2025-11-07 18:00:00+00:00,2025-11-07 18:00:00+00:00,0.52124,0.5246507175087592,0.5158900000000001,0.52276,trendline_invalidation,1.0,-0.00152,0.0,-0.00152,-0.4457,-0.002916,0,1,80,moderately_stretched,0.0017628700350373428,0.002449999999999952,0.3347,1.99,normal,london_new_york,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-556
AUD_CHF-4h-short-580:10,AUD_CHF,4h,aud_chf_4h,short,2025-11-13 14:00:00+00:00,2025-11-13 18:00:00+00:00,2025-11-13 22:00:00+00:00,0.51818,0.5253417831069064,0.5100799999999999,0.51874,trendline_invalidation,1.0,-0.00056,0.0,-0.00056,-0.0782,-0.001081,1,1,83,moderately_stretched,0.0016871324276252723,0.0035800000000000276,0.6401,2.66,normal,london_new_york,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-580
