trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
BCO_USD-4h-short-70:1,BCO_USD,4h,bco_usd_4h,short,2025-07-17 09:00:00+00:00,2025-07-17 13:00:00+00:00,2025-07-17 13:00:00+00:00,69.232,69.7252299210874,66.97649999999997,69.7252299210874,stop,1.0,-0.49323,0.0,-0.49323,-1.0,-0.007124,0,1,82,normal,0.5615328072493221,0.7009999999999934,0.3272,2.42,normal,london,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-70
BCO_USD-4h-short-94:2,BCO_USD,4h,bco_usd_4h,short,2025-07-23 09:00:00+00:00,2025-07-23 13:00:00+00:00,2025-07-23 17:00:00+00:00,68.701,69.48327279974374,66.9995,69.093,trendline_invalidation,1.0,-0.392,0.0,-0.392,-0.5011,-0.005706,1,1,81,moderately_stretched,0.5418186649582558,0.5619999999999976,0.3139,2.25,normal,london,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-94
BCO_USD-4h-long-125:3,BCO_USD,4h,bco_usd_4h,long,2025-07-30 17:00:00+00:00,2025-07-30 21:00:00+00:00,2025-07-30 21:00:00+00:00,73.706,71.79402093403061,77.35200000000002,73.585,trendline_invalidation,1.0,-0.121,0.0,-0.121,-0.0633,-0.001642,0,1,80,moderately_stretched,0.6798604397959059,0.5169999999999959,0.2773,2.01,expanded,new_york,bullish_hh_hl_continuation,bullish,BCO_USD-4h-long-125
BCO_USD-4h-long-131:4,BCO_USD,4h,bco_usd_4h,long,2025-08-01 01:00:00+00:00,2025-08-01 05:00:00+00:00,2025-08-01 05:00:00+00:00,72.817,71.84681489258377,76.64433333333334,72.265,trendline_invalidation,1.0,-0.552,0.0,-0.552,-0.569,-0.007581,0,2,84,normal,0.6079007161082325,0.4329999999999927,0.358,4.1,normal,asia,bullish_hh_hl_continuation,bullish,BCO_USD-4h-long-131
BCO_USD-4h-short-172:5,BCO_USD,4h,bco_usd_4h,short,2025-08-12 01:00:00+00:00,2025-08-12 05:00:00+00:00,2025-08-14 13:00:00+00:00,67.516,67.82587485145648,64.39700000000002,67.149,trendline_invalidation,1.0,0.367,0.0,0.367,1.1843,0.005436,14,1,88,normal,0.6524990097098398,0.4040000000000106,0.3905,4.74,normal,asia,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-172
BCO_USD-4h-long-328:6,BCO_USD,4h,bco_usd_4h,long,2025-09-16 17:00:00+00:00,2025-09-16 21:00:00+00:00,2025-09-16 21:00:00+00:00,68.741,67.25552895096997,72.10899999999995,68.718,trendline_invalidation,1.0,-0.023,0.0,-0.023,-0.0155,-0.000335,0,1,81,moderately_stretched,0.5231403268668509,0.3300000000000125,0.3855,2.21,normal,new_york,bullish_hh_hl_continuation,bullish,BCO_USD-4h-long-328
BCO_USD-4h-long-371:7,BCO_USD,4h,bco_usd_4h,long,2025-09-26 01:00:00+00:00,2025-09-26 05:00:00+00:00,2025-09-26 05:00:00+00:00,69.24,68.1629925013759,71.59333333333333,69.253,trendline_invalidation,1.0,0.013,0.0,0.013,0.0121,0.000188,0,1,79,moderately_stretched,0.4933833241606834,0.2530000000000001,0.2713,1.78,normal,asia,bullish_hh_hl_continuation,bullish,BCO_USD-4h-long-371
BCO_USD-4h-long-430:8,BCO_USD,4h,bco_usd_4h,long,2025-10-09 09:00:00+00:00,2025-10-09 13:00:00+00:00,2025-10-09 13:00:00+00:00,66.588,65.81121026813521,68.2625,65.81121026813521,stop,1.0,-0.77679,0.0,-0.77679,-1.0,-0.011666,0,1,77,normal,0.5385982124318882,0.7740000000000009,0.4058,1.34,normal,london,bullish_hh_hl_continuation,bullish,BCO_USD-4h-long-430
BCO_USD-4h-short-471:9,BCO_USD,4h,bco_usd_4h,short,2025-10-20 05:00:00+00:00,2025-10-20 09:00:00+00:00,2025-10-20 17:00:00+00:00,61.261,61.81389476643356,58.32200000000002,61.059,trendline_invalidation,1.0,0.202,0.0,0.202,0.3653,0.003297,2,1,84,normal,0.59929844289043,0.44899999999999807,0.3556,3.57,normal,asia,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-471
BCO_USD-4h-short-626:10,BCO_USD,4h,bco_usd_4h,short,2025-11-25 02:00:00+00:00,2025-11-25 06:00:00+00:00,2025-11-26 10:00:00+00:00,62.993,63.57883564061905,59.90499999999999,62.367,trendline_invalidation,1.0,0.626,0.0,0.626,1.0686,0.009938,7,1,88,normal,0.5722376041269477,0.2740000000000009,0.4825,6.39,normal,asia,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-626
BCO_USD-4h-short-700:11,BCO_USD,4h,bco_usd_4h,short,2025-12-11 02:00:00+00:00,2025-12-11 06:00:00+00:00,2025-12-16 06:00:00+00:00,62.305,63.11796683239156,60.19499999999999,60.19499999999999,target,1.0,2.11,0.0,2.11,2.5954,0.033866,18,1,88,moderately_stretched,0.4531122159437456,0.5959999999999965,0.4901,7.55,normal,asia,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-700
BCO_USD-4h-short-706:12,BCO_USD,4h,bco_usd_4h,short,2025-12-12 10:00:00+00:00,2025-12-12 14:00:00+00:00,2025-12-12 14:00:00+00:00,61.536,62.212364790181475,59.15399999999998,61.594,trendline_invalidation,1.0,-0.058,0.0,-0.058,-0.0858,-0.000943,0,2,84,moderately_stretched,0.44243193454315705,0.32099999999999795,0.317,3.31,normal,london,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-706
BCO_USD-4h-short-730:13,BCO_USD,4h,bco_usd_4h,short,2025-12-18 06:00:00+00:00,2025-12-18 10:00:00+00:00,2025-12-19 02:00:00+00:00,60.032,61.00526820854661,57.807000000000016,59.774,trendline_invalidation,1.0,0.258,0.0,0.258,0.2651,0.004298,4,3,82,normal,0.5551213903107555,0.5730000000000004,0.5224,2.04,normal,asia,bearish_ll_lh_continuation,bearish,BCO_USD-4h-short-730
