trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
EUR_GBP-4h-long-26:1,EUR_GBP,4h,eur_gbp_4h,long,2025-07-07 21:00:00+00:00,2025-07-08 01:00:00+00:00,2025-07-09 09:00:00+00:00,0.86167,0.8592909978572324,0.86938,0.8609,trendline_invalidation,1.0,-0.00077,0.0,-0.00077,-0.3237,-0.000894,8,1,88,normal,0.0015560085710702844,0.0019000000000000128,0.5423,4.02,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_GBP-4h-long-26
EUR_GBP-4h-long-52:2,EUR_GBP,4h,eur_gbp_4h,long,2025-07-14 05:00:00+00:00,2025-07-14 09:00:00+00:00,2025-07-15 05:00:00+00:00,0.86696,0.8641722206297112,0.8703600000000001,0.86914,trendline_invalidation,1.0,0.00218,0.0,0.00218,0.782,0.002515,5,1,78,moderately_stretched,0.0014711174811549688,0.0010999999999999899,0.3097,1.56,normal,asia,bullish_hh_hl_continuation,bullish,EUR_GBP-4h-long-52
EUR_GBP-4h-long-62:3,EUR_GBP,4h,eur_gbp_4h,long,2025-07-15 21:00:00+00:00,2025-07-16 01:00:00+00:00,2025-07-16 09:00:00+00:00,0.86668,0.8657087419474807,0.87364,0.8657087419474807,stop,1.0,-0.000971,0.0,-0.000971,-1.0,-0.001121,2,2,84,normal,0.0014050322100775338,0.0005800000000000249,0.3962,5.05,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_GBP-4h-long-62
EUR_GBP-4h-short-183:4,EUR_GBP,4h,eur_gbp_4h,short,2025-08-13 09:00:00+00:00,2025-08-13 13:00:00+00:00,2025-08-14 17:00:00+00:00,0.86272,0.8657404104166607,0.8560599999999998,0.86094,trendline_invalidation,1.0,0.00178,0.0,0.00178,0.5893,0.002063,7,1,84,moderately_stretched,0.0014416416666426382,0.0016599999999999948,0.2844,4.76,normal,london,bearish_ll_lh_continuation,bearish,EUR_GBP-4h-short-183
EUR_GBP-4h-short-242:5,EUR_GBP,4h,eur_gbp_4h,short,2025-08-26 21:00:00+00:00,2025-08-27 01:00:00+00:00,2025-08-27 21:00:00+00:00,0.8638,0.8652894760084285,0.85884,0.86234,trendline_invalidation,1.0,0.00146,0.0,0.00146,0.9802,0.00169,5,1,82,normal,0.001317904033714308,0.0006699999999999484,0.528,2.56,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_GBP-4h-short-242
EUR_GBP-4h-short-254:6,EUR_GBP,4h,eur_gbp_4h,short,2025-08-29 01:00:00+00:00,2025-08-29 05:00:00+00:00,2025-08-29 05:00:00+00:00,0.86387,0.8651574393770474,0.8573449999999998,0.8651574393770474,stop,1.0,-0.001287,0.0,-0.001287,-1.0,-0.00149,0,1,88,normal,0.0011497575081894907,0.0007599999999999829,0.5776,6.68,normal,asia,bearish_ll_lh_continuation,bearish,EUR_GBP-4h-short-254
EUR_GBP-4h-short-315:7,EUR_GBP,4h,eur_gbp_4h,short,2025-09-11 21:00:00+00:00,2025-09-12 01:00:00+00:00,2025-09-12 01:00:00+00:00,0.86448,0.8665461074012696,0.8600099999999998,0.86497,trendline_invalidation,1.0,-0.00049,0.0,-0.00049,-0.2372,-0.000567,0,1,79,normal,0.001104429605078492,0.0006899999999999684,0.5268,1.72,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_GBP-4h-short-315
EUR_GBP-4h-long-584:8,EUR_GBP,4h,eur_gbp_4h,long,2025-11-14 02:00:00+00:00,2025-11-14 06:00:00+00:00,2025-11-14 06:00:00+00:00,0.88589,0.8811894326220098,0.8919100000000002,0.88341,trendline_invalidation,1.0,-0.00248,0.0,-0.00248,-0.5276,-0.002799,0,1,78,moderately_stretched,0.0014422695119605479,0.0012299999999999534,0.3767,1.58,normal,asia,bullish_hh_hl_continuation,bullish,EUR_GBP-4h-long-584
EUR_GBP-4h-short-682:9,EUR_GBP,4h,eur_gbp_4h,short,2025-12-08 14:00:00+00:00,2025-12-08 18:00:00+00:00,2025-12-09 10:00:00+00:00,0.87356,0.875550117604494,0.8683599999999999,0.87384,trendline_invalidation,1.0,-0.00028,0.0,-0.00028,-0.1407,-0.000321,4,1,88,normal,0.0011604704179758061,0.0020600000000000618,0.3614,4.06,normal,london_new_york,bearish_ll_lh_continuation,bearish,EUR_GBP-4h-short-682
EUR_GBP-4h-short-740:10,EUR_GBP,4h,eur_gbp_4h,short,2025-12-21 22:00:00+00:00,2025-12-22 02:00:00+00:00,2025-12-22 10:00:00+00:00,0.87468,0.8777528532887169,0.871,0.87446,trendline_invalidation,1.0,0.00022,0.0,0.00022,0.0716,0.000252,2,1,79,moderately_stretched,0.0014114131548678395,0.0011200000000000099,0.5096,1.62,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_GBP-4h-short-740
EUR_GBP-4h-short-762:11,EUR_GBP,4h,eur_gbp_4h,short,2025-12-26 10:00:00+00:00,2025-12-26 14:00:00+00:00,2025-12-29 06:00:00+00:00,0.87237,0.8739136608101261,0.8686950000000001,0.8739136608101261,stop,1.0,-0.001544,0.0,-0.001544,-1.0,-0.00177,4,2,87,normal,0.0012146432405042843,0.0013600000000000279,0.3877,2.69,normal,london,bearish_ll_lh_continuation,bearish,EUR_GBP-4h-short-762
