trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
GBP_USD-4h-short-46:1,GBP_USD,4h,gbp_usd_4h,short,2025-07-11 05:00:00+00:00,2025-07-11 09:00:00+00:00,2025-07-14 05:00:00+00:00,1.35357,1.3593705087260457,1.34592,1.34592,target,1.0,0.00765,0.0,0.00765,1.3188,0.005652,5,1,80,moderately_stretched,0.0032420349041827902,0.0035800000000001386,0.3985,2.01,normal,asia,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-46
GBP_USD-4h-long-88:2,GBP_USD,4h,gbp_usd_4h,long,2025-07-22 13:00:00+00:00,2025-07-22 17:00:00+00:00,2025-07-23 17:00:00+00:00,1.35299,1.3454146062450958,1.3578100000000004,1.3578100000000004,target,1.0,0.00482,0.0,0.00482,0.6363,0.003562,6,1,79,moderately_stretched,0.003181575019616462,0.0061500000000001,0.334,1.72,normal,london_new_york,bullish_hh_hl_continuation,bullish,GBP_USD-4h-long-88
GBP_USD-4h-short-124:3,GBP_USD,4h,gbp_usd_4h,short,2025-07-30 17:00:00+00:00,2025-07-30 21:00:00+00:00,2025-07-31 01:00:00+00:00,1.32422,1.3395382635624327,1.3047950000000004,1.32693,trendline_invalidation,1.0,-0.00271,0.0,-0.00271,-0.1769,-0.002046,1,1,79,moderately_stretched,0.0037930542497308104,0.008510000000000018,0.278,1.77,expanded,new_york,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-124
GBP_USD-4h-short-141:4,GBP_USD,4h,gbp_usd_4h,short,2025-08-04 01:00:00+00:00,2025-08-04 05:00:00+00:00,2025-08-04 09:00:00+00:00,1.3278,1.3322395968171392,1.2965533333333332,1.3298,trendline_invalidation,1.0,-0.002,0.0,-0.002,-0.4505,-0.001506,1,2,88,normal,0.0047183872685571185,0.003609999999999891,0.5661,4.59,expanded,asia,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-141
GBP_USD-4h-long-176:5,GBP_USD,4h,gbp_usd_4h,long,2025-08-11 21:00:00+00:00,2025-08-12 01:00:00+00:00,2025-08-13 01:00:00+00:00,1.34304,1.3391735811483043,1.3582599999999998,1.35048,trendline_invalidation,1.0,0.00744,0.0,0.00744,1.9243,0.00554,6,1,84,normal,0.0029856754067829347,0.001060000000000061,0.3579,3.18,normal,off_hours,bullish_hh_hl_continuation,bullish,GBP_USD-4h-long-176
GBP_USD-4h-long-195:6,GBP_USD,4h,gbp_usd_4h,long,2025-08-15 01:00:00+00:00,2025-08-15 05:00:00+00:00,2025-08-18 09:00:00+00:00,1.35478,1.3513929672560374,1.3672399999999998,1.3544,trendline_invalidation,1.0,-0.00038,0.0,-0.00038,-0.1122,-0.00028,7,2,84,normal,0.0028281309758509746,0.0020000000000000018,0.3779,6.25,normal,asia,bullish_hh_hl_continuation,bullish,GBP_USD-4h-long-195
GBP_USD-4h-short-217:7,GBP_USD,4h,gbp_usd_4h,short,2025-08-20 13:00:00+00:00,2025-08-20 17:00:00+00:00,2025-08-21 05:00:00+00:00,1.34608,1.3516019025931376,1.34058,1.34662,trendline_invalidation,1.0,-0.00054,0.0,-0.00054,-0.0978,-0.000401,3,1,78,moderately_stretched,0.0026476103725500437,0.004450000000000065,0.3564,1.5,normal,london_new_york,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-217
GBP_USD-4h-long-292:8,GBP_USD,4h,gbp_usd_4h,long,2025-09-08 05:00:00+00:00,2025-09-08 09:00:00+00:00,2025-09-09 13:00:00+00:00,1.35124,1.3474537371210187,1.364,1.35347,trendline_invalidation,1.0,0.00223,0.0,0.00223,0.589,0.00165,7,1,84,moderately_stretched,0.0032650515159257476,0.003069999999999906,0.3257,4.33,normal,asia,bullish_hh_hl_continuation,bullish,GBP_USD-4h-long-292
GBP_USD-4h-long-317:9,GBP_USD,4h,gbp_usd_4h,long,2025-09-12 17:00:00+00:00,2025-09-14 21:00:00+00:00,2025-09-14 21:00:00+00:00,1.35566,1.3516991578513697,1.3703800000000004,1.3556,trendline_invalidation,1.0,-6e-05,0.0,-6e-05,-0.0151,-4.4e-05,0,2,82,normal,0.0028833685945207454,0.0015699999999998493,0.5862,2.54,normal,new_york,bullish_hh_hl_continuation,bullish,GBP_USD-4h-long-317
GBP_USD-4h-long-404:10,GBP_USD,4h,gbp_usd_4h,long,2025-10-03 13:00:00+00:00,2025-10-03 17:00:00+00:00,2025-10-05 21:00:00+00:00,1.34777,1.3393332609751052,1.3633600000000001,1.34404,trendline_invalidation,1.0,-0.00373,0.0,-0.00373,-0.4421,-0.002768,1,1,87,normal,0.0031069560995786293,0.003470000000000084,0.6399,2.61,normal,london_new_york,bullish_hh_hl_continuation,bullish,GBP_USD-4h-long-404
