trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
BCH_USD-4h-long-61:1,BCH_USD,4h,bch_usd_4h,long,2023-01-16 22:00:00+00:00,2023-01-17 02:00:00+00:00,2023-01-17 14:00:00+00:00,123.22,118.98089088426794,137.44,123.0,trendline_invalidation,1.0,-0.22,0.0,-0.22,-0.0519,-0.001785,3,1,81,moderately_stretched,3.3564364629282553,3.1099999999999994,0.3366,2.27,normal,off_hours,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-61
BCH_USD-4h-long-83:2,BCH_USD,4h,bch_usd_4h,long,2023-01-20 18:00:00+00:00,2023-01-22 22:00:00+00:00,2023-01-22 22:00:00+00:00,128.28,119.47585116925009,129.23999999999998,129.23999999999998,target,1.0,0.96,0.0,0.96,0.109,0.007484,0,1,82,moderately_stretched,2.5765953229996614,3.6799999999999926,0.3416,1.49,normal,new_york,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-83
BCH_USD-4h-long-97:3,BCH_USD,4h,bch_usd_4h,long,2023-01-25 06:00:00+00:00,2023-01-25 10:00:00+00:00,2023-01-25 14:00:00+00:00,128.98,124.61148724637708,156.62500000000003,129.08,trendline_invalidation,1.0,0.1,0.0,0.1,0.0229,0.000775,1,2,88,normal,3.034051014491684,1.5600000000000023,0.5481,6.41,normal,asia,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-97
BCH_USD-4h-long-142:4,BCH_USD,4h,bch_usd_4h,long,2023-02-03 10:00:00+00:00,2023-02-03 14:00:00+00:00,2023-02-05 22:00:00+00:00,137.55,135.0954968490628,151.9933333333333,135.0954968490628,stop,1.0,-2.454503,0.0,-2.454503,-1.0,-0.017844,2,1,84,normal,2.9780126037487857,2.390000000000015,0.4771,4.22,normal,london,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-142
BCH_USD-4h-short-174:5,BCH_USD,4h,bch_usd_4h,short,2023-02-10 18:00:00+00:00,2023-02-12 22:00:00+00:00,2023-02-14 14:00:00+00:00,122.86,130.72466839691293,112.92500000000004,125.02,trendline_invalidation,1.0,-2.16,0.0,-2.16,-0.2746,-0.017581,10,1,84,moderately_stretched,3.0986735876517923,3.799999999999997,0.4696,3.19,normal,new_york,bearish_ll_lh_continuation,bearish,BCH_USD-4h-short-174
BCH_USD-4h-short-190:6,BCH_USD,4h,bch_usd_4h,short,2023-02-15 02:00:00+00:00,2023-02-15 06:00:00+00:00,2023-02-15 10:00:00+00:00,125.82,128.1167110846922,117.865,128.1167110846922,stop,1.0,-2.296711,0.0,-2.296711,-1.0,-0.018254,1,2,88,normal,2.7468443387687684,1.6000000000000085,0.3784,3.35,normal,asia,bearish_ll_lh_continuation,bearish,BCH_USD-4h-short-190
BCH_USD-4h-long-199:7,BCH_USD,4h,bch_usd_4h,long,2023-02-17 10:00:00+00:00,2023-02-17 14:00:00+00:00,2023-02-20 06:00:00+00:00,130.0,126.74357549990705,147.55000000000004,147.55000000000004,target,1.0,17.55,0.0,17.55,5.3893,0.135,4,1,88,normal,2.785698000371768,1.6500000000000057,0.5283,5.47,normal,london,bullish_hh_hl_continuation,bullish,BCH_USD-4h-long-199
BCH_USD-4h-short-239:8,BCH_USD,4h,bch_usd_4h,short,2023-02-27 18:00:00+00:00,2023-02-27 22:00:00+00:00,2023-02-28 10:00:00+00:00,134.08,139.0465391023063,118.97999999999999,132.84,trendline_invalidation,1.0,1.24,0.0,1.24,0.2497,0.009248,3,1,84,normal,3.3061564092251667,1.9599999999999795,0.3312,3.82,normal,new_york,bearish_ll_lh_continuation,bearish,BCH_USD-4h-short-239
BCH_USD-4h-short-251:9,BCH_USD,4h,bch_usd_4h,short,2023-03-01 14:00:00+00:00,2023-03-01 18:00:00+00:00,2023-03-02 22:00:00+00:00,134.0,136.49840757498202,124.20500000000004,124.20500000000004,target,1.0,9.795,0.0,9.795,3.9205,0.073097,7,2,88,normal,2.593630299928171,1.9000000000000057,0.3962,2.92,normal,london_new_york,bearish_ll_lh_continuation,bearish,BCH_USD-4h-short-251
BCH_USD-4h-short-264:10,BCH_USD,4h,bch_usd_4h,short,2023-03-05 22:00:00+00:00,2023-03-06 02:00:00+00:00,2023-03-06 10:00:00+00:00,122.89,126.92542674721851,109.28,124.06,trendline_invalidation,1.0,-1.17,0.0,-1.17,-0.2899,-0.009521,2,3,82,moderately_stretched,2.5817069888740174,2.1200000000000045,0.3669,5.82,normal,off_hours,bearish_ll_lh_continuation,bearish,BCH_USD-4h-short-264
