trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
EUR_USD-4h-long-54:1,EUR_USD,4h,eur_usd_4h,long,2023-01-15 22:00:00+00:00,2023-01-16 02:00:00+00:00,2023-01-16 06:00:00+00:00,1.08679,1.0770422899773482,1.1035599999999994,1.08212,trendline_invalidation,1.0,-0.00467,0.0,-0.00467,-0.4791,-0.004297,1,1,84,moderately_stretched,0.003990840090608055,0.0052000000000000934,0.3674,3.06,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-54
EUR_USD-4h-long-61:2,EUR_USD,4h,eur_usd_4h,long,2023-01-17 10:00:00+00:00,2023-01-17 14:00:00+00:00,2023-01-17 14:00:00+00:00,1.08427,1.0792736943492254,1.0948039999999999,1.0792736943492254,stop,1.0,-0.004996,0.0,-0.004996,-1.0,-0.004608,0,2,86,normal,0.003505222603098698,0.0048799999999999955,0.4491,2.37,normal,london,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-61
EUR_USD-4h-long-92:3,EUR_USD,4h,eur_usd_4h,long,2023-01-23 22:00:00+00:00,2023-01-24 02:00:00+00:00,2023-01-24 06:00:00+00:00,1.08811,1.0837450046943033,1.1029400000000003,1.0861,trendline_invalidation,1.0,-0.00201,0.0,-0.00201,-0.4605,-0.001847,1,1,84,moderately_stretched,0.0034999812227865,0.0014899999999999913,0.5025,4.37,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-92
EUR_USD-4h-short-160:4,EUR_USD,4h,eur_usd_4h,short,2023-02-08 14:00:00+00:00,2023-02-08 18:00:00+00:00,2023-02-09 02:00:00+00:00,1.07284,1.0771917743451689,1.0542500000000004,1.07356,trendline_invalidation,1.0,-0.00072,0.0,-0.00072,-0.1654,-0.000671,2,1,84,normal,0.0037270973806754495,0.0029799999999999827,0.2567,3.97,normal,london_new_york,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-160
EUR_USD-4h-short-168:5,EUR_USD,4h,eur_usd_4h,short,2023-02-09 22:00:00+00:00,2023-02-10 02:00:00+00:00,2023-02-10 10:00:00+00:00,1.07336,1.079938378915053,1.0532499999999998,1.06958,trendline_invalidation,1.0,0.00378,0.0,0.00378,0.5746,0.003522,2,2,88,normal,0.0033135156602120816,0.0017899999999999583,0.3537,2.94,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-168
EUR_USD-4h-short-242:6,EUR_USD,4h,eur_usd_4h,short,2023-02-27 22:00:00+00:00,2023-02-28 02:00:00+00:00,2023-02-28 10:00:00+00:00,1.05869,1.0626746369801057,1.04405,1.0626746369801057,stop,1.0,-0.003985,0.0,-0.003985,-1.0,-0.003764,2,1,88,normal,0.002698547920422663,0.00287000000000015,0.5266,5.66,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-242
EUR_USD-4h-long-305:7,EUR_USD,4h,eur_usd_4h,long,2023-03-14 17:00:00+00:00,2023-03-14 21:00:00+00:00,2023-03-15 05:00:00+00:00,1.07382,1.0669362415128567,1.0856499999999998,1.07316,trendline_invalidation,1.0,-0.00066,0.0,-0.00066,-0.0959,-0.000615,2,1,78,moderately_stretched,0.003855033948573152,0.003229999999999844,0.3104,1.52,normal,new_york,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-305
EUR_USD-4h-long-375:8,EUR_USD,4h,eur_usd_4h,long,2023-03-30 13:00:00+00:00,2023-03-30 17:00:00+00:00,2023-03-30 17:00:00+00:00,1.0905,1.081604759978963,1.1097500000000005,1.09062,trendline_invalidation,1.0,0.00012,0.0,0.00012,0.0135,0.00011,0,1,80,moderately_stretched,0.0029809600841470413,0.0031799999999999606,0.3045,1.96,normal,london_new_york,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-375
EUR_USD-4h-long-500:9,EUR_USD,4h,eur_usd_4h,long,2023-04-27 21:00:00+00:00,2023-04-28 01:00:00+00:00,2023-04-28 01:00:00+00:00,1.10344,1.0985211086746771,1.1167599999999998,1.10136,trendline_invalidation,1.0,-0.00208,0.0,-0.00208,-0.4229,-0.001885,0,1,88,normal,0.0027955653012916738,0.0014399999999998858,0.5681,3.07,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-500
EUR_USD-4h-short-555:10,EUR_USD,4h,eur_usd_4h,short,2023-05-11 01:00:00+00:00,2023-05-11 05:00:00+00:00,2023-05-12 13:00:00+00:00,1.09754,1.1014362561481832,1.0873266666666668,1.0873266666666668,target,1.0,0.010213,0.0,0.010213,2.6213,0.009306,8,1,88,normal,0.0029450245927326348,0.0028600000000000847,0.4357,2.99,normal,asia,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-555
EUR_USD-4h-short-586:11,EUR_USD,4h,eur_usd_4h,short,2023-05-18 01:00:00+00:00,2023-05-18 05:00:00+00:00,2023-05-18 13:00:00+00:00,1.0833,1.085484852816247,1.07707,1.07707,target,1.0,0.00623,0.0,0.00623,2.8515,0.005751,2,2,84,moderately_stretched,0.0022594112649881246,0.0015499999999999403,0.283,3.22,normal,asia,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-586
EUR_USD-4h-short-602:12,EUR_USD,4h,eur_usd_4h,short,2023-05-22 21:00:00+00:00,2023-05-23 01:00:00+00:00,2023-05-24 09:00:00+00:00,1.08118,1.0837121983778517,1.0756133333333335,1.0756133333333335,target,1.0,0.005567,0.0,0.005567,2.1984,0.005149,8,3,81,normal,0.0023287935114069966,0.0014099999999999113,0.3275,1.8,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-602
EUR_USD-4h-short-628:13,EUR_USD,4h,eur_usd_4h,short,2023-05-29 13:00:00+00:00,2023-05-29 17:00:00+00:00,2023-05-29 21:00:00+00:00,1.07129,1.0749075387867517,1.0604399999999998,1.07139,trendline_invalidation,1.0,-0.0001,0.0,-0.0001,-0.0276,-9.3e-05,1,4,79,normal,0.0021901551470067154,0.0009799999999999809,0.3228,2.69,normal,london_new_york,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-628
EUR_USD-4h-short-638:14,EUR_USD,4h,eur_usd_4h,short,2023-05-30 17:00:00+00:00,2023-05-30 21:00:00+00:00,2023-06-01 09:00:00+00:00,1.0729,1.0752647780778273,1.0592400000000002,1.07081,trendline_invalidation,1.0,0.00209,0.0,0.00209,0.8838,0.001948,9,5,82,normal,0.0023791123113087098,0.0020700000000000163,0.5756,3.42,normal,new_york,bearish_ll_lh_continuation,bearish,EUR_USD-4h-short-638
EUR_USD-4h-long-699:15,EUR_USD,4h,eur_usd_4h,long,2023-06-14 01:00:00+00:00,2023-06-14 05:00:00+00:00,2023-06-15 09:00:00+00:00,1.07896,1.0772665433175497,1.0871100000000002,1.0871100000000002,target,1.0,0.00815,0.0,0.00815,4.8126,0.007554,7,1,84,normal,0.0022938267298008336,0.0011499999999999844,0.2917,3.22,normal,asia,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-699
EUR_USD-4h-long-706:16,EUR_USD,4h,eur_usd_4h,long,2023-06-15 13:00:00+00:00,2023-06-15 17:00:00+00:00,2023-06-16 05:00:00+00:00,1.09436,1.079275910856604,1.1034400000000004,1.09505,trendline_invalidation,1.0,0.00069,0.0,0.00069,0.0457,0.000631,3,2,79,moderately_stretched,0.003456356573584902,0.008669999999999956,0.4393,1.73,expanded,london_new_york,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-706
EUR_USD-4h-long-728:17,EUR_USD,4h,eur_usd_4h,long,2023-06-21 13:00:00+00:00,2023-06-21 17:00:00+00:00,2023-06-22 09:00:00+00:00,1.09704,1.0886035818566164,1.1006999999999998,1.1006999999999998,target,1.0,0.00366,0.0,0.00366,0.4338,0.003336,4,1,83,moderately_stretched,0.0024656725735345743,0.006329999999999947,0.3136,1.76,normal,london_new_york,bullish_hh_hl_continuation,bullish,EUR_USD-4h-long-728
