trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
GBP_JPY-4h-long-95:1,GBP_JPY,4h,gbp_jpy_4h,long,2023-01-24 22:00:00+00:00,2023-01-25 02:00:00+00:00,2023-01-25 06:00:00+00:00,160.574,159.82782569858475,164.156,159.82782569858475,stop,1.0,-0.746174,0.0,-0.746174,-1.0,-0.004647,1,1,88,normal,0.6726972056610888,0.4159999999999968,0.3833,4.07,normal,off_hours,bullish_hh_hl_continuation,bullish,GBP_JPY-4h-long-95
GBP_JPY-4h-short-130:2,GBP_JPY,4h,gbp_jpy_4h,short,2023-02-01 14:00:00+00:00,2023-02-01 18:00:00+00:00,2023-02-02 02:00:00+00:00,158.988,160.8285779598835,157.24200000000002,159.351,trendline_invalidation,1.0,-0.363,0.0,-0.363,-0.1972,-0.002283,2,1,80,moderately_stretched,0.6103118395339585,0.953000000000003,0.4604,1.93,normal,london_new_york,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-130
GBP_JPY-4h-long-184:3,GBP_JPY,4h,gbp_jpy_4h,long,2023-02-14 10:00:00+00:00,2023-02-14 14:00:00+00:00,2023-02-14 22:00:00+00:00,161.504,159.95067423079715,163.46399999999994,161.358,trendline_invalidation,1.0,-0.146,0.0,-0.146,-0.094,-0.000904,2,1,83,moderately_stretched,0.6373030768114936,0.8060000000000116,0.2887,2.64,normal,london,bullish_hh_hl_continuation,bullish,GBP_JPY-4h-long-184
GBP_JPY-4h-long-250:4,GBP_JPY,4h,gbp_jpy_4h,long,2023-03-01 06:00:00+00:00,2023-03-01 10:00:00+00:00,2023-03-01 10:00:00+00:00,163.936,163.37465114753417,168.79800000000003,163.37465114753417,stop,1.0,-0.561349,0.0,-0.561349,-1.0,-0.003424,0,1,84,normal,0.6373954098632897,0.6839999999999975,0.5169,4.94,normal,asia,bullish_hh_hl_continuation,bullish,GBP_JPY-4h-long-250
GBP_JPY-4h-short-281:5,GBP_JPY,4h,gbp_jpy_4h,short,2023-03-08 10:00:00+00:00,2023-03-08 14:00:00+00:00,2023-03-10 02:00:00+00:00,162.058,163.13074384722435,161.04699999999997,163.13074384722435,stop,1.0,-1.072744,0.0,-1.072744,-1.0,-0.00662,9,1,80,moderately_stretched,0.56297538889739,0.8700000000000045,0.4966,2.01,normal,london,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-281
GBP_JPY-4h-short-322:6,GBP_JPY,4h,gbp_jpy_4h,short,2023-03-17 01:00:00+00:00,2023-03-17 05:00:00+00:00,2023-03-20 13:00:00+00:00,161.65,162.39998968013552,154.90900000000002,161.494,trendline_invalidation,1.0,0.156,0.0,0.156,0.208,0.000965,8,1,88,normal,1.1439587205420472,0.4339999999999975,0.6185,7.17,normal,asia,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-322
GBP_JPY-4h-short-328:7,GBP_JPY,4h,gbp_jpy_4h,short,2023-03-20 05:00:00+00:00,2023-03-20 09:00:00+00:00,2023-03-20 09:00:00+00:00,159.868,162.03144940171336,157.60400000000004,160.876,trendline_invalidation,1.0,-1.008,0.0,-1.008,-0.4659,-0.006305,0,1,79,moderately_stretched,1.1657976068533937,1.8739999999999952,0.4022,1.85,normal,asia,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-328
GBP_JPY-4h-short-332:8,GBP_JPY,4h,gbp_jpy_4h,short,2023-03-21 01:00:00+00:00,2023-03-21 05:00:00+00:00,2023-03-21 05:00:00+00:00,160.841,161.9612854748214,155.3,161.9612854748214,stop,1.0,-1.120285,0.0,-1.120285,-1.0,-0.006965,0,2,88,normal,1.0371418992856705,0.2839999999999918,0.5283,5.45,normal,asia,bearish_ll_lh_continuation,bearish,GBP_JPY-4h-short-332
GBP_JPY-4h-long-384:9,GBP_JPY,4h,gbp_jpy_4h,long,2023-04-03 09:00:00+00:00,2023-04-03 13:00:00+00:00,2023-04-03 13:00:00+00:00,164.867,163.24221689653385,171.05699999999996,164.198,trendline_invalidation,1.0,-0.669,0.0,-0.669,-0.4117,-0.004058,0,1,84,moderately_stretched,0.7431324138645501,0.45400000000000773,0.3519,4.69,normal,london,bullish_hh_hl_continuation,bullish,GBP_JPY-4h-long-384
GBP_JPY-4h-long-434:10,GBP_JPY,4h,gbp_jpy_4h,long,2023-04-12 17:00:00+00:00,2023-04-12 21:00:00+00:00,2023-04-13 01:00:00+00:00,166.209,165.24740651860216,168.128,166.457,trendline_invalidation,1.0,0.248,0.0,0.248,0.2579,0.001492,1,1,79,moderately_stretched,0.5623739255913309,0.5320000000000107,0.3333,1.74,normal,new_york,bullish_hh_hl_continuation,bullish,GBP_JPY-4h-long-434
