trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
AUD_CHF-4h-short-28:1,AUD_CHF,4h,aud_chf_4h,short,2023-07-10 09:00:00+00:00,2023-07-10 13:00:00+00:00,2023-07-10 13:00:00+00:00,0.59076,0.5959480617826791,0.583045,0.59147,trendline_invalidation,1.0,-0.00071,0.0,-0.00071,-0.1369,-0.001202,0,1,79,moderately_stretched,0.001872247130716507,0.0017500000000000293,0.3922,1.68,normal,london,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-28
AUD_CHF-4h-short-45:2,AUD_CHF,4h,aud_chf_4h,short,2023-07-14 01:00:00+00:00,2023-07-14 05:00:00+00:00,2023-07-14 09:00:00+00:00,0.59109,0.5934359339314395,0.5753333333333331,0.59104,trendline_invalidation,1.0,5e-05,0.0,5e-05,0.0213,8.5e-05,1,2,88,normal,0.001983735725757881,0.0009400000000000519,0.4961,5.57,normal,asia,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-45
AUD_CHF-4h-short-105:3,AUD_CHF,4h,aud_chf_4h,short,2023-07-27 09:00:00+00:00,2023-07-27 13:00:00+00:00,2023-07-27 13:00:00+00:00,0.58414,0.58644224850525,0.5728399999999998,0.58468,trendline_invalidation,1.0,-0.00054,0.0,-0.00054,-0.2346,-0.000924,0,1,83,normal,0.002328994020999691,0.003209999999999935,0.6332,2.84,normal,london,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-105
AUD_CHF-4h-short-181:4,AUD_CHF,4h,aud_chf_4h,short,2023-08-14 21:00:00+00:00,2023-08-15 01:00:00+00:00,2023-08-15 01:00:00+00:00,0.56961,0.5712342325910269,0.56193,0.57076,trendline_invalidation,1.0,-0.00115,0.0,-0.00115,-0.708,-0.002019,0,1,84,normal,0.0016569303641076436,0.0010200000000000209,0.4651,4.13,normal,off_hours,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-181
AUD_CHF-4h-short-199:5,AUD_CHF,4h,aud_chf_4h,short,2023-08-17 17:00:00+00:00,2023-08-17 21:00:00+00:00,2023-08-18 13:00:00+00:00,0.5624,0.5658873831406095,0.5552599999999999,0.56558,trendline_invalidation,1.0,-0.00318,0.0,-0.00318,-0.9119,-0.005654,4,1,84,moderately_stretched,0.0021495325624376923,0.0022999999999999687,0.3827,3.81,normal,new_york,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-199
AUD_CHF-4h-short-205:6,AUD_CHF,4h,aud_chf_4h,short,2023-08-21 05:00:00+00:00,2023-08-21 09:00:00+00:00,2023-08-22 05:00:00+00:00,0.56332,0.566514861700792,0.5560449999999999,0.56496,trendline_invalidation,1.0,-0.00164,0.0,-0.00164,-0.5133,-0.002911,5,2,88,normal,0.0020194468031680154,0.0027800000000000047,0.4064,3.43,normal,asia,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-205
AUD_CHF-4h-long-325:7,AUD_CHF,4h,aud_chf_4h,long,2023-09-18 01:00:00+00:00,2023-09-18 05:00:00+00:00,2023-09-18 13:00:00+00:00,0.57812,0.5762417571367575,0.58269,0.5762417571367575,stop,1.0,-0.001878,0.0,-0.001878,-1.0,-0.003249,2,1,84,moderately_stretched,0.0016329714529701427,0.0015800000000000258,0.2803,3.03,normal,asia,bullish_hh_hl_continuation,bullish,AUD_CHF-4h-long-325
AUD_CHF-4h-long-357:8,AUD_CHF,4h,aud_chf_4h,long,2023-09-25 13:00:00+00:00,2023-09-25 17:00:00+00:00,2023-09-25 21:00:00+00:00,0.58538,0.5821882969409602,0.5937799999999998,0.58588,trendline_invalidation,1.0,0.0005,0.0,0.0005,0.1567,0.000854,1,1,82,moderately_stretched,0.0018068122361594486,0.0019500000000000073,0.3037,2.52,normal,london_new_york,bullish_hh_hl_continuation,bullish,AUD_CHF-4h-long-357
AUD_CHF-4h-short-401:9,AUD_CHF,4h,aud_chf_4h,short,2023-10-04 13:00:00+00:00,2023-10-04 17:00:00+00:00,2023-10-04 21:00:00+00:00,0.57991,0.5834905355308607,0.5723599999999998,0.5805,trendline_invalidation,1.0,-0.00059,0.0,-0.00059,-0.1648,-0.001017,1,1,79,moderately_stretched,0.002042142123442511,0.0014399999999999968,0.2808,1.81,normal,london_new_york,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-401
AUD_CHF-4h-short-407:10,AUD_CHF,4h,aud_chf_4h,short,2023-10-05 09:00:00+00:00,2023-10-05 13:00:00+00:00,2023-10-05 17:00:00+00:00,0.58099,0.5831520466246576,0.57478,0.58126,trendline_invalidation,1.0,-0.00027,0.0,-0.00027,-0.1249,-0.000465,1,2,84,normal,0.001888186498630295,0.0016599999999999948,0.258,3.1,normal,london,bearish_ll_lh_continuation,bearish,AUD_CHF-4h-short-407
