trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
AUD_USD-4h-short-140:1,AUD_USD,4h,aud_usd_4h,short,2023-08-04 09:00:00+00:00,2023-08-04 13:00:00+00:00,2023-08-04 13:00:00+00:00,0.65762,0.6595429892879051,0.64374,0.6595429892879051,stop,1.0,-0.001923,0.0,-0.001923,-1.0,-0.002924,0,1,87,normal,0.0030519571516204784,0.004110000000000058,0.327,2.81,normal,london,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-140
AUD_USD-4h-short-193:2,AUD_USD,4h,aud_usd_4h,short,2023-08-16 13:00:00+00:00,2023-08-16 17:00:00+00:00,2023-08-17 01:00:00+00:00,0.64329,0.6488247398170804,0.6369199999999999,0.6369199999999999,target,1.0,0.00637,0.0,0.00637,1.1509,0.009902,2,1,77,moderately_stretched,0.00305895926832194,0.0037599999999999856,0.2787,1.3,normal,london_new_york,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-193
AUD_USD-4h-short-199:3,AUD_USD,4h,aud_usd_4h,short,2023-08-17 17:00:00+00:00,2023-08-17 21:00:00+00:00,2023-08-18 05:00:00+00:00,0.64055,0.6458674115522964,0.6248900000000002,0.63984,trendline_invalidation,1.0,0.00071,0.0,0.00071,0.1335,0.001108,2,2,84,moderately_stretched,0.003309646209185943,0.0025100000000000122,0.5077,3.17,normal,new_york,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-199
AUD_USD-4h-short-207:4,AUD_USD,4h,aud_usd_4h,short,2023-08-21 05:00:00+00:00,2023-08-21 09:00:00+00:00,2023-08-21 17:00:00+00:00,0.6399,0.6425136259941385,0.6329600000000002,0.64137,trendline_invalidation,1.0,-0.00147,0.0,-0.00147,-0.5624,-0.002297,2,3,79,normal,0.002774503976554385,0.0018400000000000638,0.2734,2.11,normal,asia,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-207
AUD_USD-4h-short-283:5,AUD_USD,4h,aud_usd_4h,short,2023-09-06 13:00:00+00:00,2023-09-06 17:00:00+00:00,2023-09-08 05:00:00+00:00,0.6378,0.6411330564938769,0.6308649999999998,0.6411330564938769,stop,1.0,-0.003333,0.0,-0.003333,-1.0,-0.005226,9,1,82,moderately_stretched,0.002612225975507418,0.003869999999999929,0.2876,2.41,normal,london_new_york,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-283
AUD_USD-4h-long-339:6,AUD_USD,4h,aud_usd_4h,long,2023-09-20 13:00:00+00:00,2023-09-20 17:00:00+00:00,2023-09-20 17:00:00+00:00,0.65104,0.6443123879572752,0.6545499999999999,0.6443123879572752,stop,1.0,-0.006728,0.0,-0.006728,-1.0,-0.010334,0,1,77,moderately_stretched,0.0019904481708990724,0.0028600000000000847,0.2755,1.25,normal,london_new_york,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-339
AUD_USD-4h-short-454:7,AUD_USD,4h,aud_usd_4h,short,2023-10-17 09:00:00+00:00,2023-10-17 13:00:00+00:00,2023-10-17 13:00:00+00:00,0.63412,0.6373123552319605,0.62543,0.6373123552319605,stop,1.0,-0.003192,0.0,-0.003192,-1.0,-0.005034,0,1,88,normal,0.002369420927842266,0.002929999999999988,0.4153,2.92,normal,london,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-454
AUD_USD-4h-long-514:8,AUD_USD,4h,aud_usd_4h,long,2023-10-31 09:00:00+00:00,2023-10-31 13:00:00+00:00,2023-10-31 13:00:00+00:00,0.63458,0.6335821476953324,0.6433050000000001,0.6335821476953324,stop,1.0,-0.000998,0.0,-0.000998,-1.0,-0.001572,0,1,79,normal,0.002271409218670526,0.0028199999999999337,0.3739,1.62,normal,london,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-514
AUD_USD-4h-long-531:9,AUD_USD,4h,aud_usd_4h,long,2023-11-02 21:00:00+00:00,2023-11-03 01:00:00+00:00,2023-11-03 09:00:00+00:00,0.64254,0.640625849978638,0.6502749999999999,0.6502749999999999,target,1.0,0.007735,0.0,0.007735,4.041,0.012038,2,1,82,moderately_stretched,0.002616600085447866,0.0015100000000000113,0.3055,2.42,normal,off_hours,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-531
AUD_USD-4h-long-585:10,AUD_USD,4h,aud_usd_4h,long,2023-11-16 10:00:00+00:00,2023-11-16 14:00:00+00:00,2023-11-16 18:00:00+00:00,0.65077,0.6454173596634599,0.6649300000000001,0.64718,trendline_invalidation,1.0,-0.00359,0.0,-0.00359,-0.6707,-0.005517,1,1,84,moderately_stretched,0.002850561346160054,0.0034799999999999276,0.3982,2.93,normal,london,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-585
AUD_USD-4h-long-637:11,AUD_USD,4h,aud_usd_4h,long,2023-11-28 14:00:00+00:00,2023-11-28 18:00:00+00:00,2023-11-29 06:00:00+00:00,0.66476,0.659090819346807,0.6678299999999998,0.66264,trendline_invalidation,1.0,-0.00212,0.0,-0.00212,-0.374,-0.003189,3,1,79,moderately_stretched,0.0021967226127717772,0.0047800000000000065,0.3216,1.85,normal,london_new_york,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-637
AUD_USD-4h-long-642:12,AUD_USD,4h,aud_usd_4h,long,2023-11-30 02:00:00+00:00,2023-11-30 06:00:00+00:00,2023-11-30 06:00:00+00:00,0.66391,0.6600067469380825,0.6765466666666666,0.66132,trendline_invalidation,1.0,-0.00259,0.0,-0.00259,-0.6635,-0.003901,0,2,84,normal,0.002293012247669927,0.0029400000000000537,0.5072,4.78,normal,asia,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-642
AUD_USD-4h-short-670:13,AUD_USD,4h,aud_usd_4h,short,2023-12-06 10:00:00+00:00,2023-12-06 14:00:00+00:00,2023-12-07 10:00:00+00:00,0.65863,0.6603777338622961,0.647605,0.65835,trendline_invalidation,1.0,0.00028,0.0,0.00028,0.1602,0.000425,5,1,84,normal,0.0025909354491842665,0.0022799999999999487,0.3631,2.87,normal,london,bearish_ll_lh_continuation,bearish,AUD_USD-4h-short-670
AUD_USD-4h-long-736:14,AUD_USD,4h,aud_usd_4h,long,2023-12-21 02:00:00+00:00,2023-12-21 06:00:00+00:00,2023-12-22 02:00:00+00:00,0.6752,0.6718193142453717,0.68434,0.67751,trendline_invalidation,1.0,0.00231,0.0,0.00231,0.6833,0.003421,5,1,84,normal,0.0024027430185133715,0.001080000000000081,0.4741,3.26,normal,asia,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-736
AUD_USD-4h-long-763:15,AUD_USD,4h,aud_usd_4h,long,2023-12-28 14:00:00+00:00,2023-12-28 18:00:00+00:00,2023-12-29 06:00:00+00:00,0.68461,0.6818454155189838,0.69184,0.6818454155189838,stop,1.0,-0.002765,0.0,-0.002765,-1.0,-0.004038,3,2,86,normal,0.0022983379240647766,0.0040000000000000036,0.3223,2.45,normal,london_new_york,bullish_hh_hl_continuation,bullish,AUD_USD-4h-long-763
