trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
GBP_USD-4h-long-28:1,GBP_USD,4h,gbp_usd_4h,long,2023-07-10 17:00:00+00:00,2023-07-10 21:00:00+00:00,2023-07-10 21:00:00+00:00,1.28592,1.2740657116129104,1.3180800000000001,1.28688,trendline_invalidation,1.0,0.00096,0.0,0.00096,0.081,0.000747,0,1,84,moderately_stretched,0.0038971535483583444,0.0025200000000000777,0.5279,3.15,expanded,new_york,bullish_hh_hl_continuation,bullish,GBP_USD-4h-long-28
GBP_USD-4h-short-100:2,GBP_USD,4h,gbp_usd_4h,short,2023-07-26 01:00:00+00:00,2023-07-26 05:00:00+00:00,2023-07-26 05:00:00+00:00,1.28877,1.2913590230839025,1.2714400000000001,1.29104,trendline_invalidation,1.0,-0.00227,0.0,-0.00227,-0.8768,-0.001761,0,1,88,normal,0.003516092335610038,0.0017400000000000748,0.6058,5.43,normal,asia,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-100
GBP_USD-4h-short-130:3,GBP_USD,4h,gbp_usd_4h,short,2023-08-02 05:00:00+00:00,2023-08-02 09:00:00+00:00,2023-08-03 09:00:00+00:00,1.27874,1.2815615893007979,1.26694,1.26694,target,1.0,0.0118,0.0,0.0118,4.182,0.009228,6,1,79,normal,0.0038463572031918404,0.0038199999999999346,0.2544,1.8,normal,asia,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-130
GBP_USD-4h-short-147:4,GBP_USD,4h,gbp_usd_4h,short,2023-08-07 01:00:00+00:00,2023-08-07 05:00:00+00:00,2023-08-07 09:00:00+00:00,1.2735,1.2801929576973792,1.2539800000000003,1.2772,trendline_invalidation,1.0,-0.0037,0.0,-0.0037,-0.5528,-0.002905,1,2,88,normal,0.003891830789516189,0.0026599999999998847,0.5755,3.54,normal,asia,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-147
GBP_USD-4h-long-205:5,GBP_USD,4h,gbp_usd_4h,long,2023-08-18 17:00:00+00:00,2023-08-20 21:00:00+00:00,2023-08-21 01:00:00+00:00,1.27346,1.267977757610336,1.2881599999999997,1.27386,trendline_invalidation,1.0,0.0004,0.0,0.0004,0.073,0.000314,1,1,84,normal,0.0037689695586563105,0.0028200000000000447,0.5141,1.89,normal,new_york,bullish_hh_hl_continuation,bullish,GBP_USD-4h-long-205
GBP_USD-4h-long-259:6,GBP_USD,4h,gbp_usd_4h,long,2023-09-01 01:00:00+00:00,2023-09-01 05:00:00+00:00,2023-09-01 05:00:00+00:00,1.26684,1.2644901464432354,1.28232,1.2644901464432354,stop,1.0,-0.00235,0.0,-0.00235,-1.0,-0.001855,0,1,88,normal,0.003079414227058151,0.0024699999999999722,0.4392,4.55,normal,asia,bullish_hh_hl_continuation,bullish,GBP_USD-4h-long-259
GBP_USD-4h-short-278:7,GBP_USD,4h,gbp_usd_4h,short,2023-09-06 13:00:00+00:00,2023-09-06 17:00:00+00:00,2023-09-07 17:00:00+00:00,1.25021,1.2597012054124066,1.2380400000000005,1.24713,trendline_invalidation,1.0,0.00308,0.0,0.00308,0.3245,0.002464,6,1,84,moderately_stretched,0.003564821649626333,0.007680000000000131,0.2743,2.88,normal,london_new_york,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-278
GBP_USD-4h-short-323:8,GBP_USD,4h,gbp_usd_4h,short,2023-09-15 17:00:00+00:00,2023-09-17 21:00:00+00:00,2023-09-17 21:00:00+00:00,1.23878,1.2454349120194812,1.2301400000000005,1.23998,trendline_invalidation,1.0,-0.0012,0.0,-0.0012,-0.1803,-0.000969,0,1,77,moderately_stretched,0.00333964807792534,0.0021199999999998997,0.325,1.21,normal,new_york,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-323
GBP_USD-4h-short-344:9,GBP_USD,4h,gbp_usd_4h,short,2023-09-20 21:00:00+00:00,2023-09-21 01:00:00+00:00,2023-09-21 05:00:00+00:00,1.23135,1.2429958778368813,1.2170300000000003,1.23042,trendline_invalidation,1.0,0.00093,0.0,0.00093,0.0799,0.000755,1,2,79,moderately_stretched,0.0033435113475253756,0.0036199999999999566,0.5104,1.65,normal,off_hours,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-344
GBP_USD-4h-short-404:10,GBP_USD,4h,gbp_usd_4h,short,2023-10-05 09:00:00+00:00,2023-10-05 13:00:00+00:00,2023-10-05 13:00:00+00:00,1.21311,1.218609544952985,1.1894099999999999,1.218609544952985,stop,1.0,-0.0055,0.0,-0.0055,-1.0,-0.004533,0,1,88,normal,0.0036781798119400505,0.0048200000000000465,0.5955,3.17,normal,london,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-404
GBP_USD-4h-short-453:11,GBP_USD,4h,gbp_usd_4h,short,2023-10-17 01:00:00+00:00,2023-10-17 05:00:00+00:00,2023-10-18 05:00:00+00:00,1.2197,1.2227662002795006,1.2056400000000003,1.21996,trendline_invalidation,1.0,-0.00026,0.0,-0.00026,-0.0848,-0.000213,6,1,88,normal,0.0033048011180025322,0.0016400000000000858,0.3932,6.24,normal,asia,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-453
GBP_USD-4h-short-459:12,GBP_USD,4h,gbp_usd_4h,short,2023-10-17 21:00:00+00:00,2023-10-18 01:00:00+00:00,2023-10-18 05:00:00+00:00,1.21629,1.2221496459815415,1.2045250000000003,1.21996,trendline_invalidation,1.0,-0.00367,0.0,-0.00367,-0.6263,-0.003017,1,2,86,normal,0.00375858392616637,0.0036399999999998656,0.3866,2.49,normal,off_hours,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-459
GBP_USD-4h-short-476:13,GBP_USD,4h,gbp_usd_4h,short,2023-10-23 01:00:00+00:00,2023-10-23 05:00:00+00:00,2023-10-23 05:00:00+00:00,1.21496,1.2178669079000723,1.2004350000000004,1.2178669079000723,stop,1.0,-0.002907,0.0,-0.002907,-1.0,-0.002393,0,3,86,normal,0.0033076316002899056,0.0018200000000001548,0.6114,6.43,normal,asia,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-476
GBP_USD-4h-short-688:14,GBP_USD,4h,gbp_usd_4h,short,2023-12-11 18:00:00+00:00,2023-12-11 22:00:00+00:00,2023-12-12 02:00:00+00:00,1.25574,1.259886946444596,1.23563,1.2576,trendline_invalidation,1.0,-0.00186,0.0,-0.00186,-0.4485,-0.001481,1,1,88,normal,0.003227785778384764,0.0029600000000000737,0.4776,3.11,normal,new_york,bearish_ll_lh_continuation,bearish,GBP_USD-4h-short-688
GBP_USD-4h-long-717:15,GBP_USD,4h,gbp_usd_4h,long,2023-12-18 06:00:00+00:00,2023-12-18 10:00:00+00:00,2023-12-18 10:00:00+00:00,1.26672,1.2653854192653635,1.2919749999999997,1.2653854192653635,stop,1.0,-0.001335,0.0,-0.001335,-1.0,-0.001054,0,1,88,normal,0.0041383229385466526,0.0038599999999999746,0.436,4.79,normal,asia,bullish_hh_hl_continuation,bullish,GBP_USD-4h-long-717
