trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
USD_JPY-4h-short-29:1,USD_JPY,4h,usd_jpy_4h,short,2023-07-10 09:00:00+00:00,2023-07-10 13:00:00+00:00,2023-07-11 01:00:00+00:00,142.418,143.13121479702707,140.73800000000003,140.73800000000003,target,1.0,1.68,0.0,1.68,2.3555,0.011796,3,1,79,moderately_stretched,0.5008591881083085,0.5279999999999916,0.3475,1.69,expanded,london,bearish_ll_lh_continuation,bearish,USD_JPY-4h-short-29
USD_JPY-4h-short-55:2,USD_JPY,4h,usd_jpy_4h,short,2023-07-16 21:00:00+00:00,2023-07-17 01:00:00+00:00,2023-07-17 09:00:00+00:00,138.384,139.3012950450427,134.84799999999998,138.926,trendline_invalidation,1.0,-0.542,0.0,-0.542,-0.5909,-0.003917,2,2,88,normal,0.5571801801708075,0.4819999999999993,0.3334,5.58,normal,off_hours,bearish_ll_lh_continuation,bearish,USD_JPY-4h-short-55
USD_JPY-4h-long-75:3,USD_JPY,4h,usd_jpy_4h,long,2023-07-20 09:00:00+00:00,2023-07-20 13:00:00+00:00,2023-07-21 05:00:00+00:00,139.834,138.97902805125239,141.344,141.344,target,1.0,1.51,0.0,1.51,1.7661,0.010799,4,1,81,moderately_stretched,0.5238877949905003,0.5779999999999745,0.3211,2.34,normal,london,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-75
USD_JPY-4h-long-86:4,USD_JPY,4h,usd_jpy_4h,long,2023-07-24 21:00:00+00:00,2023-07-25 01:00:00+00:00,2023-07-25 01:00:00+00:00,141.483,140.61304497094883,145.69000000000008,141.451,trendline_invalidation,1.0,-0.032,0.0,-0.032,-0.0368,-0.000226,0,2,84,moderately_stretched,0.5158201162045796,0.25199999999998113,0.2842,4.42,normal,off_hours,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-86
USD_JPY-4h-long-188:5,USD_JPY,4h,usd_jpy_4h,long,2023-08-15 21:00:00+00:00,2023-08-16 01:00:00+00:00,2023-08-16 01:00:00+00:00,145.59,145.01583142977898,147.029,145.456,trendline_invalidation,1.0,-0.134,0.0,-0.134,-0.2334,-0.00092,0,1,80,moderately_stretched,0.3606742808840569,0.17600000000001614,0.2657,2.07,normal,off_hours,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-188
USD_JPY-4h-long-249:6,USD_JPY,4h,usd_jpy_4h,long,2023-08-30 01:00:00+00:00,2023-08-30 05:00:00+00:00,2023-08-30 09:00:00+00:00,146.226,145.56463147780715,149.282,145.875,trendline_invalidation,1.0,-0.351,0.0,-0.351,-0.5307,-0.0024,1,1,88,normal,0.42147408877137177,0.38999999999998636,0.6023,5.87,normal,asia,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-249
USD_JPY-4h-short-409:7,USD_JPY,4h,usd_jpy_4h,short,2023-10-05 17:00:00+00:00,2023-10-05 21:00:00+00:00,2023-10-05 21:00:00+00:00,148.462,149.2205956075673,146.808,148.64,trendline_invalidation,1.0,-0.178,0.0,-0.178,-0.2346,-0.001199,0,1,80,moderately_stretched,0.4103824302692097,0.21399999999999864,0.451,1.86,normal,new_york,bearish_ll_lh_continuation,bearish,USD_JPY-4h-short-409
USD_JPY-4h-long-437:8,USD_JPY,4h,usd_jpy_4h,long,2023-10-12 13:00:00+00:00,2023-10-12 17:00:00+00:00,2023-10-13 01:00:00+00:00,149.736,148.86843236501338,150.34300000000002,149.648,trendline_invalidation,1.0,-0.088,0.0,-0.088,-0.1014,-0.000588,2,1,78,moderately_stretched,0.35027053994648183,0.4070000000000107,0.3167,1.39,normal,london_new_york,bullish_hh_hl_continuation,bullish,USD_JPY-4h-long-437
USD_JPY-4h-short-608:9,USD_JPY,4h,usd_jpy_4h,short,2023-11-22 22:00:00+00:00,2023-11-23 02:00:00+00:00,2023-11-23 10:00:00+00:00,149.182,149.87976373935103,143.7519999999999,149.474,trendline_invalidation,1.0,-0.292,0.0,-0.292,-0.4185,-0.001957,2,1,88,moderately_stretched,0.5110549574041025,0.3859999999999957,0.6075,15.94,normal,off_hours,bearish_ll_lh_continuation,bearish,USD_JPY-4h-short-608
USD_JPY-4h-short-642:10,USD_JPY,4h,usd_jpy_4h,short,2023-11-29 22:00:00+00:00,2023-11-30 02:00:00+00:00,2023-11-30 02:00:00+00:00,147.038,148.03561117787896,144.024,147.032,trendline_invalidation,1.0,0.006,0.0,0.006,0.006,4.1e-05,0,1,84,moderately_stretched,0.5184447115158082,0.35300000000000864,0.4057,3.19,normal,off_hours,bearish_ll_lh_continuation,bearish,USD_JPY-4h-short-642
USD_JPY-4h-short-648:11,USD_JPY,4h,usd_jpy_4h,short,2023-11-30 22:00:00+00:00,2023-12-01 02:00:00+00:00,2023-12-01 10:00:00+00:00,147.714,148.6535708323709,144.54400000000004,148.19,trendline_invalidation,1.0,-0.476,0.0,-0.476,-0.5066,-0.003222,2,2,88,normal,0.5262833294836343,0.6049999999999898,0.5844,5.74,normal,off_hours,bearish_ll_lh_continuation,bearish,USD_JPY-4h-short-648
