trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
EUR_GBP-4h-short-23:1,EUR_GBP,4h,eur_gbp_4h,short,2024-01-08 14:00:00+00:00,2024-01-08 18:00:00+00:00,2024-01-10 14:00:00+00:00,0.85964,0.8624733245700253,0.8573049999999998,0.86126,trendline_invalidation,1.0,-0.00162,0.0,-0.00162,-0.5718,-0.001885,11,1,79,moderately_stretched,0.0014132982801015183,0.0022299999999999542,0.2596,1.82,normal,london_new_york,bearish_ll_lh_continuation,bearish,EUR_GBP-4h-short-23
EUR_GBP-4h-short-39:2,EUR_GBP,4h,eur_gbp_4h,short,2024-01-10 22:00:00+00:00,2024-01-11 02:00:00+00:00,2024-01-14 22:00:00+00:00,0.86036,0.8623665062411249,0.856865,0.85974,trendline_invalidation,1.0,0.00062,0.0,0.00062,0.309,0.000721,11,2,86,normal,0.001226024964499376,0.0012699999999999934,0.5662,2.47,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_GBP-4h-short-39
EUR_GBP-4h-short-98:3,EUR_GBP,4h,eur_gbp_4h,short,2024-01-24 22:00:00+00:00,2024-01-25 02:00:00+00:00,2024-01-25 06:00:00+00:00,0.85572,0.8564943301707414,0.85071,0.85617,trendline_invalidation,1.0,-0.00045,0.0,-0.00045,-0.5811,-0.000526,1,1,84,normal,0.0012573206829651737,0.0007400000000000739,0.451,3.69,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_GBP-4h-short-98
EUR_GBP-4h-short-110:4,EUR_GBP,4h,eur_gbp_4h,short,2024-01-29 02:00:00+00:00,2024-01-29 06:00:00+00:00,2024-01-29 22:00:00+00:00,0.85342,0.8550901519030261,0.84906,0.85243,trendline_invalidation,1.0,0.00099,0.0,0.00099,0.5928,0.00116,4,2,84,normal,0.0011606076121043782,0.0006599999999999939,0.3927,3.53,normal,asia,bearish_ll_lh_continuation,bearish,EUR_GBP-4h-short-110
EUR_GBP-4h-long-171:5,EUR_GBP,4h,eur_gbp_4h,long,2024-02-11 22:00:00+00:00,2024-02-12 02:00:00+00:00,2024-02-12 06:00:00+00:00,0.85436,0.8529869051013794,0.8565400000000001,0.85326,trendline_invalidation,1.0,-0.0011,0.0,-0.0011,-0.8011,-0.001288,1,1,81,normal,0.0010123795944822166,0.0006399999999999739,0.4808,2.14,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_GBP-4h-long-171
EUR_GBP-4h-long-195:6,EUR_GBP,4h,eur_gbp_4h,long,2024-02-16 14:00:00+00:00,2024-02-16 18:00:00+00:00,2024-02-18 22:00:00+00:00,0.85487,0.8534391534580111,0.8627949999999999,0.85463,trendline_invalidation,1.0,-0.00024,0.0,-0.00024,-0.1677,-0.000281,1,1,82,normal,0.0013233861679554687,0.0017399999999999638,0.4526,2.52,normal,london_new_york,bullish_hh_hl_continuation,bullish,EUR_GBP-4h-long-195
EUR_GBP-4h-long-202:7,EUR_GBP,4h,eur_gbp_4h,long,2024-02-19 18:00:00+00:00,2024-02-19 22:00:00+00:00,2024-02-19 22:00:00+00:00,0.85564,0.8534288237786225,0.8638699999999997,0.85552,trendline_invalidation,1.0,-0.00012,0.0,-0.00012,-0.0543,-0.00014,0,2,84,normal,0.0011647048855099068,0.00045000000000006146,0.4192,3.29,normal,new_york,bullish_hh_hl_continuation,bullish,EUR_GBP-4h-long-202
EUR_GBP-4h-short-292:8,EUR_GBP,4h,eur_gbp_4h,short,2024-03-11 21:00:00+00:00,2024-03-12 01:00:00+00:00,2024-03-12 01:00:00+00:00,0.85271,0.8537904031325231,0.8456599999999999,0.85318,trendline_invalidation,1.0,-0.00047,0.0,-0.00047,-0.435,-0.000551,0,1,84,normal,0.0011616125300921447,0.0005800000000000249,0.5033,6.01,normal,off_hours,bearish_ll_lh_continuation,bearish,EUR_GBP-4h-short-292
EUR_GBP-4h-long-351:9,EUR_GBP,4h,eur_gbp_4h,long,2024-03-25 05:00:00+00:00,2024-03-25 09:00:00+00:00,2024-03-25 09:00:00+00:00,0.85768,0.8570887255876773,0.8633250000000001,0.8570887255876773,stop,1.0,-0.000591,0.0,-0.000591,-1.0,-0.000689,0,1,84,moderately_stretched,0.0012050976492903927,0.0009400000000000519,0.3928,6.5,normal,asia,bullish_hh_hl_continuation,bullish,EUR_GBP-4h-long-351
EUR_GBP-4h-long-356:10,EUR_GBP,4h,eur_gbp_4h,long,2024-03-25 17:00:00+00:00,2024-03-25 21:00:00+00:00,2024-03-26 05:00:00+00:00,0.85759,0.8562295991676848,0.8608100000000002,0.85771,trendline_invalidation,1.0,0.00012,0.0,0.00012,0.0882,0.00014,2,2,83,normal,0.001161603329260561,0.0005999999999999339,0.36,2.78,normal,new_york,bullish_hh_hl_continuation,bullish,EUR_GBP-4h-long-356
