trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
USD_CHF-4h-short-78:1,USD_CHF,4h,usd_chf_4h,short,2025-01-21 18:00:00+00:00,2025-01-21 22:00:00+00:00,2025-01-21 22:00:00+00:00,0.90593,0.9121717396400547,0.8926700000000001,0.90674,trendline_invalidation,1.0,-0.00081,0.0,-0.00081,-0.1298,-0.000894,0,1,82,moderately_stretched,0.002766958560218829,0.0018599999999999728,0.6188,2.36,normal,new_york,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-78
USD_CHF-4h-short-87:2,USD_CHF,4h,usd_chf_4h,short,2025-01-22 22:00:00+00:00,2025-01-23 02:00:00+00:00,2025-01-23 10:00:00+00:00,0.9064,0.9081460851916899,0.8988349999999999,0.9081460851916899,stop,1.0,-0.001746,0.0,-0.001746,-1.0,-0.001926,2,2,84,normal,0.0024243407667596966,0.0015000000000000568,0.3521,3.06,normal,off_hours,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-87
USD_CHF-4h-short-90:3,USD_CHF,4h,usd_chf_4h,short,2025-01-24 02:00:00+00:00,2025-01-24 06:00:00+00:00,2025-01-24 10:00:00+00:00,0.90514,0.9114527489870198,0.89554,0.90631,trendline_invalidation,1.0,-0.00117,0.0,-0.00117,-0.1853,-0.001293,1,3,84,normal,0.0022909959480790537,0.0024600000000000177,0.5366,2.48,normal,asia,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-90
USD_CHF-4h-short-98:4,USD_CHF,4h,usd_chf_4h,short,2025-01-27 10:00:00+00:00,2025-01-27 14:00:00+00:00,2025-01-27 14:00:00+00:00,0.89867,0.9079932499908298,0.8836499999999999,0.9011,trendline_invalidation,1.0,-0.00243,0.0,-0.00243,-0.2606,-0.002704,0,1,83,moderately_stretched,0.002692999963319013,0.0049599999999999644,0.3855,2.64,normal,london,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-98
USD_CHF-4h-long-128:5,USD_CHF,4h,usd_chf_4h,long,2025-02-02 22:00:00+00:00,2025-02-03 02:00:00+00:00,2025-02-03 02:00:00+00:00,0.91588,0.9065078612316787,0.92262,0.91616,trendline_invalidation,1.0,0.00028,0.0,0.00028,0.0299,0.000306,0,1,81,moderately_stretched,0.002608555073285061,0.003049999999999997,0.2939,2.23,normal,off_hours,bullish_hh_hl_continuation,bullish,USD_CHF-4h-long-128
USD_CHF-4h-long-134:6,USD_CHF,4h,usd_chf_4h,long,2025-02-04 02:00:00+00:00,2025-02-04 06:00:00+00:00,2025-02-04 06:00:00+00:00,0.91275,0.9085298039986143,0.932965,0.90968,trendline_invalidation,1.0,-0.00307,0.0,-0.00307,-0.7275,-0.003363,0,2,84,normal,0.0030407840055431956,0.0019399999999999418,0.6297,5.06,expanded,asia,bullish_hh_hl_continuation,bullish,USD_CHF-4h-long-134
USD_CHF-4h-short-223:7,USD_CHF,4h,usd_chf_4h,short,2025-02-24 18:00:00+00:00,2025-02-24 22:00:00+00:00,2025-02-24 22:00:00+00:00,0.89722,0.9003677058137405,0.8885399999999999,0.89748,trendline_invalidation,1.0,-0.00026,0.0,-0.00026,-0.0826,-0.00029,0,1,79,moderately_stretched,0.002070823254961667,0.0015800000000000258,0.4446,1.84,normal,new_york,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-223
USD_CHF-4h-short-266:8,USD_CHF,4h,usd_chf_4h,short,2025-03-06 10:00:00+00:00,2025-03-06 14:00:00+00:00,2025-03-06 22:00:00+00:00,0.88484,0.8932923385816203,0.86762,0.88278,trendline_invalidation,1.0,0.00206,0.0,0.00206,0.2437,0.002328,2,1,82,moderately_stretched,0.002849354326481017,0.003630000000000022,0.3873,2.41,normal,london,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-266
USD_CHF-4h-short-285:9,USD_CHF,4h,usd_chf_4h,short,2025-03-11 01:00:00+00:00,2025-03-11 05:00:00+00:00,2025-03-11 05:00:00+00:00,0.87898,0.8829570940492446,0.8669499999999999,0.88046,trendline_invalidation,1.0,-0.00148,0.0,-0.00148,-0.3721,-0.001684,0,2,81,normal,0.0030283761969784645,0.0023900000000000032,0.3155,2.12,normal,asia,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-285
USD_CHF-4h-long-304:10,USD_CHF,4h,usd_chf_4h,long,2025-03-14 09:00:00+00:00,2025-03-14 13:00:00+00:00,2025-03-17 01:00:00+00:00,0.88526,0.8811412520231122,0.8903000000000002,0.88456,trendline_invalidation,1.0,-0.0007,0.0,-0.0007,-0.17,-0.000791,3,1,79,moderately_stretched,0.0023949919075507867,0.0025600000000000067,0.3876,1.64,normal,london,bullish_hh_hl_continuation,bullish,USD_CHF-4h-long-304
USD_CHF-4h-short-323:11,USD_CHF,4h,usd_chf_4h,short,2025-03-20 01:00:00+00:00,2025-03-20 05:00:00+00:00,2025-03-20 05:00:00+00:00,0.8769,0.8814652557421278,0.8591600000000004,0.8814652557421278,stop,1.0,-0.004565,0.0,-0.004565,-1.0,-0.005206,0,1,84,moderately_stretched,0.002021022968511113,0.0014600000000000168,0.4799,3.13,normal,asia,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-323
USD_CHF-4h-short-399:12,USD_CHF,4h,usd_chf_4h,short,2025-04-07 05:00:00+00:00,2025-04-07 09:00:00+00:00,2025-04-07 09:00:00+00:00,0.85118,0.8638561774821555,0.8272999999999999,0.85638,trendline_invalidation,1.0,-0.0052,0.0,-0.0052,-0.4102,-0.006109,0,1,81,moderately_stretched,0.005184709928621912,0.009240000000000026,0.3932,2.23,expanded,asia,bearish_ll_lh_continuation,bearish,USD_CHF-4h-short-399
