trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
WTICO_USD-4h-long-16:1,WTICO_USD,4h,wtico_usd_4h,long,2025-01-07 14:00:00+00:00,2025-01-07 18:00:00+00:00,2025-01-08 10:00:00+00:00,74.511,73.2077038347938,78.43199999999999,74.691,trendline_invalidation,1.0,0.18,0.0,0.18,0.1381,0.002416,4,1,84,moderately_stretched,0.5619744347079597,0.6350000000000051,0.6003,3.48,normal,london_new_york,bullish_hh_hl_continuation,bullish,WTICO_USD-4h-long-16
WTICO_USD-4h-long-59:2,WTICO_USD,4h,wtico_usd_4h,long,2025-01-16 22:00:00+00:00,2025-01-17 02:00:00+00:00,2025-01-17 06:00:00+00:00,79.489,78.10831733846426,85.5,79.461,trendline_invalidation,1.0,-0.028,0.0,-0.028,-0.0203,-0.000352,1,1,84,normal,0.857884410238245,0.39700000000000557,0.3568,4.75,normal,off_hours,bullish_hh_hl_continuation,bullish,WTICO_USD-4h-long-59
WTICO_USD-4h-short-86:3,WTICO_USD,4h,wtico_usd_4h,short,2025-01-22 22:00:00+00:00,2025-01-23 02:00:00+00:00,2025-01-23 06:00:00+00:00,76.256,77.64439769692447,74.79066666666668,76.34,trendline_invalidation,1.0,-0.084,0.0,-0.084,-0.0605,-0.001102,1,1,77,moderately_stretched,0.7226513128298465,0.19299999999999784,0.2849,1.3,normal,off_hours,bearish_ll_lh_continuation,bearish,WTICO_USD-4h-short-86
WTICO_USD-4h-short-96:4,WTICO_USD,4h,wtico_usd_4h,short,2025-01-26 22:00:00+00:00,2025-01-27 02:00:00+00:00,2025-01-27 06:00:00+00:00,74.679,76.30820451033644,72.35399999999997,75.613,trendline_invalidation,1.0,-0.934,0.0,-0.934,-0.5733,-0.012507,1,2,83,moderately_stretched,0.7213634022428632,0.9179999999999922,0.2977,2.74,normal,off_hours,bearish_ll_lh_continuation,bearish,WTICO_USD-4h-short-96
WTICO_USD-4h-short-112:5,WTICO_USD,4h,wtico_usd_4h,short,2025-01-29 14:00:00+00:00,2025-01-29 18:00:00+00:00,2025-01-30 18:00:00+00:00,73.346,74.99674452258957,71.88799999999998,73.962,trendline_invalidation,1.0,-0.616,0.0,-0.616,-0.3732,-0.008399,6,3,76,moderately_stretched,0.8049634839303803,1.2099999999999937,0.298,1.43,normal,london_new_york,bearish_ll_lh_continuation,bearish,WTICO_USD-4h-short-112
WTICO_USD-4h-short-122:6,WTICO_USD,4h,wtico_usd_4h,short,2025-01-31 06:00:00+00:00,2025-01-31 10:00:00+00:00,2025-01-31 18:00:00+00:00,73.338,74.70287569420987,70.44499999999998,74.517,trendline_invalidation,1.0,-1.179,0.0,-1.179,-0.8638,-0.016076,2,4,84,normal,0.75250462806573,0.8639999999999901,0.531,4.14,normal,asia,bearish_ll_lh_continuation,bearish,WTICO_USD-4h-short-122
WTICO_USD-4h-long-208:7,WTICO_USD,4h,wtico_usd_4h,long,2025-02-20 10:00:00+00:00,2025-02-20 14:00:00+00:00,2025-02-21 02:00:00+00:00,72.855,72.01724794274739,74.90550000000002,72.661,trendline_invalidation,1.0,-0.194,0.0,-0.194,-0.2316,-0.002663,3,1,84,moderately_stretched,0.4916803816840779,0.5109999999999957,0.4299,3.22,normal,london,bullish_hh_hl_continuation,bullish,WTICO_USD-4h-long-208
WTICO_USD-4h-short-242:8,WTICO_USD,4h,wtico_usd_4h,short,2025-02-27 22:00:00+00:00,2025-02-28 02:00:00+00:00,2025-02-28 14:00:00+00:00,70.247,70.87318940952238,66.564,70.158,trendline_invalidation,1.0,0.089,0.0,0.089,0.1421,0.001267,3,1,88,normal,0.5345960634824838,0.17099999999999227,0.4841,6.73,normal,off_hours,bearish_ll_lh_continuation,bearish,WTICO_USD-4h-short-242
WTICO_USD-4h-short-274:9,WTICO_USD,4h,wtico_usd_4h,short,2025-03-09 21:00:00+00:00,2025-03-10 01:00:00+00:00,2025-03-10 05:00:00+00:00,66.955,68.48020233242687,59.81400000000002,67.046,trendline_invalidation,1.0,-0.091,0.0,-0.091,-0.0597,-0.001359,1,1,88,normal,0.7280155495125445,0.632000000000005,0.5172,4.44,normal,off_hours,bearish_ll_lh_continuation,bearish,WTICO_USD-4h-short-274
WTICO_USD-4h-long-352:10,WTICO_USD,4h,wtico_usd_4h,long,2025-03-26 13:00:00+00:00,2025-03-26 17:00:00+00:00,2025-03-27 01:00:00+00:00,70.081,68.87752477209321,71.52,70.036,trendline_invalidation,1.0,-0.045,0.0,-0.045,-0.0374,-0.000642,2,1,77,moderately_stretched,0.5231681860453092,0.6919999999999931,0.2866,1.31,normal,london_new_york,bullish_hh_hl_continuation,bullish,WTICO_USD-4h-long-352
WTICO_USD-4h-long-358:11,WTICO_USD,4h,wtico_usd_4h,long,2025-03-27 21:00:00+00:00,2025-03-28 01:00:00+00:00,2025-03-28 01:00:00+00:00,70.188,69.3228081155339,73.61399999999996,70.071,trendline_invalidation,1.0,-0.117,0.0,-0.117,-0.1352,-0.001667,0,2,84,normal,0.4746125631073932,0.18999999999999773,0.31,3.78,normal,off_hours,bullish_hh_hl_continuation,bullish,WTICO_USD-4h-long-358
WTICO_USD-4h-short-417:12,WTICO_USD,4h,wtico_usd_4h,short,2025-04-10 05:00:00+00:00,2025-04-10 09:00:00+00:00,2025-04-11 05:00:00+00:00,60.405,63.729260526715485,45.432499999999976,60.281,trendline_invalidation,1.0,0.124,0.0,0.124,0.0373,0.002053,5,1,88,normal,1.8684035114365631,2.030000000000001,0.5477,7.55,expanded,asia,bearish_ll_lh_continuation,bearish,WTICO_USD-4h-short-417
WTICO_USD-4h-short-424:13,WTICO_USD,4h,wtico_usd_4h,short,2025-04-11 13:00:00+00:00,2025-04-11 17:00:00+00:00,2025-04-11 17:00:00+00:00,61.159,61.45055684678052,56.39399999999999,61.45055684678052,stop,1.0,-0.291557,0.0,-0.291557,-1.0,-0.004767,0,2,84,normal,1.5503789785368078,1.541000000000004,0.3789,1.86,normal,london_new_york,bearish_ll_lh_continuation,bearish,WTICO_USD-4h-short-424
