trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
XAG_USD-4h-long-21:1,XAG_USD,4h,xag_usd_4h,long,2025-01-08 10:00:00+00:00,2025-01-08 14:00:00+00:00,2025-01-08 14:00:00+00:00,30.158,29.947554342656094,30.792000000000005,29.947554342656094,stop,1.0,-0.210446,0.0,-0.210446,-1.0,-0.006978,0,1,81,normal,0.25963771562603,0.2480000000000011,0.2778,2.13,normal,london,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-21
XAG_USD-4h-long-33:2,XAG_USD,4h,xag_usd_4h,long,2025-01-09 22:00:00+00:00,2025-01-10 02:00:00+00:00,2025-01-10 10:00:00+00:00,30.1965,29.969017489645676,30.99825,29.969017489645676,stop,1.0,-0.227483,0.0,-0.227483,-1.0,-0.007533,2,2,88,normal,0.24655006902882032,0.12849999999999895,0.4452,3.7,normal,off_hours,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-33
XAG_USD-4h-short-110:3,XAG_USD,4h,xag_usd_4h,short,2025-01-29 02:00:00+00:00,2025-01-29 06:00:00+00:00,2025-01-29 06:00:00+00:00,30.3655,30.528006349140735,29.2672,30.528006349140735,stop,1.0,-0.162506,0.0,-0.162506,-1.0,-0.005352,0,1,88,normal,0.250042327604887,0.14199999999999946,0.532,8.92,normal,asia,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-110
XAG_USD-4h-long-124:4,XAG_USD,4h,xag_usd_4h,long,2025-01-31 10:00:00+00:00,2025-01-31 14:00:00+00:00,2025-01-31 14:00:00+00:00,31.6565,31.092866236260953,32.913250000000005,31.5085,trendline_invalidation,1.0,-0.148,0.0,-0.148,-0.2626,-0.004675,0,1,81,moderately_stretched,0.2775584249269812,0.19395000000000095,0.2965,2.28,normal,london,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-124
XAG_USD-4h-long-129:5,XAG_USD,4h,xag_usd_4h,long,2025-02-03 10:00:00+00:00,2025-02-03 14:00:00+00:00,2025-02-03 22:00:00+00:00,31.3035,30.63834640933724,33.603849999999994,31.6015,trendline_invalidation,1.0,0.298,0.0,0.298,0.448,0.00952,2,2,88,normal,0.32002393775172555,0.3000000000000007,0.5094,3.67,normal,london,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-129
XAG_USD-4h-short-226:6,XAG_USD,4h,xag_usd_4h,short,2025-02-25 10:00:00+00:00,2025-02-25 14:00:00+00:00,2025-02-25 14:00:00+00:00,31.9935,32.53320358193961,31.38949999999999,31.38949999999999,target,1.0,0.604,0.0,0.604,1.1191,0.018879,0,1,77,moderately_stretched,0.3220238795973851,0.5539000000000023,0.35,1.29,normal,london,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-226
XAG_USD-4h-long-275:7,XAG_USD,4h,xag_usd_4h,long,2025-03-09 21:00:00+00:00,2025-03-10 01:00:00+00:00,2025-03-10 01:00:00+00:00,32.5645,32.062731012931394,34.3245,32.42685,trendline_invalidation,1.0,-0.13765,0.0,-0.13765,-0.2743,-0.004227,0,1,84,normal,0.29512658045737145,0.1752000000000038,0.3377,3.51,normal,off_hours,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-275
XAG_USD-4h-long-299:8,XAG_USD,4h,xag_usd_4h,long,2025-03-13 13:00:00+00:00,2025-03-13 17:00:00+00:00,2025-03-13 17:00:00+00:00,33.747,32.89183385835352,33.767600000000016,33.767600000000016,target,1.0,0.0206,0.0,0.0206,0.0241,0.00061,0,1,79,moderately_stretched,0.31110761097648343,0.9852500000000006,0.255,1.65,normal,london_new_york,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-299
XAG_USD-4h-long-309:9,XAG_USD,4h,xag_usd_4h,long,2025-03-16 21:00:00+00:00,2025-03-17 01:00:00+00:00,2025-03-17 01:00:00+00:00,33.852,33.486351753588956,34.73715000000001,33.7005,trendline_invalidation,1.0,-0.1515,0.0,-0.1515,-0.4143,-0.004475,0,2,83,moderately_stretched,0.2909883094069606,0.1214999999999975,0.2426,2.63,normal,off_hours,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-309
XAG_USD-4h-long-313:10,XAG_USD,4h,xag_usd_4h,long,2025-03-17 21:00:00+00:00,2025-03-18 01:00:00+00:00,2025-03-18 13:00:00+00:00,33.8755,33.39235298473325,34.830000000000005,34.12,trendline_invalidation,1.0,0.2445,0.0,0.2445,0.5061,0.007218,3,3,78,normal,0.27764676844500163,0.1507000000000005,0.2219,1.86,normal,off_hours,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-313
XAG_USD-4h-short-340:11,XAG_USD,4h,xag_usd_4h,short,2025-03-24 13:00:00+00:00,2025-03-24 17:00:00+00:00,2025-03-25 05:00:00+00:00,32.957,33.347957151811094,31.88949999999999,33.2925,trendline_invalidation,1.0,-0.3355,0.0,-0.3355,-0.8582,-0.01018,3,1,84,moderately_stretched,0.28304767874060205,0.32049999999999557,0.4086,4.15,normal,london_new_york,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-340
XAG_USD-4h-long-357:12,XAG_USD,4h,xag_usd_4h,long,2025-03-27 01:00:00+00:00,2025-03-27 05:00:00+00:00,2025-03-27 17:00:00+00:00,33.6885,33.47458142119062,34.441500000000005,34.441500000000005,target,1.0,0.753,0.0,0.753,3.52,0.022352,3,1,84,moderately_stretched,0.23612385872917516,0.1640999999999977,0.3298,2.88,normal,asia,bullish_hh_hl_continuation,bullish,XAG_USD-4h-long-357
XAG_USD-4h-short-402:13,XAG_USD,4h,xag_usd_4h,short,2025-04-07 13:00:00+00:00,2025-04-07 17:00:00+00:00,2025-04-09 05:00:00+00:00,29.7385,30.928049238295888,25.7325,30.389,trendline_invalidation,1.0,-0.6505,0.0,-0.6505,-0.5468,-0.021874,9,1,84,moderately_stretched,0.7103282553059174,0.8744999999999976,0.4247,3.97,expanded,london_new_york,bearish_ll_lh_continuation,bearish,XAG_USD-4h-short-402
