trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
EUR_JPY-4h-long-52:1,EUR_JPY,4h,eur_jpy_4h,long,2025-07-14 05:00:00+00:00,2025-07-14 09:00:00+00:00,2025-07-16 01:00:00+00:00,172.113,171.5782584687857,173.20800000000003,173.20800000000003,target,1.0,1.095,0.0,1.095,2.0477,0.006362,10,1,79,normal,0.43896612485723385,0.5089999999999861,0.3599,1.7,normal,asia,bullish_hh_hl_continuation,bullish,EUR_JPY-4h-long-52
EUR_JPY-4h-long-67:2,EUR_JPY,4h,eur_jpy_4h,long,2025-07-16 21:00:00+00:00,2025-07-17 01:00:00+00:00,2025-07-20 21:00:00+00:00,172.491,171.73146425843439,174.89450000000002,172.417,trendline_invalidation,1.0,-0.074,0.0,-0.074,-0.0974,-0.000429,11,2,88,normal,0.4301429662624937,0.4960000000000093,0.5776,4.32,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_JPY-4h-long-67
EUR_JPY-4h-long-73:3,EUR_JPY,4h,eur_jpy_4h,long,2025-07-17 21:00:00+00:00,2025-07-18 01:00:00+00:00,2025-07-20 21:00:00+00:00,172.734,171.8426219347765,173.87099999999998,172.417,trendline_invalidation,1.0,-0.317,0.0,-0.317,-0.3556,-0.001835,5,3,85,normal,0.4135122608939622,0.48599999999999,0.3912,2.82,normal,off_hours,bullish_hh_hl_continuation,bullish,EUR_JPY-4h-long-73
EUR_JPY-4h-short-143:4,EUR_JPY,4h,eur_jpy_4h,short,2025-08-04 13:00:00+00:00,2025-08-04 17:00:00+00:00,2025-08-05 01:00:00+00:00,170.154,171.30232031511224,168.4765,170.008,trendline_invalidation,1.0,0.146,0.0,0.146,0.1271,0.000858,2,1,80,moderately_stretched,0.5452812604489631,0.47700000000000387,0.3795,1.89,normal,london_new_york,bearish_ll_lh_continuation,bearish,EUR_JPY-4h-short-143
EUR_JPY-4h-short-152:5,EUR_JPY,4h,eur_jpy_4h,short,2025-08-06 01:00:00+00:00,2025-08-06 05:00:00+00:00,2025-08-06 05:00:00+00:00,170.672,171.06023361259662,168.64299999999997,171.06023361259662,stop,1.0,-0.388234,0.0,-0.388234,-1.0,-0.002275,0,2,88,normal,0.4489344503864449,0.29599999999999227,0.4387,5.94,normal,asia,bearish_ll_lh_continuation,bearish,EUR_JPY-4h-short-152
EUR_JPY-4h-long-272:6,EUR_JPY,4h,eur_jpy_4h,long,2025-09-03 01:00:00+00:00,2025-09-03 05:00:00+00:00,2025-09-03 13:00:00+00:00,172.837,172.53107992321807,174.44799999999998,172.726,trendline_invalidation,1.0,-0.111,0.0,-0.111,-0.3628,-0.000642,2,1,82,moderately_stretched,0.3716803071276351,0.3919999999999959,0.3449,2.51,normal,asia,bullish_hh_hl_continuation,bullish,EUR_JPY-4h-long-272
EUR_JPY-4h-long-279:7,EUR_JPY,4h,eur_jpy_4h,long,2025-09-04 13:00:00+00:00,2025-09-04 17:00:00+00:00,2025-09-04 21:00:00+00:00,172.991,172.36593157074955,174.594,172.768,trendline_invalidation,1.0,-0.223,0.0,-0.223,-0.3568,-0.001289,1,2,84,normal,0.36827371700183353,0.41799999999997794,0.3868,3.32,normal,london_new_york,bullish_hh_hl_continuation,bullish,EUR_JPY-4h-long-279
EUR_JPY-4h-long-294:8,EUR_JPY,4h,eur_jpy_4h,long,2025-09-08 13:00:00+00:00,2025-09-08 17:00:00+00:00,2025-09-09 01:00:00+00:00,173.397,172.97131669372183,175.00800000000004,173.212,trendline_invalidation,1.0,-0.185,0.0,-0.185,-0.4346,-0.001067,2,1,84,moderately_stretched,0.3947332251126921,0.3369999999999891,0.5156,3.71,normal,london_new_york,bullish_hh_hl_continuation,bullish,EUR_JPY-4h-long-294
EUR_JPY-4h-long-324:9,EUR_JPY,4h,eur_jpy_4h,long,2025-09-15 09:00:00+00:00,2025-09-15 13:00:00+00:00,2025-09-17 09:00:00+00:00,173.332,172.811401075317,173.95800000000003,173.366,trendline_invalidation,1.0,0.034,0.0,0.034,0.0653,0.000196,11,1,83,moderately_stretched,0.338395698731944,0.4619999999999891,0.4019,2.76,normal,london,bullish_hh_hl_continuation,bullish,EUR_JPY-4h-long-324
EUR_JPY-4h-long-336:10,EUR_JPY,4h,eur_jpy_4h,long,2025-09-17 17:00:00+00:00,2025-09-17 21:00:00+00:00,2025-09-24 17:00:00+00:00,173.608,173.0108843236839,174.74499999999995,174.74499999999995,target,1.0,1.137,0.0,1.137,1.9042,0.006549,29,2,88,normal,0.3244627052644461,0.5960000000000036,0.5091,2.9,normal,new_york,bullish_hh_hl_continuation,bullish,EUR_JPY-4h-long-336
