trade_id,symbol,timeframe,profile_name,side,signal_time,entry_time,exit_time,entry_price,stop_price,target_price,exit_price,exit_reason,size_fraction,gross_pnl,commission_paid,net_pnl,pnl_r,pnl_pct,bars_held,trend_maturity,quality_score,bollinger_context,atr_at_entry,bar_range_at_entry,retrace_pct,rr_target,volatility_regime,session,structure_tag,higher_timeframe_bias,setup_id
NZD_USD-4h-short-15:1,NZD_USD,4h,nzd_usd_4h,short,2025-07-04 05:00:00+00:00,2025-07-04 09:00:00+00:00,2025-07-14 13:00:00+00:00,0.6065,0.6087121409957237,0.59735,0.59735,target,1.0,0.00915,0.0,0.00915,4.1363,0.015087,37,1,84,normal,0.0018885639828945492,0.0022199999999999998,0.5787,3.87,expanded,asia,bearish_ll_lh_continuation,bearish,NZD_USD-4h-short-15
NZD_USD-4h-short-27:2,NZD_USD,4h,nzd_usd_4h,short,2025-07-08 09:00:00+00:00,2025-07-08 13:00:00+00:00,2025-07-09 09:00:00+00:00,0.60108,0.6040215873681064,0.5918200000000003,0.59955,trendline_invalidation,1.0,0.00153,0.0,0.00153,0.5201,0.002545,5,2,84,moderately_stretched,0.002006349472425777,0.0017700000000000493,0.3545,2.88,normal,london,bearish_ll_lh_continuation,bearish,NZD_USD-4h-short-27
NZD_USD-4h-short-131:3,NZD_USD,4h,nzd_usd_4h,short,2025-07-31 13:00:00+00:00,2025-07-31 17:00:00+00:00,2025-07-31 21:00:00+00:00,0.58958,0.5942055787136259,0.579185,0.58902,trendline_invalidation,1.0,0.00056,0.0,0.00056,0.1211,0.00095,1,1,81,moderately_stretched,0.002022314854503473,0.0014399999999999968,0.2881,2.23,normal,london_new_york,bearish_ll_lh_continuation,bearish,NZD_USD-4h-short-131
NZD_USD-4h-long-164:4,NZD_USD,4h,nzd_usd_4h,long,2025-08-07 21:00:00+00:00,2025-08-08 01:00:00+00:00,2025-08-08 05:00:00+00:00,0.59633,0.5926535206520737,0.6022500000000001,0.59524,trendline_invalidation,1.0,-0.00109,0.0,-0.00109,-0.2965,-0.001828,1,1,78,moderately_stretched,0.0020259173917056283,0.0021099999999999453,0.3231,1.57,normal,off_hours,bullish_hh_hl_continuation,bullish,NZD_USD-4h-long-164
NZD_USD-4h-long-189:5,NZD_USD,4h,nzd_usd_4h,long,2025-08-14 01:00:00+00:00,2025-08-14 05:00:00+00:00,2025-08-14 05:00:00+00:00,0.59776,0.5965680791181744,0.60235,0.5965680791181744,stop,1.0,-0.001192,0.0,-0.001192,-1.0,-0.001994,0,1,79,moderately_stretched,0.0018076835273021204,0.0019299999999999873,0.3108,1.82,normal,asia,bullish_hh_hl_continuation,bullish,NZD_USD-4h-long-189
NZD_USD-4h-short-230:6,NZD_USD,4h,nzd_usd_4h,short,2025-08-24 21:00:00+00:00,2025-08-25 01:00:00+00:00,2025-08-26 13:00:00+00:00,0.58646,0.5880867011814571,0.5718999999999999,0.5863,trendline_invalidation,1.0,0.00016,0.0,0.00016,0.0984,0.000273,9,1,88,moderately_stretched,0.0018668047258283982,0.0012799999999999478,0.5344,8.37,normal,off_hours,bearish_ll_lh_continuation,bearish,NZD_USD-4h-short-230
NZD_USD-4h-short-235:7,NZD_USD,4h,nzd_usd_4h,short,2025-08-25 17:00:00+00:00,2025-08-25 21:00:00+00:00,2025-08-26 09:00:00+00:00,0.58589,0.5885301839249769,0.5817733333333333,0.58548,trendline_invalidation,1.0,0.00041,0.0,0.00041,0.1553,0.0007,3,2,84,normal,0.0018007356999074123,0.0017599999999999838,0.3643,1.85,normal,new_york,bearish_ll_lh_continuation,bearish,NZD_USD-4h-short-235
NZD_USD-4h-short-241:8,NZD_USD,4h,nzd_usd_4h,short,2025-08-26 21:00:00+00:00,2025-08-27 01:00:00+00:00,2025-08-27 21:00:00+00:00,0.58545,0.5872742726957406,0.57829,0.58594,trendline_invalidation,1.0,-0.00049,0.0,-0.00049,-0.2686,-0.000837,5,3,86,normal,0.0017370907829621855,0.0013300000000000534,0.5609,5.18,normal,off_hours,bearish_ll_lh_continuation,bearish,NZD_USD-4h-short-241
NZD_USD-4h-long-303:9,NZD_USD,4h,nzd_usd_4h,long,2025-09-10 09:00:00+00:00,2025-09-10 13:00:00+00:00,2025-09-10 17:00:00+00:00,0.59442,0.5916573287461693,0.60276,0.594,trendline_invalidation,1.0,-0.00042,0.0,-0.00042,-0.152,-0.000707,1,1,81,moderately_stretched,0.0018506850153227439,0.0021799999999999597,0.3044,2.16,normal,london,bullish_hh_hl_continuation,bullish,NZD_USD-4h-long-303
NZD_USD-4h-long-310:10,NZD_USD,4h,nzd_usd_4h,long,2025-09-11 17:00:00+00:00,2025-09-11 21:00:00+00:00,2025-09-11 21:00:00+00:00,0.59721,0.5910219172305369,0.6150850000000001,0.59768,trendline_invalidation,1.0,0.00047,0.0,0.00047,0.076,0.000787,0,2,83,moderately_stretched,0.0018723310778523076,0.0009900000000000464,0.3748,2.67,normal,new_york,bullish_hh_hl_continuation,bullish,NZD_USD-4h-long-310
