symbol,parameter_set_id,approx_trades_per_day,profit_factor,avg_R_per_trade,win_rate_pct,max_drawdown_R,robustness_score,meets_frequency_goal,meets_quality_bar,frequency_bucket
XAU_USD,met_balanced_off,0.015913652536419038,0.0594028693291963,-0.676923076923077,23.08,-7.800000000000001,0.0,False,False,< 1 trade/week
XAU_USD,met_smaller_target_off,0.015913652536419038,0.0445521519968972,-0.6999999999999946,23.08,-8.09999999999993,0.0,False,False,< 1 trade/week
XAU_USD,met_buffered_off,0.01346539830004688,0.0514599719857739,-0.6454545454545507,27.27,-7.700000000000008,0.6212,False,False,< 1 trade/week
XAU_USD,met_balanced_on,0.01346539830004688,0.0729436971789057,-0.6181818181818182,27.27,-5.8,0.0,False,False,< 1 trade/week
XAU_USD,met_smaller_target_on,0.01346539830004688,0.0547077728841792,-0.6454545454545391,27.27,-6.0999999999999295,0.0,False,False,< 1 trade/week
XAU_USD,met_buffered_on,0.01101714406367472,0.0651924651924611,-0.5666666666666731,33.33,-5.700000000000008,0.5756,False,False,< 1 trade/week
WTICO_USD,met_balanced_off,0.009793016945488639,0.3803761242845501,-0.071238601823708,62.5,-1.2,0.5493,False,False,< 1 trade/week
WTICO_USD,met_balanced_on,0.009793016945488639,0.3803761242845501,-0.071238601823708,62.5,-1.2,0.5493,False,False,< 1 trade/week
XAG_USD,met_balanced_off,0.00856888982730256,0.0721163695963892,-0.0854339797081453,57.14,-2.4365735034290816,1.0397,False,False,< 1 trade/week
XAG_USD,met_balanced_on,0.00856888982730256,0.0721163695963892,-0.0854339797081453,57.14,-2.4365735034290816,1.0397,False,False,< 1 trade/week
XAG_USD,met_smaller_target_off,0.00856888982730256,0.0551116574472422,-0.1497196939939546,57.14,-2.4365735034290816,1.0397,False,False,< 1 trade/week
XAG_USD,met_smaller_target_on,0.00856888982730256,0.0551116574472422,-0.1497196939939546,57.14,-2.4365735034290816,1.0397,False,False,< 1 trade/week
WTICO_USD,met_smaller_target_off,0.00856888982730256,0.2146361406377762,-0.1957012592270982,57.14,-1.700000000000011,0.5199,False,False,< 1 trade/week
WTICO_USD,met_smaller_target_on,0.00856888982730256,0.2146361406377762,-0.1957012592270982,57.14,-1.700000000000011,0.5199,False,False,< 1 trade/week
WTICO_USD,met_buffered_off,0.00856888982730256,0.2241308793456025,-0.2595438095711441,42.86,-0.8871456500488613,0.0,False,False,< 1 trade/week
WTICO_USD,met_buffered_on,0.00856888982730256,0.2241308793456025,-0.2595438095711441,42.86,-0.8871456500488613,0.0,False,False,< 1 trade/week
XAG_USD,met_buffered_off,0.00856888982730256,0.0180686609114639,-0.431507438476516,28.57,-2.8565057037282897,0.0,False,False,< 1 trade/week
XAG_USD,met_buffered_on,0.00856888982730256,0.0180686609114639,-0.431507438476516,28.57,-2.8565057037282897,0.0,False,False,< 1 trade/week
NAS100_USD,idx_looser_ext_off,0.0048964797544722065,3.777408637874033,0.800000000000006,75.0,0.0,0.4024,False,True,< 1 trade/week
NAS100_USD,idx_looser_ext_on,0.0048964797544722065,3.777408637874033,0.800000000000006,75.0,0.0,0.4024,False,True,< 1 trade/week
NAS100_USD,idx_ps07_baseline_off,0.0048964797544722065,3.777408637874033,0.800000000000006,75.0,0.0,0.4024,False,True,< 1 trade/week
NAS100_USD,idx_ps07_baseline_on,0.0048964797544722065,3.777408637874033,0.800000000000006,75.0,0.0,0.4024,False,True,< 1 trade/week
NAS100_USD,idx_tighter_stop_off,0.0048964797544722065,2.9454849498330056,0.5750000000000017,75.0,0.0,0.4024,False,True,< 1 trade/week
