symbol,parameter_set_id,opening_window_variant,approx_trades_per_day,profit_factor,avg_R_per_trade,win_rate_pct,max_drawdown_R,robustness_score,meets_frequency_goal,meets_quality_bar,frequency_bucket
NAS100_USD,flow_open_0930_fast_off,open_0930_1030,0.1517908723886384,0.6935783000649679,-0.1464715046954695,35.48,-19.573873333136337,1.2071,False,False,< 1 trade/week
NAS100_USD,flow_open_1000_fast_off,open_1000_1100,0.14567027269554814,0.4768314236844347,-0.2296148162298298,33.61,-29.71360057619844,1.1969,False,False,< 1 trade/week
NAS100_USD,flow_open_0935_fast_off,open_0935_1030,0.13587731318660373,0.7130416354893284,-0.1577728183490011,35.14,-20.65601378027869,1.1796,False,False,< 1 trade/week
US30_USD,flow_open_0930_fast_off,open_0930_1030,0.11751551410733294,0.7751326495430668,-0.147657375341256,41.67,-17.23666657477084,0.0,False,False,< 1 trade/week
US30_USD,flow_open_0935_fast_off,open_0935_1030,0.1162913941687149,0.8164331033129384,-0.1166603781568399,44.21,-14.883164459820344,0.0,False,False,< 1 trade/week
NAS100_USD,flow_open_0930_fast_on,open_0930_1030,0.10527431472115244,0.7677423995608863,-0.0995788798048095,38.37,-9.565620280318168,0.0,False,False,< 1 trade/week
US30_USD,flow_open_1000_fast_off,open_1000_1100,0.10527431472115244,0.4521648699797792,-0.2034922246110749,38.37,-18.65711153729813,0.0,False,False,< 1 trade/week
NAS100_USD,flow_open_0945_fast_off,open_0945_1030,0.10037783496668023,0.5375157427771234,-0.2314898807326945,31.71,-19.800315308181137,1.1047,False,False,< 1 trade/week
NAS100_USD,flow_open_0935_fast_on,open_0935_1030,0.08813663558049971,0.8129898699189375,-0.1140847210793683,37.5,-10.6266888414195,2.1452,False,False,< 1 trade/week
US30_USD,flow_open_0945_fast_off,open_0945_1030,0.08691251564188167,0.8401369968582442,-0.1030647587118992,45.07,-11.63361424827035,1.0692,False,False,< 1 trade/week
US30_USD,flow_open_0930_fast_on,open_0930_1030,0.0856883957032636,0.9156197128386698,-0.1357950648755204,41.43,-12.900440380510306,1.0657,False,False,< 1 trade/week
US30_USD,flow_open_0935_fast_on,open_0935_1030,0.08446427576464555,0.9872577185854712,-0.0929461222235601,44.93,-10.54693826555981,3.1864,False,False,< 1 trade/week
US30_USD,flow_open_0945_fast_on,open_0945_1030,0.05263715736057622,1.248029433135805,-0.0251207326918185,48.84,-7.005065540874945,1.8921,False,False,< 1 trade/week
NAS100_USD,flow_open_0945_fast_on,open_0945_1030,0.051413037421958165,0.5302975678748741,-0.2158354947971199,33.33,-8.542365298266319,0.0,False,False,< 1 trade/week
US30_USD,flow_open_0930_bal_off,open_0930_1030,0.03549947821992349,0.0192410168821586,-0.5794525814172947,3.45,-16.177542310996383,0.0,False,False,< 1 trade/week
NAS100_USD,flow_open_0935_bal_off,open_0935_1030,0.03182711840406934,0.2759173578313542,-0.2911539433905125,23.08,-9.420002528153333,0.0,False,False,< 1 trade/week
US30_USD,flow_open_0935_bal_off,open_0935_1030,0.03182711840406934,0.0218013998747139,-0.5696455878145221,3.85,-14.184202733072416,0.0,False,False,< 1 trade/week
NAS100_USD,flow_open_0930_bal_off,open_0930_1030,0.030602998465451288,0.2395911672132418,-0.297229196888061,20.0,-9.28072992220153,0.0,False,False,< 1 trade/week
US30_USD,flow_open_0930_bal_on,open_0930_1030,0.029378878526833234,0.0237437183693293,-0.5894893934184556,4.17,-13.521162891937774,0.0,False,False,< 1 trade/week
NAS100_USD,flow_open_0935_bal_on,open_0935_1030,0.025706518710979082,0.4167252091159811,-0.2097256353602699,28.57,-6.254238342565674,0.0,False,False,< 1 trade/week
US30_USD,flow_open_0935_bal_on,open_0935_1030,0.025706518710979082,0.0277679728986303,-0.5787812316247127,4.76,-11.527823314013803,0.0,False,False,< 1 trade/week
NAS100_USD,flow_open_0930_bal_on,open_0930_1030,0.024482398772361032,0.362930257382399,-0.2132482868306933,25.0,-6.114965736613874,0.0,False,False,< 1 trade/week
US30_USD,flow_open_0945_bal_off,open_0945_1030,0.023258278833742978,0.0313014378545048,-0.5581039134378812,5.26,-10.222120956455582,0.0,False,False,< 1 trade/week
NAS100_USD,flow_open_0945_bal_off,open_0945_1030,0.01713767914065272,0.1577952643119777,-0.4801409592825952,14.29,-8.171973429956338,0.0,False,False,< 1 trade/week
US30_USD,flow_open_0945_bal_on,open_0945_1030,0.01713767914065272,0.0452662551202887,-0.5676853525900808,7.14,-7.56574153739697,0.0,False,False,< 1 trade/week
NAS100_USD,flow_open_1000_bal_off,open_1000_1100,0.01591355920203467,0.9023822674842824,-0.1360080197745387,23.08,-5.055365235784307,1.3195,False,False,< 1 trade/week
NAS100_USD,flow_open_0945_bal_on,open_0945_1030,0.009792959508944413,0.3045712168048502,-0.3740359118411249,25.0,-4.442287294729006,0.5493,False,False,< 1 trade/week
US30_USD,flow_open_1000_bal_off,open_1000_1100,0.009792959508944413,0.0,-0.6738901179201758,0.0,-4.819746072578576,0.0,False,False,< 1 trade/week
NAS100_USD,flow_open_1000_bal_on,open_1000_1100,0.0,0.0,0.0,0.0,0.0,0.0,False,False,< 1 trade/week
NAS100_USD,flow_open_1000_fast_on,open_1000_1100,0.0,0.0,0.0,0.0,0.0,0.0,False,False,< 1 trade/week
US30_USD,flow_open_1000_bal_on,open_1000_1100,0.0,0.0,0.0,0.0,0.0,0.0,False,False,< 1 trade/week
US30_USD,flow_open_1000_fast_on,open_1000_1100,0.0,0.0,0.0,0.0,0.0,0.0,False,False,< 1 trade/week
