symbol,market_family,parameter_set_id,bar_timeframe,data_start,data_end,years_covered,num_signals,num_trades,trades_per_year,trades_per_month,approx_trades_per_day,win_rate_pct,profit_factor,avg_R_per_trade,gross_R,max_drawdown_R,positive_years,years_tested,robustness_score,killzone_only,vectorized_replay_aligned,meets_frequency_goal,meets_quality_bar
NAS100_USD,indices,idx_looser_ext_off,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,4,4,1.233912898126996,0.10282607484391633,0.0048964797544722065,75.0,3.777408637874033,0.800000000000006,3.200000000000024,0.0,1,4,0.4024,False,True,False,True
NAS100_USD,indices,idx_looser_ext_on,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,4,4,1.233912898126996,0.10282607484391633,0.0048964797544722065,75.0,3.777408637874033,0.800000000000006,3.200000000000024,0.0,1,4,0.4024,True,True,False,True
NAS100_USD,indices,idx_ps07_baseline_off,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,4,4,1.233912898126996,0.10282607484391633,0.0048964797544722065,75.0,3.777408637874033,0.800000000000006,3.200000000000024,0.0,1,4,0.4024,False,True,False,True
NAS100_USD,indices,idx_ps07_baseline_on,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,4,4,1.233912898126996,0.10282607484391633,0.0048964797544722065,75.0,3.777408637874033,0.800000000000006,3.200000000000024,0.0,1,4,0.4024,True,True,False,True
NAS100_USD,indices,idx_tighter_stop_off,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,4,4,1.233912898126996,0.10282607484391633,0.0048964797544722065,75.0,2.9454849498330056,0.5750000000000017,2.300000000000007,0.0,1,4,0.4024,False,True,False,True
NAS100_USD,indices,idx_tighter_stop_on,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,4,4,1.233912898126996,0.10282607484391633,0.0048964797544722065,75.0,2.9454849498330056,0.5750000000000017,2.300000000000007,0.0,1,4,0.4024,True,True,False,True
NAS100_USD,indices,idx_wider_stop_off,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,3,3,0.9254346735952469,0.07711955613293724,0.0036723598158541542,66.67,3.600000000000192,0.8666666666666586,2.5999999999999757,0.0,1,4,0.3466,False,True,False,False
NAS100_USD,indices,idx_wider_stop_on,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,3,3,0.9254346735952469,0.07711955613293724,0.0036723598158541542,66.67,3.600000000000192,0.8666666666666586,2.5999999999999757,0.0,1,4,0.3466,True,True,False,False
SPX500_USD,indices,idx_looser_ext_off,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,False,True,False,False
SPX500_USD,indices,idx_looser_ext_on,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,True,True,False,False
SPX500_USD,indices,idx_ps07_baseline_off,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,False,True,False,False
