symbol,market_family,parameter_set_id,opening_window_variant,bar_timeframe,data_start,data_end,years_covered,num_signals,num_trades,trades_per_year,trades_per_month,approx_trades_per_day,win_rate_pct,profit_factor,avg_R_per_trade,gross_R,max_drawdown_R,positive_years,years_tested,robustness_score,killzone_only,vectorized_replay_aligned,meets_frequency_goal,meets_quality_bar
NAS100_USD,indices,flow_open_0935_fast_on,open_0935_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,99,72,22.210432166285926,1.8508693471904938,0.08813663558049971,37.5,0.8129898699189375,-0.1140847210793683,-8.214099917714519,-10.6266888414195,2,4,2.1452,True,True,False,False
NAS100_USD,indices,flow_open_1000_bal_off,open_1000_1100,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,39,13,4.010216918912737,0.33418474324272807,0.01591355920203467,23.08,0.9023822674842824,-0.1360080197745387,-1.768104257069003,-5.055365235784307,2,4,1.3195,False,True,False,False
NAS100_USD,indices,flow_open_0930_fast_off,open_0930_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,290,124,38.25129984193688,3.1876083201614063,0.1517908723886384,35.48,0.6935783000649679,-0.1464715046954695,-18.162466582238217,-19.573873333136337,1,4,1.2071,False,True,False,False
NAS100_USD,indices,flow_open_1000_fast_off,open_1000_1100,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,331,119,36.70890871927813,3.0590757266065105,0.14567027269554814,33.61,0.4768314236844347,-0.2296148162298298,-27.324163131349746,-29.71360057619844,1,4,1.1969,False,True,False,False
NAS100_USD,indices,flow_open_0935_fast_off,open_0935_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,272,111,34.24108292302414,2.853423576918678,0.13587731318660373,35.14,0.7130416354893284,-0.1577728183490011,-17.51278283673912,-20.65601378027869,1,4,1.1796,False,True,False,False
NAS100_USD,indices,flow_open_0945_fast_off,open_0945_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,236,82,25.295214411603418,2.1079345343002847,0.10037783496668023,31.71,0.5375157427771234,-0.2314898807326945,-18.98217022008095,-19.800315308181137,1,4,1.1047,False,True,False,False
NAS100_USD,indices,flow_open_0945_bal_on,open_0945_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,18,8,2.467825796253992,0.20565214968783266,0.009792959508944413,25.0,0.3045712168048502,-0.3740359118411249,-2.992287294728999,-4.442287294729006,1,4,0.5493,True,True,False,False
NAS100_USD,indices,flow_open_0930_bal_off,open_0930_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,69,25,7.711955613293725,0.6426629677744771,0.030602998465451288,20.0,0.2395911672132418,-0.297229196888061,-7.430729922201524,-9.28072992220153,0,4,0.0,False,True,False,False
NAS100_USD,indices,flow_open_0930_bal_on,open_0930_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,38,20,6.16956449063498,0.5141303742195816,0.024482398772361032,25.0,0.362930257382399,-0.2132482868306933,-4.264965736613866,-6.114965736613874,0,4,0.0,True,True,False,False
NAS100_USD,indices,flow_open_0930_fast_on,open_0930_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,117,86,26.529127309730413,2.210760609144201,0.10527431472115244,38.37,0.7677423995608863,-0.0995788798048095,-8.563783663213618,-9.565620280318168,0,4,0.0,True,True,False,False
NAS100_USD,indices,flow_open_0935_bal_off,open_0935_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,65,26,8.020433837825474,0.6683694864854561,0.03182711840406934,23.08,0.2759173578313542,-0.2911539433905125,-7.570002528153324,-9.420002528153333,0,4,0.0,False,True,False,False
NAS100_USD,indices,flow_open_0935_bal_on,open_0935_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,34,21,6.478042715166729,0.5398368929305607,0.025706518710979082,28.57,0.4167252091159811,-0.2097256353602699,-4.404238342565668,-6.254238342565674,0,4,0.0,True,True,False,False
NAS100_USD,indices,flow_open_0945_bal_off,open_0945_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,49,14,4.318695143444486,0.35989126195370713,0.01713767914065272,14.29,0.1577952643119777,-0.4801409592825952,-6.721973429956333,-8.171973429956338,0,4,0.0,False,True,False,False
NAS100_USD,indices,flow_open_0945_fast_on,open_0945_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,63,42,12.956085430333458,1.0796737858611214,0.051413037421958165,33.33,0.5302975678748741,-0.2158354947971199,-9.065090781479036,-8.542365298266319,0,4,0.0,True,True,False,False
NAS100_USD,indices,flow_open_1000_bal_on,open_1000_1100,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,True,True,False,False
NAS100_USD,indices,flow_open_1000_fast_on,open_1000_1100,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,True,True,False,False
US30_USD,indices,flow_open_0935_fast_on,open_0935_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,94,69,21.284997492690678,1.7737497910575566,0.08446427576464555,44.93,0.9872577185854712,-0.0929461222235601,-6.413282433425646,-10.54693826555981,3,4,3.1864,True,True,False,False
US30_USD,indices,flow_open_0945_fast_on,open_0945_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,64,43,13.264563654865206,1.1053803045721005,0.05263715736057622,48.84,1.248029433135805,-0.0251207326918185,-1.0801915057481957,-7.005065540874945,2,4,1.8921,True,True,False,False
US30_USD,indices,flow_open_0945_fast_off,open_0945_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,213,71,21.90195394175418,1.825162828479515,0.08691251564188167,45.07,0.8401369968582442,-0.1030647587118992,-7.317597868544843,-11.63361424827035,1,4,1.0692,False,True,False,False
US30_USD,indices,flow_open_0930_fast_on,open_0930_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,99,70,21.59347571722243,1.7994563097685357,0.0856883957032636,41.43,0.9156197128386698,-0.1357950648755204,-9.505654541286429,-12.900440380510306,1,4,1.0657,True,True,False,False
US30_USD,indices,flow_open_0930_bal_off,open_0930_1030,M5,2023-01-02 23:00:00+00:00,2026-03-31 23:55:00+00:00,3.24,56,29,8.94586851142072,0.7454890426183933,0.03549947821992349,3.45,0.0192410168821586,-0.5794525814172947,-16.804124861101545,-16.177542310996383,0,4,0.0,False,True,False,False
