bars_checked,dataset,entry_price,equity_after,equity_before,executed,ladder_step_at_signal,mode,next_ladder_step,outcome,pnl,realized_r,risk_pct_at_signal,scenario,setup_id,side,signal_timestamp,skip_reason,stop_price,symbol,timeframe
1,operational_journal_root_only,1.15188,99930.0,100000.0,True,1,baseline,2,sl_hit,-70.0,-1.0,0.07,scenario2,cwt-eur_usd-5m-scenario2-short-202604032055,short,2026-04-03T20:55:00+00:00,,1.15221,EUR_USD,5m
10,operational_journal_root_only,214.544,100129.86,99930.0,True,2,baseline,1,tp_hit,199.86,1.0,0.2,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604131100,long,2026-04-13T11:00:00+00:00,,214.213375,GBP_JPY,15m
6,operational_journal_root_only,159.709,100199.95,100129.86,True,1,baseline,1,tp_hit,70.09,1.0,0.07,scenario2,cwt-usd_jpy-5m-scenario2-long-202604131125,long,2026-04-13T11:25:00+00:00,,159.566768,USD_JPY,5m
3,operational_journal_root_only,6780.4,100270.09,100199.95,True,1,baseline,1,tp_hit,70.14,1.0,0.07,scenario2,cwt-spx500_usd-5m-scenario2-short-202604131135,short,2026-04-13T11:35:00+00:00,,6787.589286,SPX500_USD,5m
2,operational_journal_root_only,24973.6,100340.28,100270.09,True,1,baseline,1,tp_hit,70.19,1.0,0.07,scenario2,cwt-nas100_usd-5m-scenario2-short-202604131140,short,2026-04-13T11:40:00+00:00,,24989.259643,NAS100_USD,5m
1,operational_journal_root_only,1.1687,100410.52,100340.28,True,1,baseline,1,tp_hit,70.24,1.0,0.07,scenario2,cwt-eur_usd-5m-scenario2-short-202604131155,short,2026-04-13T11:55:00+00:00,,1.169296,EUR_USD,5m
21,operational_journal_root_only,214.843,100480.81,100410.52,True,1,baseline,1,tp_hit,70.29,1.0,0.07,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604131430,long,2026-04-13T14:30:00+00:00,,214.420825,GBP_JPY,15m
1,operational_journal_root_only,159.672,100551.14,100480.81,True,1,baseline,1,tp_hit,70.34,1.0,0.07,scenario2,cwt-usd_jpy-5m-scenario2-long-202604131515,long,2026-04-13T15:15:00+00:00,,159.644096,USD_JPY,5m
69,operational_journal_root_only,215.212,100621.53,100551.14,True,1,baseline,1,tp_hit,70.39,1.0,0.07,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604131900,long,2026-04-13T19:00:00+00:00,,214.758921,GBP_JPY,15m
6,operational_journal_root_only,25317.0,100691.96,100621.53,True,1,baseline,1,tp_hit,70.44,1.0,0.07,scenario1,cwt-nas100_usd-5m-scenario1-long-202604131920,long,2026-04-13T19:20:00+00:00,,25264.006939,NAS100_USD,5m
17,operational_journal_root_only,0.70996,100621.48,100691.96,True,1,baseline,2,sl_hit,-70.48,-1.0,0.07,scenario1,cwt-aud_usd-5m-scenario1-long-202604132235,long,2026-04-13T22:35:00+00:00,,0.709553,AUD_USD,5m
14,operational_journal_root_only,0.71009,100420.24,100621.48,True,2,baseline,3,sl_hit,-201.24,-1.0,0.2,scenario1,cwt-aud_usd-5m-scenario1-long-202604132250,long,2026-04-13T22:50:00+00:00,,0.709594,AUD_USD,5m
11,operational_journal_root_only,0.71016,99968.34,100420.24,True,3,baseline,4,sl_hit,-451.89,-1.0,0.45,scenario1,cwt-aud_usd-5m-scenario1-long-202604132305,long,2026-04-13T23:05:00+00:00,,0.709629,AUD_USD,5m
39,operational_journal_root_only,1.17636,98968.66,99968.34,True,4,baseline,4,sl_hit,-999.68,-1.0,1.0,scenario1,cwt-eur_usd-5m-scenario1-long-202604132305,long,2026-04-13T23:05:00+00:00,,1.175851,EUR_USD,5m
11,operational_journal_root_only,0.58713,97978.97,98968.66,True,4,baseline,4,sl_hit,-989.69,-1.0,1.0,scenario1,cwt-nzd_usd-5m-scenario1-long-202604132305,long,2026-04-13T23:05:00+00:00,,0.586788,NZD_USD,5m
10,operational_journal_root_only,0.7102,96999.18,97978.97,True,4,baseline,4,sl_hit,-979.79,-1.0,1.0,scenario1,cwt-aud_usd-5m-scenario1-long-202604132310,long,2026-04-13T23:10:00+00:00,,0.70964,AUD_USD,5m
38,operational_journal_root_only,1.17642,96029.19,96999.18,True,4,baseline,4,sl_hit,-969.99,-1.0,1.0,scenario1,cwt-eur_usd-5m-scenario1-long-202604132310,long,2026-04-13T23:10:00+00:00,,1.175869,EUR_USD,5m
10,operational_journal_root_only,0.5872,95068.9,96029.19,True,4,baseline,4,sl_hit,-960.29,-1.0,1.0,scenario1,cwt-nzd_usd-5m-scenario1-long-202604132310,long,2026-04-13T23:10:00+00:00,,0.586796,NZD_USD,5m
35,operational_journal_root_only,1.17652,94118.21,95068.9,True,4,baseline,4,sl_hit,-950.69,-1.0,1.0,scenario1,cwt-eur_usd-5m-scenario1-long-202604132325,long,2026-04-13T23:25:00+00:00,,1.175899,EUR_USD,5m
6,operational_journal_root_only,0.5873,93177.03,94118.21,True,4,baseline,4,sl_hit,-941.18,-1.0,1.0,scenario1,cwt-nzd_usd-5m-scenario1-long-202604132330,long,2026-04-13T23:30:00+00:00,,0.586803,NZD_USD,5m
17,operational_journal_root_only,1.17952,94108.8,93177.03,True,4,baseline,1,tp_hit,931.77,1.0,1.0,scenario2,cwt-eur_usd-5m-scenario2-long-202604142205,long,2026-04-14T22:05:00+00:00,,1.179041,EUR_USD,5m
35,operational_journal_root_only,158.78,94042.92,94108.8,True,1,baseline,2,sl_hit,-65.88,-1.0,0.07,scenario2,cwt-usd_jpy-5m-scenario2-short-202604142205,short,2026-04-14T22:05:00+00:00,,158.913171,USD_JPY,5m
82,operational_journal_root_only,25873.2,94231.01,94042.92,True,2,baseline,1,tp_hit,188.09,1.0,0.2,scenario1,cwt-nas100_usd-5m-scenario1-long-202604142210,long,2026-04-14T22:10:00+00:00,,25831.288683,NAS100_USD,5m
82,operational_journal_root_only,6976.2,94296.97,94231.01,True,1,baseline,1,tp_hit,65.96,1.0,0.07,scenario1,cwt-spx500_usd-5m-scenario1-long-202604142210,long,2026-04-14T22:10:00+00:00,,6969.457056,SPX500_USD,5m
10,operational_journal_root_only,0.7128,94362.98,94296.97,True,1,baseline,1,tp_hit,66.01,1.0,0.07,scenario1,cwt-aud_usd-5m-scenario1-long-202604142240,long,2026-04-14T22:40:00+00:00,,0.712449,AUD_USD,5m
3,operational_journal_root_only,215.478,94429.03,94362.98,True,1,baseline,1,tp_hit,66.05,1.0,0.07,scenario2,cwt-gbp_jpy-15m-scenario2-long-202604142245,long,2026-04-14T22:45:00+00:00,,215.338518,GBP_JPY,15m
1,operational_journal_root_only,1.1797,94495.13,94429.03,True,1,baseline,1,tp_hit,66.1,1.0,0.07,scenario1,cwt-eur_usd-5m-scenario1-long-202604142325,long,2026-04-14T23:25:00+00:00,,1.179417,EUR_USD,5m
69,operational_journal_root_only,25893.9,94428.99,94495.13,True,1,baseline,2,sl_hit,-66.15,-1.0,0.07,scenario1,cwt-nas100_usd-5m-scenario1-long-202604142335,long,2026-04-14T23:35:00+00:00,,25855.627154,NAS100_USD,5m
36,operational_journal_root_only,6980.6,94240.13,94428.99,True,2,baseline,3,sl_hit,-188.86,-1.0,0.2,scenario1,cwt-spx500_usd-5m-scenario1-long-202604142335,long,2026-04-14T23:35:00+00:00,,6973.801613,SPX500_USD,5m
17,operational_journal_root_only,158.78,93816.05,94240.13,True,3,baseline,4,sl_hit,-424.08,-1.0,0.45,scenario2,cwt-usd_jpy-5m-scenario2-short-202604142335,short,2026-04-14T23:35:00+00:00,,158.913264,USD_JPY,5m
33,operational_journal_root_only,25897.1,92877.89,93816.05,True,4,baseline,4,sl_hit,-938.16,-1.0,1.0,scenario1,cwt-nas100_usd-5m-scenario1-long-202604142350,long,2026-04-14T23:50:00+00:00,,25857.364855,NAS100_USD,5m
32,operational_journal_root_only,6981.8,91949.11,92877.89,True,4,baseline,4,sl_hit,-928.78,-1.0,1.0,scenario1,cwt-spx500_usd-5m-scenario1-long-202604142350,long,2026-04-14T23:50:00+00:00,,6974.04935,SPX500_USD,5m
15,operational_journal_root_only,25899.3,91029.62,91949.11,True,4,baseline,4,sl_hit,-919.49,-1.0,1.0,scenario1,cwt-nas100_usd-5m-scenario1-long-202604150115,long,2026-04-15T01:15:00+00:00,,25874.939015,NAS100_USD,5m
14,operational_journal_root_only,25904.4,90119.32,91029.62,True,4,baseline,4,sl_hit,-910.3,-1.0,1.0,scenario1,cwt-nas100_usd-5m-scenario1-long-202604150120,long,2026-04-15T01:20:00+00:00,,25874.995601,NAS100_USD,5m
9,operational_journal_root_only,25899.2,89218.13,90119.32,True,4,baseline,4,sl_hit,-901.19,-1.0,1.0,scenario1,cwt-nas100_usd-5m-scenario1-long-202604150145,long,2026-04-15T01:45:00+00:00,,25874.96258,NAS100_USD,5m
38,operational_journal_root_only,0.71266,90110.31,89218.13,True,4,baseline,1,tp_hit,892.18,1.0,1.0,scenario2,cwt-aud_usd-5m-scenario2-long-202604150150,long,2026-04-15T01:50:00+00:00,,0.711849,AUD_USD,5m
8,operational_journal_root_only,25903.2,90047.23,90110.31,True,1,baseline,2,sl_hit,-63.08,-1.0,0.07,scenario1,cwt-nas100_usd-5m-scenario1-long-202604150150,long,2026-04-15T01:50:00+00:00,,25876.059085,NAS100_USD,5m
18,operational_journal_root_only,0.71314,90227.33,90047.23,True,2,baseline,1,tp_hit,180.09,1.0,0.2,scenario1,cwt-aud_usd-5m-scenario1-long-202604150330,long,2026-04-15T03:30:00+00:00,,0.712633,AUD_USD,5m
15,operational_journal_root_only,6977.0,90290.49,90227.33,True,1,baseline,1,tp_hit,63.16,1.0,0.07,scenario2,cwt-spx500_usd-5m-scenario2-long-202604150345,long,2026-04-15T03:45:00+00:00,,6972.934286,SPX500_USD,5m
5,operational_journal_root_only,215.686,90227.28,90290.49,True,1,baseline,2,sl_hit,-63.2,-1.0,0.07,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604150445,long,2026-04-15T04:45:00+00:00,,215.565239,GBP_JPY,15m
4,operational_journal_root_only,215.706,90046.83,90227.28,True,2,baseline,3,sl_hit,-180.45,-1.0,0.2,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604150500,long,2026-04-15T05:00:00+00:00,,215.574736,GBP_JPY,15m
2,operational_journal_root_only,0.71351,90452.04,90046.83,True,3,baseline,1,tp_hit,405.21,1.0,0.45,scenario1,cwt-aud_usd-5m-scenario1-long-202604150505,long,2026-04-15T05:05:00+00:00,,0.712982,AUD_USD,5m
3,operational_journal_root_only,215.747,90388.72,90452.04,True,1,baseline,2,sl_hit,-63.32,-1.0,0.07,scenario1,cwt-gbp_jpy-15m-scenario1-long-202604150515,long,2026-04-15T05:15:00+00:00,,215.579247,GBP_JPY,15m
20,operational_journal_root_only,0.5906,90207.95,90388.72,True,2,baseline,3,sl_hit,-180.78,-1.0,0.2,scenario1,cwt-nzd_usd-5m-scenario1-long-202604150515,long,2026-04-15T05:15:00+00:00,,0.589989,NZD_USD,5m
14,operational_journal_root_only,0.5909,89802.01,90207.95,True,3,baseline,4,sl_hit,-405.94,-1.0,0.45,scenario1,cwt-nzd_usd-5m-scenario1-long-202604150520,long,2026-04-15T05:20:00+00:00,,0.58999,NZD_USD,5m
1,operational_journal_root_only,10618.4,88903.99,89802.01,True,4,baseline,4,sl_hit,-898.02,-1.0,1.0,scenario2,cwt-uk100_gbp-5m-scenario2-long-202604150620,long,2026-04-15T06:20:00+00:00,,10617.347857,UK100_GBP,5m
4,operational_journal_root_only,6975.8,88014.95,88903.99,True,4,baseline,4,sl_hit,-889.04,-1.0,1.0,scenario2,cwt-spx500_usd-5m-scenario2-long-202604150640,long,2026-04-15T06:40:00+00:00,,6972.904286,SPX500_USD,5m
91,operational_journal_root_only,25862.0,88895.1,88014.95,True,4,baseline,1,tp_hit,880.15,1.0,1.0,scenario2,cwt-nas100_usd-5m-scenario2-long-202604150645,long,2026-04-15T06:45:00+00:00,,25749.997143,NAS100_USD,5m
40,operational_journal_root_only,0.59061,88832.87,88895.1,True,1,baseline,2,sl_hit,-62.23,-1.0,0.07,scenario2,cwt-nzd_usd-5m-scenario2-long-202604150705,long,2026-04-15T07:05:00+00:00,,0.589268,NZD_USD,5m
11,operational_journal_root_only,10635.2,88655.21,88832.87,True,2,baseline,3,sl_hit,-177.67,-1.0,0.2,scenario1,cwt-uk100_gbp-5m-scenario1-long-202604150705,long,2026-04-15T07:05:00+00:00,,10614.340971,UK100_GBP,5m
10,operational_journal_root_only,10640.9,88256.26,88655.21,True,3,baseline,4,sl_hit,-398.95,-1.0,0.45,scenario1,cwt-uk100_gbp-5m-scenario1-long-202604150710,long,2026-04-15T07:10:00+00:00,,10614.622106,UK100_GBP,5m
1,operational_journal_root_only,0.7142,89138.82,88256.26,True,4,baseline,1,tp_hit,882.56,1.0,1.0,scenario1,cwt-aud_usd-5m-scenario1-long-202604150725,long,2026-04-15T07:25:00+00:00,,0.713743,AUD_USD,5m
16,operational_journal_root_only,6975.8,89076.42,89138.82,True,1,baseline,2,sl_hit,-62.4,-1.0,0.07,scenario2,cwt-spx500_usd-5m-scenario2-long-202604150750,long,2026-04-15T07:50:00+00:00,,6969.693571,SPX500_USD,5m
13,operational_journal_root_only,6975.2,88898.27,89076.42,True,2,baseline,3,sl_hit,-178.15,-1.0,0.2,scenario2,cwt-spx500_usd-5m-scenario2-long-202604150805,long,2026-04-15T08:05:00+00:00,,6969.681429,SPX500_USD,5m
33,operational_journal_root_only,10624.9,89298.31,88898.27,True,3,baseline,1,tp_hit,400.04,1.0,0.45,scenario2,cwt-uk100_gbp-5m-scenario2-long-202604150900,long,2026-04-15T09:00:00+00:00,,10603.0625,UK100_GBP,5m
5,operational_journal_root_only,0.71437,89235.8,89298.31,True,1,baseline,2,sl_hit,-62.51,-1.0,0.07,scenario2,cwt-aud_usd-5m-scenario2-long-202604151000,long,2026-04-15T10:00:00+00:00,,0.713602,AUD_USD,5m
8,operational_journal_root_only,6973.2,89414.28,89235.8,True,2,baseline,1,tp_hit,178.47,1.0,0.2,scenario2,cwt-spx500_usd-5m-scenario2-long-202604151105,long,2026-04-15T11:05:00+00:00,,6969.219286,SPX500_USD,5m
1,operational_journal_root_only,10633.4,89476.87,89414.28,True,1,baseline,1,tp_hit,62.59,1.0,0.07,scenario1,cwt-uk100_gbp-5m-scenario1-long-202604151140,long,2026-04-15T11:40:00+00:00,,10621.303633,UK100_GBP,5m
28,operational_journal_root_only,0.71407,89539.5,89476.87,True,1,baseline,1,tp_hit,62.63,1.0,0.07,scenario2,cwt-aud_usd-5m-scenario2-long-202604151155,long,2026-04-15T11:55:00+00:00,,0.712942,AUD_USD,5m
2,operational_journal_root_only,25888.0,89476.82,89539.5,True,1,baseline,2,sl_hit,-62.68,-1.0,0.07,scenario1,cwt-nas100_usd-5m-scenario1-long-202604151330,long,2026-04-15T13:30:00+00:00,,25850.590941,NAS100_USD,5m
1,operational_journal_root_only,6983.2,89655.78,89476.82,True,2,baseline,1,tp_hit,178.95,1.0,0.2,scenario1,cwt-spx500_usd-5m-scenario1-long-202604151330,long,2026-04-15T13:30:00+00:00,,6974.920992,SPX500_USD,5m
367,operational_journal_root_only,26308.6,89718.53,89655.78,True,1,baseline,1,tp_hit,62.76,1.0,0.07,scenario2,cwt-nas100_usd-5m-scenario2-long-202604160530,long,2026-04-16T05:30:00+00:00,,25968.402143,NAS100_USD,5m
1,operational_journal_root_only,7042.0,89781.34,89718.53,True,1,baseline,1,tp_hit,62.8,1.0,0.07,scenario2,cwt-spx500_usd-5m-scenario2-long-202604160530,long,2026-04-16T05:30:00+00:00,,7040.534286,SPX500_USD,5m
15,operational_journal_root_only,10568.0,89718.49,89781.34,True,1,baseline,2,sl_hit,-62.85,-1.0,0.07,scenario2,cwt-uk100_gbp-5m-scenario2-short-202604160545,short,2026-04-16T05:45:00+00:00,,10578.454286,UK100_GBP,5m
108,operational_journal_root_only,0.71896,89539.05,89718.49,True,2,baseline,3,sl_hit,-179.44,-1.0,0.2,scenario2,cwt-aud_usd-5m-scenario2-long-202604160555,long,2026-04-16T05:55:00+00:00,,0.716287,AUD_USD,5m
10,operational_journal_root_only,10568.0,89136.13,89539.05,True,3,baseline,4,sl_hit,-402.93,-1.0,0.45,scenario2,cwt-uk100_gbp-5m-scenario2-short-202604160610,short,2026-04-16T06:10:00+00:00,,10578.487143,UK100_GBP,5m
12,operational_journal_root_only,7047.0,88244.77,89136.13,True,4,baseline,4,sl_hit,-891.36,-1.0,1.0,scenario1,cwt-spx500_usd-5m-scenario1-long-202604160650,long,2026-04-16T06:50:00+00:00,,7041.664393,SPX500_USD,5m
119,operational_journal_root_only,215.442,89127.21,88244.77,True,4,baseline,1,tp_hit,882.45,1.0,1.0,scenario2,cwt-gbp_jpy-15m-scenario2-short-202604160745,short,2026-04-16T07:45:00+00:00,,215.915871,GBP_JPY,15m
