trade_number,timestamp,setup_id,symbol,asset_class,timeframe,side,scenario,outcome,realized_r,ladder_step_at_entry,risk_pct_at_entry,risk_dollars_at_entry,equity_before,pnl_dollars,equity_after,next_ladder_step,next_risk_pct
1,2026-04-05T21:00:00+00:00,cwt-usd_jpy-5m-scenario2-long-202604052100,USD_JPY,forex,5m,long,scenario2,sl_hit,-1.0,1,0.07,70.0,100000.0,-70.0,99930.0,2,0.2
2,2026-04-05T21:40:00+00:00,cwt-usd_jpy-5m-scenario2-long-202604052140,USD_JPY,forex,5m,long,scenario2,sl_hit,-1.0,2,0.2,199.86,99930.0,-199.86,99730.14,3,0.45
3,2026-04-05T22:05:00+00:00,cwt-eur_usd-5m-scenario2-short-202604052205,EUR_USD,forex,5m,short,scenario2,sl_hit,-1.0,1,0.07,69.81,99730.14,-69.81,99660.33,2,0.2
4,2026-04-05T22:05:00+00:00,cwt-nzd_usd-5m-scenario2-short-202604052205,NZD_USD,forex,5m,short,scenario2,sl_hit,-1.0,1,0.07,69.76,99660.33,-69.76,99590.57,2,0.2
5,2026-04-05T23:30:00+00:00,cwt-eur_usd-5m-scenario1-short-202604052330,EUR_USD,forex,5m,short,scenario1,sl_hit,-1.0,2,0.2,199.18,99590.57,-199.18,99391.39,3,0.45
6,2026-04-05T23:40:00+00:00,cwt-aud_usd-5m-scenario2-short-202604052340,AUD_USD,forex,5m,short,scenario2,sl_hit,-1.0,1,0.07,69.57,99391.39,-69.57,99321.81,2,0.2
7,2026-04-05T23:45:00+00:00,cwt-eur_usd-5m-scenario1-short-202604052345,EUR_USD,forex,5m,short,scenario1,sl_hit,-1.0,3,0.45,446.95,99321.81,-446.95,98874.86,4,1.0
8,2026-04-06T00:05:00+00:00,cwt-spx500_usd-5m-scenario2-long-202604060005,SPX500_USD,index,5m,long,scenario2,tp_hit,1.0,1,0.07,69.21,98874.86,69.21,98944.08,1,0.07
9,2026-04-06T00:45:00+00:00,cwt-nas100_usd-5m-scenario1-long-202604060045,NAS100_USD,index,5m,long,scenario1,tp_hit,1.0,1,0.07,69.26,98944.08,69.26,99013.34,1,0.07
10,2026-04-06T01:35:00+00:00,cwt-eur_usd-5m-scenario1-short-202604060135,EUR_USD,forex,5m,short,scenario1,sl_hit,-1.0,4,1.0,990.13,99013.34,-990.13,98023.2,4,1.0
11,2026-04-06T01:55:00+00:00,cwt-eur_usd-5m-scenario1-short-202604060155,EUR_USD,forex,5m,short,scenario1,sl_hit,-1.0,4,1.0,980.23,98023.2,-980.23,97042.97,4,1.0
12,2026-04-06T01:55:00+00:00,cwt-nzd_usd-5m-scenario2-short-202604060155,NZD_USD,forex,5m,short,scenario2,sl_hit,-1.0,2,0.2,194.09,97042.97,-194.09,96848.89,3,0.45
13,2026-04-06T02:00:00+00:00,cwt-eur_usd-5m-scenario1-short-202604060200,EUR_USD,forex,5m,short,scenario1,sl_hit,-1.0,4,1.0,968.49,96848.89,-968.49,95880.4,4,1.0
14,2026-04-06T04:05:00+00:00,cwt-nas100_usd-5m-scenario2-long-202604060405,NAS100_USD,index,5m,long,scenario2,sl_hit,-1.0,1,0.07,67.12,95880.4,-67.12,95813.28,2,0.2
15,2026-04-06T04:40:00+00:00,cwt-nas100_usd-5m-scenario1-long-202604060440,NAS100_USD,index,5m,long,scenario1,tp_hit,1.0,2,0.2,191.63,95813.28,191.63,96004.91,1,0.07
16,2026-04-06T05:10:00+00:00,cwt-nas100_usd-5m-scenario1-long-202604060510,NAS100_USD,index,5m,long,scenario1,sl_hit,-1.0,1,0.07,67.2,96004.91,-67.2,95937.7,2,0.2
17,2026-04-06T08:25:00+00:00,cwt-nas100_usd-5m-scenario1-long-202604060825,NAS100_USD,index,5m,long,scenario1,tp_hit,1.0,2,0.2,191.88,95937.7,191.88,96129.58,1,0.07
18,2026-04-06T08:30:00+00:00,cwt-nas100_usd-5m-scenario1-long-202604060830,NAS100_USD,index,5m,long,scenario1,sl_hit,-1.0,1,0.07,67.29,96129.58,-67.29,96062.29,2,0.2
19,2026-04-06T08:35:00+00:00,cwt-nas100_usd-5m-scenario1-long-202604060835,NAS100_USD,index,5m,long,scenario1,sl_hit,-1.0,2,0.2,192.12,96062.29,-192.12,95870.16,3,0.45
20,2026-04-06T08:40:00+00:00,cwt-nas100_usd-5m-scenario1-long-202604060840,NAS100_USD,index,5m,long,scenario1,sl_hit,-1.0,3,0.45,431.42,95870.16,-431.42,95438.75,4,1.0
21,2026-04-06T09:05:00+00:00,cwt-nas100_usd-5m-scenario1-long-202604060905,NAS100_USD,index,5m,long,scenario1,sl_hit,-1.0,4,1.0,954.39,95438.75,-954.39,94484.36,4,1.0
22,2026-04-06T09:05:00+00:00,cwt-spx500_usd-5m-scenario1-long-202604060905,SPX500_USD,index,5m,long,scenario1,sl_hit,-1.0,1,0.07,66.14,94484.36,-66.14,94418.22,2,0.2
23,2026-04-06T11:50:00+00:00,cwt-aud_usd-5m-scenario2-long-202604061150,AUD_USD,forex,5m,long,scenario2,sl_hit,-1.0,2,0.2,188.84,94418.22,-188.84,94229.38,3,0.45
24,2026-04-06T12:10:00+00:00,cwt-aud_usd-5m-scenario2-long-202604061210,AUD_USD,forex,5m,long,scenario2,sl_hit,-1.0,3,0.45,424.03,94229.38,-424.03,93805.35,4,1.0
25,2026-04-06T12:35:00+00:00,cwt-nas100_usd-5m-scenario2-long-202604061235,NAS100_USD,index,5m,long,scenario2,tp_hit,1.0,4,1.0,938.05,93805.35,938.05,94743.41,1,0.07
26,2026-04-06T12:55:00+00:00,cwt-spx500_usd-5m-scenario2-long-202604061255,SPX500_USD,index,5m,long,scenario2,tp_hit,1.0,2,0.2,189.49,94743.41,189.49,94932.89,1,0.07
27,2026-04-06T13:15:00+00:00,cwt-eur_usd-5m-scenario1-long-202604061315,EUR_USD,forex,5m,long,scenario1,tp_hit,1.0,4,1.0,949.33,94932.89,949.33,95882.22,1,0.07
28,2026-04-06T13:30:00+00:00,cwt-eur_usd-5m-scenario1-long-202604061330,EUR_USD,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,67.12,95882.22,67.12,95949.34,1,0.07
29,2026-04-06T13:35:00+00:00,cwt-eur_usd-5m-scenario1-long-202604061335,EUR_USD,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,67.16,95949.34,67.16,96016.5,1,0.07
30,2026-04-06T13:35:00+00:00,cwt-nas100_usd-5m-scenario2-long-202604061335,NAS100_USD,index,5m,long,scenario2,sl_hit,-1.0,1,0.07,67.21,96016.5,-67.21,95949.29,2,0.2
31,2026-04-06T13:35:00+00:00,cwt-nzd_usd-5m-scenario1-long-202604061335,NZD_USD,forex,5m,long,scenario1,sl_hit,-1.0,3,0.45,431.77,95949.29,-431.77,95517.52,4,1.0
32,2026-04-06T13:35:00+00:00,cwt-spx500_usd-5m-scenario2-long-202604061335,SPX500_USD,index,5m,long,scenario2,sl_hit,-1.0,1,0.07,66.86,95517.52,-66.86,95450.66,2,0.2
33,2026-04-06T13:45:00+00:00,cwt-nas100_usd-5m-scenario2-long-202604061345,NAS100_USD,index,5m,long,scenario2,sl_hit,-1.0,2,0.2,190.9,95450.66,-190.9,95259.76,3,0.45
34,2026-04-06T13:45:00+00:00,cwt-spx500_usd-5m-scenario2-long-202604061345,SPX500_USD,index,5m,long,scenario2,tp_hit,1.0,2,0.2,190.52,95259.76,190.52,95450.28,1,0.07
35,2026-04-06T13:55:00+00:00,cwt-eur_usd-5m-scenario1-long-202604061355,EUR_USD,forex,5m,long,scenario1,tp_hit,1.0,1,0.07,66.82,95450.28,66.82,95517.09,1,0.07
36,2026-04-06T14:00:00+00:00,cwt-gbp_jpy-15m-scenario1-long-202604061400,GBP_JPY,forex_cross,15m,long,scenario1,tp_hit,1.0,1,0.07,66.86,95517.09,66.86,95583.95,1,0.07
37,2026-04-06T14:20:00+00:00,cwt-spx500_usd-5m-scenario1-long-202604061420,SPX500_USD,index,5m,long,scenario1,sl_hit,-1.0,1,0.07,66.91,95583.95,-66.91,95517.04,2,0.2
38,2026-04-06T14:35:00+00:00,cwt-eur_usd-5m-scenario1-long-202604061435,EUR_USD,forex,5m,long,scenario1,sl_hit,-1.0,1,0.07,66.86,95517.04,-66.86,95450.18,2,0.2
39,2026-04-06T15:50:00+00:00,cwt-nas100_usd-5m-scenario2-long-202604061550,NAS100_USD,index,5m,long,scenario2,sl_hit,-1.0,3,0.45,429.53,95450.18,-429.53,95020.66,4,1.0
40,2026-04-06T16:35:00+00:00,cwt-nas100_usd-5m-scenario1-long-202604061635,NAS100_USD,index,5m,long,scenario1,sl_hit,-1.0,4,1.0,950.21,95020.66,-950.21,94070.45,4,1.0
41,2026-04-06T16:40:00+00:00,cwt-nas100_usd-5m-scenario1-long-202604061640,NAS100_USD,index,5m,long,scenario1,sl_hit,-1.0,4,1.0,940.7,94070.45,-940.7,93129.75,4,1.0
42,2026-04-06T16:40:00+00:00,cwt-spx500_usd-5m-scenario1-long-202604061640,SPX500_USD,index,5m,long,scenario1,sl_hit,-1.0,2,0.2,186.26,93129.75,-186.26,92943.49,3,0.45
43,2026-04-06T16:50:00+00:00,cwt-nas100_usd-5m-scenario1-long-202604061650,NAS100_USD,index,5m,long,scenario1,sl_hit,-1.0,4,1.0,929.43,92943.49,-929.43,92014.05,4,1.0
44,2026-04-06T16:50:00+00:00,cwt-spx500_usd-5m-scenario1-long-202604061650,SPX500_USD,index,5m,long,scenario1,sl_hit,-1.0,3,0.45,414.06,92014.05,-414.06,91599.99,4,1.0
45,2026-04-06T18:15:00+00:00,cwt-nas100_usd-5m-scenario2-long-202604061815,NAS100_USD,index,5m,long,scenario2,sl_hit,-1.0,4,1.0,916.0,91599.99,-916.0,90683.99,4,1.0
46,2026-04-06T18:15:00+00:00,cwt-spx500_usd-5m-scenario2-long-202604061815,SPX500_USD,index,5m,long,scenario2,tp_hit,1.0,4,1.0,906.84,90683.99,906.84,91590.83,1,0.07
