setup_id,symbol,asset_class,timeframe,signal_type,timestamp,setup_bar_time,scenario,entry,stop_loss,target_1,status,outcome,outcome_timestamp,exit_price,bars_checked,realized_r
cwt-usd_jpy-5m-scenario2-long-202604052100,USD_JPY,forex,5m,long,2026-04-05T21:00:00+00:00,2026-04-03T20:55:00+00:00,scenario2,159.641,159.626993,159.655007,closed,sl_hit,2026-04-05T21:10:00+00:00,159.626993,1,-1.0
cwt-usd_jpy-5m-scenario2-long-202604052140,USD_JPY,forex,5m,long,2026-04-05T21:40:00+00:00,2026-04-05T21:35:00+00:00,scenario2,159.716,159.501139,159.930861,closed,sl_hit,2026-04-05T22:00:00+00:00,159.501139,4,-1.0
cwt-eur_usd-5m-scenario2-short-202604052205,EUR_USD,forex,5m,short,2026-04-05T22:05:00+00:00,2026-04-05T22:00:00+00:00,scenario2,1.15108,1.15493,1.14723,closed,sl_hit,2026-04-06T07:40:00+00:00,1.15493,115,-1.0
cwt-nzd_usd-5m-scenario2-short-202604052205,NZD_USD,forex,5m,short,2026-04-05T22:05:00+00:00,2026-04-05T22:00:00+00:00,scenario2,0.56866,0.570559,0.566761,closed,sl_hit,2026-04-06T02:20:00+00:00,0.570559,51,-1.0
cwt-eur_usd-5m-scenario1-short-202604052330,EUR_USD,forex,5m,short,2026-04-05T23:30:00+00:00,2026-04-05T23:25:00+00:00,scenario1,1.15094,1.151571,1.150309,closed,sl_hit,2026-04-06T00:05:00+00:00,1.151571,7,-1.0
cwt-aud_usd-5m-scenario2-short-202604052340,AUD_USD,forex,5m,short,2026-04-05T23:40:00+00:00,2026-04-05T23:35:00+00:00,scenario2,0.68853,0.690145,0.686915,closed,sl_hit,2026-04-06T02:05:00+00:00,0.690145,29,-1.0
cwt-eur_usd-5m-scenario1-short-202604052345,EUR_USD,forex,5m,short,2026-04-05T23:45:00+00:00,2026-04-05T23:40:00+00:00,scenario1,1.15094,1.151546,1.150334,closed,sl_hit,2026-04-06T00:05:00+00:00,1.151546,4,-1.0
cwt-spx500_usd-5m-scenario2-long-202604060005,SPX500_USD,index,5m,long,2026-04-06T00:05:00+00:00,2026-04-06T00:00:00+00:00,scenario2,6567.0,6532.373571,6601.626429,closed,tp_hit,2026-04-06T07:50:00+00:00,6601.626429,93,1.0
cwt-nas100_usd-5m-scenario1-long-202604060045,NAS100_USD,index,5m,long,2026-04-06T00:45:00+00:00,2026-04-06T00:40:00+00:00,scenario1,24046.9,23929.924342,24163.875658,closed,tp_hit,2026-04-06T02:20:00+00:00,24163.875658,19,1.0
cwt-eur_usd-5m-scenario1-short-202604060135,EUR_USD,forex,5m,short,2026-04-06T01:35:00+00:00,2026-04-06T01:30:00+00:00,scenario1,1.15084,1.151411,1.150269,closed,sl_hit,2026-04-06T02:05:00+00:00,1.151411,6,-1.0
cwt-eur_usd-5m-scenario1-short-202604060155,EUR_USD,forex,5m,short,2026-04-06T01:55:00+00:00,2026-04-06T01:50:00+00:00,scenario1,1.15078,1.151319,1.150241,closed,sl_hit,2026-04-06T02:00:00+00:00,1.151319,1,-1.0
cwt-nzd_usd-5m-scenario2-short-202604060155,NZD_USD,forex,5m,short,2026-04-06T01:55:00+00:00,2026-04-06T01:50:00+00:00,scenario2,0.56898,0.570559,0.567401,closed,sl_hit,2026-04-06T02:20:00+00:00,0.570559,5,-1.0
cwt-eur_usd-5m-scenario1-short-202604060200,EUR_USD,forex,5m,short,2026-04-06T02:00:00+00:00,2026-04-06T01:55:00+00:00,scenario1,1.15071,1.151287,1.150133,closed,sl_hit,2026-04-06T02:05:00+00:00,1.151287,1,-1.0
cwt-nas100_usd-5m-scenario2-long-202604060405,NAS100_USD,index,5m,long,2026-04-06T04:05:00+00:00,2026-04-06T04:00:00+00:00,scenario2,24081.5,23827.810357,24335.189643,closed,sl_hit,2026-04-07T15:05:00+00:00,23827.810357,408,-1.0
cwt-nas100_usd-5m-scenario1-long-202604060440,NAS100_USD,index,5m,long,2026-04-06T04:40:00+00:00,2026-04-06T04:35:00+00:00,scenario1,24097.2,24057.668129,24136.731871,closed,tp_hit,2026-04-06T06:50:00+00:00,24136.731871,26,1.0
cwt-nas100_usd-5m-scenario1-long-202604060510,NAS100_USD,index,5m,long,2026-04-06T05:10:00+00:00,2026-04-06T05:05:00+00:00,scenario1,24114.4,24063.467905,24165.332095,closed,sl_hit,2026-04-06T05:45:00+00:00,24063.467905,7,-1.0
cwt-nas100_usd-5m-scenario1-long-202604060825,NAS100_USD,index,5m,long,2026-04-06T08:25:00+00:00,2026-04-06T08:20:00+00:00,scenario1,24188.4,24088.828188,24287.971812,closed,tp_hit,2026-04-06T14:00:00+00:00,24287.971812,67,1.0
cwt-nas100_usd-5m-scenario1-long-202604060830,NAS100_USD,index,5m,long,2026-04-06T08:30:00+00:00,2026-04-06T08:25:00+00:00,scenario1,24197.8,24092.07819,24303.52181,closed,sl_hit,2026-04-06T17:10:00+00:00,24092.07819,104,-1.0
cwt-nas100_usd-5m-scenario1-long-202604060835,NAS100_USD,index,5m,long,2026-04-06T08:35:00+00:00,2026-04-06T08:30:00+00:00,scenario1,24214.4,24096.820829,24331.979171,closed,sl_hit,2026-04-06T13:35:00+00:00,24096.820829,60,-1.0
cwt-nas100_usd-5m-scenario1-long-202604060840,NAS100_USD,index,5m,long,2026-04-06T08:40:00+00:00,2026-04-06T08:35:00+00:00,scenario1,24230.4,24101.816507,24358.983493,closed,sl_hit,2026-04-06T13:35:00+00:00,24101.816507,59,-1.0
cwt-nas100_usd-5m-scenario1-long-202604060905,NAS100_USD,index,5m,long,2026-04-06T09:05:00+00:00,2026-04-06T09:00:00+00:00,scenario1,24231.6,24125.45685,24337.74315,closed,sl_hit,2026-04-06T10:45:00+00:00,24125.45685,20,-1.0
