source_section,trade_lens,setup_id,symbol,timeframe,side,entry_timestamp,stop_timestamp,ladder_step,ladder_risk_pct,scenario,quality_score,stop_distance_points,stop_distance_pct,stop_distance_atr,primary_reason,secondary_flags,duplicate_cluster_exposure,high_noise_session,mfe_after_sl_points,mfe_after_sl_r,mae_after_sl_points,mae_after_sl_r,bars_to_recovery,bars_to_tp_if_survived,would_reach_tp_if_survived,stop_overshoot_points,stop_overshoot_r,would_survive_fixed_widen_10,would_survive_fixed_widen_20,would_survive_atr_floor_025,would_survive_1bar_delay,would_reach_tp_fixed_widen_10,would_reach_tp_atr_floor_025,recommended_action,notes
operational_journal,raw,cwt-eur_usd-5m-scenario2-short-202604032055,EUR_USD,5m,short,2026-04-03T20:55:00+00:00,2026-04-05T21:00:00+00:00,0,0.07,scenario2,74.0,0.00033,0.0286,0.7512,entry_too_early,,False,False,0.00135,4.0909,0.001,3.0303,12,12,True,0.00017,0.5152,False,False,False,True,False,False,Delay entry by 1 bar,Scenario scenario2; overshoot_r=0.5152; mfe_after_sl_r=4.0909
operational_journal,raw,cwt-usd_jpy-5m-scenario1-long-202604131605,USD_JPY,5m,long,2026-04-13T16:05:00+00:00,2026-04-13T16:30:00+00:00,0,0.07,scenario1,81.0,0.128991,0.0807,2.6557,duplicate_cluster_exposure,duplicate_cluster_exposure,True,False,-0.124,-0.9613,0.632,4.8996,,,False,0.045009,0.3489,False,False,False,False,False,False,Require one-bar follow-through,Scenario scenario1; overshoot_r=0.3489; mfe_after_sl_r=-0.9613
operational_journal,raw,cwt-aud_usd-5m-scenario1-long-202604132235,AUD_USD,5m,long,2026-04-13T22:35:00+00:00,2026-04-14T00:00:00+00:00,0,0.07,scenario1,81.0,0.000407,0.0573,2.0206,structure_invalidated_before_reversal,,False,False,0.0005,1.2285,0.00224,5.5037,84,85,True,0.000233,0.5725,False,False,False,False,False,False,Keep baseline,Scenario scenario1; overshoot_r=0.5725; mfe_after_sl_r=1.2285
operational_journal,raw,cwt-nzd_usd-5m-scenario1-long-202604132310,NZD_USD,5m,long,2026-04-13T23:10:00+00:00,2026-04-14T00:00:00+00:00,1,0.2,scenario1,81.0,0.000404,0.0688,2.8711,insufficient_reward_after_survival,,False,False,0.00221,5.4703,0.0015,3.7129,58,72,True,9.6e-05,0.2376,False,False,False,False,False,False,Require one-bar follow-through,Scenario scenario1; overshoot_r=0.2376; mfe_after_sl_r=5.4703
operational_journal,raw,cwt-aud_usd-5m-scenario1-long-202604132310,AUD_USD,5m,long,2026-04-13T23:10:00+00:00,2026-04-14T00:00:00+00:00,3,1.0,scenario1,81.0,0.00056,0.0789,3.4844,continuation_failed_cleanly,,False,False,0.00026,0.4643,0.00248,4.4286,85,,False,0.00032,0.5714,False,False,False,False,False,False,Require one-bar follow-through,Scenario scenario1; overshoot_r=0.5714; mfe_after_sl_r=0.4643
operational_journal,raw,cwt-eur_usd-5m-scenario1-long-202604132310,EUR_USD,5m,long,2026-04-13T23:10:00+00:00,2026-04-14T02:20:00+00:00,1,0.2,scenario1,81.0,0.000551,0.0468,3.4748,structure_invalidated_before_reversal,,False,False,0.00346,6.2795,0.00079,1.4338,16,30,True,0.000139,0.2523,False,False,False,False,False,False,Require one-bar follow-through,Scenario scenario1; overshoot_r=0.2523; mfe_after_sl_r=6.2795
operational_journal,raw,cwt-nzd_usd-5m-scenario1-long-202604132305,NZD_USD,5m,long,2026-04-13T23:05:00+00:00,2026-04-14T00:00:00+00:00,0,0.07,scenario1,81.0,0.000342,0.0582,2.3356,structure_invalidated_before_reversal,,False,False,0.00228,6.6667,0.00143,4.1813,53,72,True,8.8e-05,0.2573,False,False,False,False,False,False,Keep baseline,Scenario scenario1; overshoot_r=0.2573; mfe_after_sl_r=6.6667
operational_journal,raw,cwt-aud_usd-5m-scenario1-long-202604132250,AUD_USD,5m,long,2026-04-13T22:50:00+00:00,2026-04-14T00:00:00+00:00,1,0.2,scenario1,81.0,0.000496,0.0699,2.6811,insufficient_reward_after_survival,,False,False,0.00037,0.746,0.00237,4.7782,84,,False,0.000274,0.5524,False,False,False,False,False,False,Require one-bar follow-through,Scenario scenario1; overshoot_r=0.5524; mfe_after_sl_r=0.746
operational_journal,raw,cwt-aud_usd-5m-scenario1-long-202604132305,AUD_USD,5m,long,2026-04-13T23:05:00+00:00,2026-04-14T00:00:00+00:00,2,0.45,scenario1,81.0,0.000531,0.0748,2.7636,high_noise_session,high_noise_session,False,True,0.0003,0.565,0.00244,4.5951,85,,False,0.000309,0.5819,False,False,False,False,False,False,Skip high-noise session,Scenario scenario1; overshoot_r=0.5819; mfe_after_sl_r=0.565
operational_journal,raw,cwt-eur_usd-5m-scenario1-long-202604132305,EUR_USD,5m,long,2026-04-13T23:05:00+00:00,2026-04-14T02:20:00+00:00,0,0.07,scenario1,81.0,0.000509,0.0433,2.545,insufficient_reward_after_survival,,False,False,0.00352,6.9155,0.00073,1.4342,16,25,True,0.000121,0.2377,False,False,False,False,False,False,Keep baseline,Scenario scenario1; overshoot_r=0.2377; mfe_after_sl_r=6.9155
