segment,symbol,bars,asset_class,status
segment_2023_h1,WTICO_USD,763,forex,ok
segment_2023_h1,BCO_USD,764,forex,ok
segment_2023_h1,XAG_USD,763,forex,ok
segment_2023_h1,XAU_USD,763,forex,ok
segment_2023_h1,UK100_GBP,729,forex,ok
segment_2023_h1,NAS100_USD,766,forex,ok
segment_2023_h1,US30_USD,766,forex,ok
segment_2023_h1,SPX500_USD,766,forex,ok
segment_2023_h1,FR40_EUR,504,forex,ok
segment_2023_h1,JP225_USD,767,forex,ok
segment_2023_h1,ESPIX_EUR,496,forex,ok
segment_2023_h1,EUR_USD,775,forex,ok
segment_2023_h1,GBP_USD,775,forex,ok
segment_2023_h1,USD_JPY,775,forex,ok
segment_2023_h1,AUD_USD,775,forex,ok
segment_2023_h1,AUD_CHF,775,forex,ok
segment_2023_h1,USD_CAD,775,forex,ok
segment_2023_h1,USD_CHF,775,forex,ok
segment_2023_h1,NZD_USD,775,forex,ok
segment_2023_h1,EUR_GBP,775,forex,ok
segment_2023_h1,EUR_JPY,775,forex,ok
segment_2023_h1,GBP_JPY,775,forex,ok
segment_2023_h1,BTC_USD,703,forex,ok
segment_2023_h1,ETH_USD,703,forex,ok
segment_2023_h1,LTC_USD,775,forex,ok
segment_2023_h1,BCH_USD,771,forex,ok
segment_2023_h2,WTICO_USD,774,forex,ok
segment_2023_h2,BCO_USD,774,forex,ok
segment_2023_h2,XAG_USD,774,forex,ok
segment_2023_h2,XAU_USD,774,forex,ok
segment_2023_h2,UK100_GBP,753,forex,ok
segment_2023_h2,NAS100_USD,771,forex,ok
segment_2023_h2,US30_USD,771,forex,ok
segment_2023_h2,SPX500_USD,771,forex,ok
segment_2023_h2,FR40_EUR,512,forex,ok
segment_2023_h2,JP225_USD,771,forex,ok
segment_2023_h2,ESPIX_EUR,512,forex,ok
segment_2023_h2,EUR_USD,774,forex,ok
segment_2023_h2,GBP_USD,774,forex,ok
segment_2023_h2,USD_JPY,774,forex,ok
segment_2023_h2,AUD_USD,774,forex,ok
segment_2023_h2,AUD_CHF,774,forex,ok
segment_2023_h2,USD_CAD,774,forex,ok
segment_2023_h2,USD_CHF,774,forex,ok
segment_2023_h2,NZD_USD,775,forex,ok
segment_2023_h2,EUR_GBP,774,forex,ok
segment_2023_h2,EUR_JPY,774,forex,ok
segment_2023_h2,GBP_JPY,774,forex,ok
segment_2023_h2,BTC_USD,780,forex,ok
segment_2023_h2,ETH_USD,780,forex,ok
segment_2023_h2,LTC_USD,780,forex,ok
segment_2023_h2,BCH_USD,775,forex,ok
segment_2024_h1,WTICO_USD,768,forex,ok
segment_2024_h1,BCO_USD,768,forex,ok
segment_2024_h1,XAG_USD,768,forex,ok
segment_2024_h1,XAU_USD,768,forex,ok
segment_2024_h1,UK100_GBP,736,forex,ok
segment_2024_h1,NAS100_USD,764,forex,ok
segment_2024_h1,US30_USD,764,forex,ok
segment_2024_h1,SPX500_USD,764,forex,ok
segment_2024_h1,FR40_EUR,504,forex,ok
segment_2024_h1,JP225_USD,764,forex,ok
segment_2024_h1,ESPIX_EUR,504,forex,ok
segment_2024_h1,EUR_USD,774,forex,ok
segment_2024_h1,GBP_USD,774,forex,ok
segment_2024_h1,USD_JPY,774,forex,ok
segment_2024_h1,AUD_USD,774,forex,ok
segment_2024_h1,AUD_CHF,774,forex,ok
segment_2024_h1,USD_CAD,774,forex,ok
segment_2024_h1,USD_CHF,774,forex,ok
segment_2024_h1,NZD_USD,775,forex,ok
segment_2024_h1,EUR_GBP,774,forex,ok
segment_2024_h1,EUR_JPY,774,forex,ok
segment_2024_h1,GBP_JPY,774,forex,ok
segment_2024_h1,BTC_USD,780,forex,ok
segment_2024_h1,ETH_USD,780,forex,ok
segment_2024_h1,LTC_USD,780,forex,ok
segment_2024_h1,BCH_USD,776,forex,ok
segment_2024_h2,WTICO_USD,781,forex,ok
segment_2024_h2,BCO_USD,781,forex,ok
segment_2024_h2,XAG_USD,781,forex,ok
segment_2024_h2,XAU_USD,781,forex,ok
segment_2024_h2,UK100_GBP,762,forex,ok
segment_2024_h2,NAS100_USD,778,forex,ok
segment_2024_h2,US30_USD,778,forex,ok
segment_2024_h2,SPX500_USD,778,forex,ok
segment_2024_h2,FR40_EUR,513,forex,ok
segment_2024_h2,JP225_USD,778,forex,ok
segment_2024_h2,ESPIX_EUR,514,forex,ok
segment_2024_h2,EUR_USD,781,forex,ok
segment_2024_h2,GBP_USD,781,forex,ok
segment_2024_h2,USD_JPY,781,forex,ok
segment_2024_h2,AUD_USD,781,forex,ok
segment_2024_h2,AUD_CHF,781,forex,ok
segment_2024_h2,USD_CAD,781,forex,ok
segment_2024_h2,USD_CHF,781,forex,ok
segment_2024_h2,NZD_USD,781,forex,ok
segment_2024_h2,EUR_GBP,781,forex,ok
segment_2024_h2,EUR_JPY,781,forex,ok
segment_2024_h2,GBP_JPY,781,forex,ok
segment_2024_h2,BTC_USD,781,forex,ok
segment_2024_h2,ETH_USD,781,forex,ok
segment_2024_h2,LTC_USD,781,forex,ok
segment_2024_h2,BCH_USD,781,forex,ok
segment_2025_h1,WTICO_USD,757,forex,ok
segment_2025_h1,BCO_USD,758,forex,ok
segment_2025_h1,XAG_USD,757,forex,ok
segment_2025_h1,XAU_USD,757,forex,ok
segment_2025_h1,UK100_GBP,724,forex,ok
segment_2025_h1,NAS100_USD,752,forex,ok
segment_2025_h1,US30_USD,752,forex,ok
segment_2025_h1,SPX500_USD,752,forex,ok
segment_2025_h1,FR40_EUR,496,forex,ok
segment_2025_h1,JP225_USD,752,forex,ok
segment_2025_h1,ESPIX_EUR,496,forex,ok
segment_2025_h1,EUR_USD,763,forex,ok
segment_2025_h1,GBP_USD,763,forex,ok
segment_2025_h1,USD_JPY,763,forex,ok
segment_2025_h1,AUD_USD,763,forex,ok
segment_2025_h1,AUD_CHF,763,forex,ok
segment_2025_h1,USD_CAD,763,forex,ok
segment_2025_h1,USD_CHF,763,forex,ok
segment_2025_h1,NZD_USD,763,forex,ok
segment_2025_h1,EUR_GBP,763,forex,ok
segment_2025_h1,EUR_JPY,763,forex,ok
segment_2025_h1,GBP_JPY,763,forex,ok
segment_2025_h1,BTC_USD,763,forex,ok
segment_2025_h1,ETH_USD,763,forex,ok
segment_2025_h1,LTC_USD,763,forex,ok
segment_2025_h1,BCH_USD,763,forex,ok
segment_2025_h2,WTICO_USD,779,forex,ok
segment_2025_h2,BCO_USD,781,forex,ok
segment_2025_h2,XAG_USD,780,forex,ok
segment_2025_h2,XAU_USD,780,forex,ok
segment_2025_h2,UK100_GBP,762,forex,ok
segment_2025_h2,NAS100_USD,777,forex,ok
segment_2025_h2,US30_USD,777,forex,ok
segment_2025_h2,SPX500_USD,777,forex,ok
segment_2025_h2,FR40_EUR,514,forex,ok
segment_2025_h2,JP225_USD,777,forex,ok
segment_2025_h2,ESPIX_EUR,513,forex,ok
segment_2025_h2,EUR_USD,781,forex,ok
segment_2025_h2,GBP_USD,781,forex,ok
segment_2025_h2,USD_JPY,781,forex,ok
segment_2025_h2,AUD_USD,781,forex,ok
segment_2025_h2,AUD_CHF,781,forex,ok
segment_2025_h2,USD_CAD,781,forex,ok
segment_2025_h2,USD_CHF,781,forex,ok
segment_2025_h2,NZD_USD,781,forex,ok
segment_2025_h2,EUR_GBP,781,forex,ok
segment_2025_h2,EUR_JPY,781,forex,ok
segment_2025_h2,GBP_JPY,781,forex,ok
segment_2025_h2,BTC_USD,781,forex,ok
segment_2025_h2,ETH_USD,781,forex,ok
segment_2025_h2,LTC_USD,781,forex,ok
segment_2025_h2,BCH_USD,781,forex,ok
