variant,symbol,segments,trades,signals,win_rate,avg_r,profit_factor,max_drawdown_r,total_net_pnl
base,AUD_CHF,6,117,118,0.3472595197499289,-0.06822309232026141,0.9434272503275901,-3.9275333333333333,-0.011269000000000003
base,AUD_USD,6,107,107,0.3660759175465058,0.050552060583207666,1.2871395152492424,-3.02955,0.012872000000000001
base,BCH_USD,6,80,80,0.2546858599490178,0.04038923001949318,1.1764723758719786,-3.351233333333333,-13.288285000000002
base,BCO_USD,6,107,107,0.37892399424907164,0.16731331502461533,1.5071789582841308,-3.3305666666666665,8.507792
base,BTC_USD,6,0,0,0.0,0.0,0.0,0.0,0.0
base,ESPIX_EUR,6,2,2,0.16666666666666666,1.3037833333333333,166.5,0.0,652.953657
base,ETH_USD,6,12,12,0.027777777777777776,-0.6685888888888889,0.05470213563132258,-0.8784000000000001,-412.423989
base,EUR_GBP,6,117,117,0.29571666319950074,-0.13039310346023159,0.7248978963571752,-5.347366666666667,-0.022863
base,EUR_JPY,6,111,111,0.3844889569793662,0.027064874897587504,1.148031936139294,-3.5883499999999997,3.1611840000000013
base,EUR_USD,6,104,104,0.48216929221831184,0.3346287822607676,4.422553245882628,-2.8635333333333333,0.06430899999999999
base,FR40_EUR,6,9,9,0.16666666666666666,0.07615000000000001,166.5,-0.6666666666666666,-398.52117799999996
base,GBP_JPY,6,113,113,0.3091037045842538,-0.1350323949696375,0.7098743618871897,-5.131049999999999,-12.586567
base,GBP_USD,6,92,92,0.31147787397787396,0.0063507187950938015,1.2554986977419091,-3.560816666666667,-0.006312000000000002
base,JP225_USD,6,2,2,0.0,-0.3333333333333333,0.0,0.0,-427.225811
base,LTC_USD,6,109,109,0.18816425120772948,-0.31956331772575247,0.3961445327737892,-5.156233333333334,-83.420615
base,NAS100_USD,6,1,1,0.16666666666666666,2.11355,166.5,0.0,457.6
base,NZD_USD,6,108,108,0.3140276993537863,-0.0735491911584792,0.8464275693404931,-4.210133333333333,-0.039989000000000004
base,SPX500_USD,6,26,26,0.15833333333333333,-0.5172158333333333,0.427011778625415,-2.72085,-296.957126
base,UK100_GBP,6,18,18,0.4305555555555555,1.7021458333333335,5.897614175439858,-0.8212833333333335,786.685378
base,US30_USD,6,3,3,0.0,-0.3333333333333333,0.0,-0.16666666666666666,-135.04000100000002
base,USD_CAD,6,98,98,0.3060185185185185,-0.12081430555555556,0.7478157625443651,-3.6420666666666666,-0.048734
base,USD_CHF,6,114,114,0.23071627375032946,-0.14237142325510746,0.7314361057546136,-4.7432,-0.033760000000000005
base,USD_JPY,6,97,97,0.38978684359119137,0.07504528514963298,1.497371081837161,-2.8168333333333333,5.923881999999999
base,WTICO_USD,6,123,123,0.41993570883731063,0.3355581795975446,2.1707672667227285,-3.6553166666666663,23.966804
base,XAG_USD,6,107,107,0.3901991526991527,0.3638008648758649,2.368502315762423,-2.7657166666666666,16.615541999999998
base,XAU_USD,6,57,57,0.3153439153439153,0.16166441798941797,1.4221260451766453,-2.48285,209.254374
packet_a,AUD_CHF,6,117,118,0.3472595197499289,-0.06822309232026141,0.9434272503275901,-3.9275333333333333,-0.011269000000000003
packet_a,AUD_USD,6,107,107,0.3660759175465058,0.050552060583207666,1.2871395152492424,-3.02955,0.012872000000000001
packet_a,BCH_USD,6,80,80,0.2546858599490178,0.04038923001949318,1.1764723758719786,-3.351233333333333,-13.288285000000002
packet_a,BCO_USD,6,107,107,0.37892399424907164,0.16731331502461533,1.5071789582841308,-3.3305666666666665,8.507792
packet_a,BTC_USD,6,0,0,0.0,0.0,0.0,0.0,0.0
packet_a,ESPIX_EUR,6,2,2,0.16666666666666666,1.3037833333333333,166.5,0.0,652.953657
packet_a,ETH_USD,6,12,12,0.027777777777777776,-0.6685888888888889,0.05470213563132258,-0.8784000000000001,-412.423989
packet_a,EUR_GBP,6,117,117,0.29571666319950074,-0.13039310346023159,0.7248978963571752,-5.347366666666667,-0.022863
packet_a,EUR_JPY,6,111,111,0.3844889569793662,0.027064874897587504,1.148031936139294,-3.5883499999999997,3.1611840000000013
packet_a,EUR_USD,6,104,104,0.48216929221831184,0.3346287822607676,4.422553245882628,-2.8635333333333333,0.06430899999999999
packet_a,FR40_EUR,6,9,9,0.16666666666666666,0.07615000000000001,166.5,-0.6666666666666666,-398.52117799999996
packet_a,GBP_JPY,6,113,113,0.3091037045842538,-0.1350323949696375,0.7098743618871897,-5.131049999999999,-12.586567
packet_a,GBP_USD,6,92,92,0.31147787397787396,0.0063507187950938015,1.2554986977419091,-3.560816666666667,-0.006312000000000002
packet_a,JP225_USD,6,2,2,0.0,-0.3333333333333333,0.0,0.0,-427.225811
packet_a,LTC_USD,6,109,109,0.18816425120772948,-0.31956331772575247,0.3961445327737892,-5.156233333333334,-83.420615
packet_a,NAS100_USD,6,1,1,0.16666666666666666,2.11355,166.5,0.0,457.6
packet_a,NZD_USD,6,108,108,0.3140276993537863,-0.0735491911584792,0.8464275693404931,-4.210133333333333,-0.039989000000000004
packet_a,SPX500_USD,6,26,26,0.15833333333333333,-0.5172158333333333,0.427011778625415,-2.72085,-296.957126
packet_a,UK100_GBP,6,18,18,0.4305555555555555,1.7021458333333335,5.897614175439858,-0.8212833333333335,786.685378
packet_a,US30_USD,6,3,3,0.0,-0.3333333333333333,0.0,-0.16666666666666666,-135.04000100000002
packet_a,USD_CAD,6,98,98,0.3060185185185185,-0.12081430555555556,0.7478157625443651,-3.6420666666666666,-0.048734
packet_a,USD_CHF,6,114,114,0.23071627375032946,-0.14237142325510746,0.7314361057546136,-4.7432,-0.033760000000000005
packet_a,USD_JPY,6,97,97,0.38978684359119137,0.07504528514963298,1.497371081837161,-2.8168333333333333,5.923881999999999
packet_a,WTICO_USD,6,123,123,0.41993570883731063,0.3355581795975446,2.1707672667227285,-3.6553166666666663,23.966804
packet_a,XAG_USD,6,107,107,0.3901991526991527,0.3638008648758649,2.368502315762423,-2.7657166666666666,16.615541999999998
packet_a,XAU_USD,6,57,57,0.3153439153439153,0.16166441798941797,1.4221260451766453,-2.48285,209.254374
packet_b,AUD_CHF,6,124,125,0.3460649762759737,-0.07570565136660724,0.9297318908154377,-4.322466666666666,-0.01601100000000001
packet_b,AUD_USD,6,111,111,0.35385148620442736,0.02264309292015176,1.1446342992988157,-3.178433333333333,0.0029439999999999935
packet_b,BCH_USD,6,85,85,0.2600464837306942,0.04294331384015596,1.1956795846402328,-3.241816666666667,-13.600641999999983
packet_b,BCO_USD,6,110,110,0.37858286364478316,0.15601298851389409,1.4789772624176758,-3.521433333333333,9.296337
packet_b,BTC_USD,6,0,0,0.0,0.0,0.0,0.0,0.0
packet_b,ESPIX_EUR,6,4,4,0.16666666666666666,0.9704499999999999,166.5,0.0,580.169523
packet_b,ETH_USD,6,19,19,0.020833333333333332,-0.6308111111111111,0.03725440163306966,-1.8248333333333333,-692.024496
packet_b,EUR_GBP,6,126,126,0.2970238095238095,-0.14142797619047617,0.7022507342447173,-5.629766666666668,-0.030010000000000002
packet_b,EUR_JPY,6,118,118,0.3792155276709053,0.08752212135108302,1.2946149618906395,-3.9977999999999994,5.190563000000002
packet_b,EUR_USD,6,114,114,0.4204604400682832,0.18823704976940273,1.811713332714688,-3.7641666666666667,0.036808
packet_b,FR40_EUR,6,14,14,0.2916666666666667,0.20179999999999998,167.13894444444443,-1.1666666666666667,-212.931262
packet_b,GBP_JPY,6,123,123,0.3298696401637578,-0.06476371785893846,0.9782856576160488,-5.168566666666666,-5.241129000000001
